Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el artículo que establece la composición del Gobierno?;Artículo 96;Artículo 97;Artículo 98;Artículo 99;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo define las funciones del Presidente del Gobierno?;Artículo 96;Artículo 97;Artículo 98;Artículo 99;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Quién propone al candidato para la Presidencia del Gobierno?;El Congreso;El Senado;El Rey;El Tribunal Constitucional;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es el plazo para que el Congreso otorgue su confianza al candidato propuesto como Presidente del Gobierno?;7 días;10 días;15 días;30 días;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué mayoría se requiere en la primera votación para la investidura del Presidente del Gobierno?;Mayoría simple;Mayoría absoluta;Mayoría cualificada;Mayoría relativa;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo regula la responsabilidad del Gobierno ante el Congreso?;Artículo 100;Artículo 101;Artículo 102;Artículo 103;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo establece la estructura de la Administración Pública?;Artículo 103;Artículo 104;Artículo 105;Artículo 106;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Quién puede interponer una moción de censura contra el Gobierno?;El Rey;El Congreso de los Diputados;El Senado;El Tribunal Constitucional;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es la función del Consejo de Ministros según el artículo 97?;Dirigir la política interior y exterior;Aprobar leyes;Controlar al Senado;Dirigir la política económica;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo establece el procedimiento de elaboración de las normas reglamentarias?;Artículo 105;Artículo 106;Artículo 107;Artículo 108;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la defensa del orden y la seguridad pública?;Artículo 103;Artículo 104;Artículo 105;Artículo 106;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Quién nombra y separa a los miembros del Gobierno?;El Rey;El Presidente del Gobierno;El Congreso;El Senado;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la responsabilidad penal del Presidente y los miembros del Gobierno?;Artículo 101;Artículo 102;Artículo 103;Artículo 104;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es el artículo que regula la disolución del Congreso, Senado o las Cortes Generales?;Artículo 115;Artículo 116;Artículo 117;Artículo 118;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la aprobación de los reglamentos por el Gobierno?;Artículo 97;Artículo 98;Artículo 105;Artículo 106;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo define la estructura y funcionamiento del Consejo de Estado?;Artículo 105;Artículo 106;Artículo 107;Artículo 108;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es la duración del mandato del Presidente del Gobierno según la Constitución?;4 años;5 años;6 años;No tiene límite;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo regula la interposición de la cuestión de confianza por parte del Presidente del Gobierno?;Artículo 112;Artículo 113;Artículo 114;Artículo 115;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo establece el principio de legalidad de la Administración?;Artículo 103;Artículo 104;Artículo 105;Artículo 106;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la regulación de los estados de alarma, excepción y sitio?;Artículo 114;Artículo 115;Artículo 116;Artículo 117;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
