Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué artículo de la Constitución Española regula los estados de alarma, excepción y sitio?;Artículo 116;Artículo 155;Artículo 160;Artículo 101;0;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Cuál es el propósito de la Ley Orgánica 4/1981?;Regular las emergencias sanitarias;Regular los estados de alarma, excepción y sitio;Establecer políticas de defensa nacional;Proteger los derechos de los trabajadores;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué estado se declara en situaciones de grave riesgo, catástrofe o calamidad pública?;Estado de excepción;Estado de alarma;Estado de sitio;Estado de emergencia;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Quién tiene la competencia para declarar el estado de alarma?;El Congreso de los Diputados;El Senado;El Gobierno;El Tribunal Constitucional;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Cuál es el plazo máximo inicial para el estado de alarma?;15 días;30 días;60 días;90 días;0;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué órgano debe autorizar la prórroga del estado de alarma?;El Senado;El Gobierno;El Tribunal Constitucional;El Congreso de los Diputados;3;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿En qué situaciones se puede declarar el estado de excepción?;Invasión extranjera;Catástrofe natural;Grave alteración del orden público;Epidemia;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Quién tiene la competencia para declarar el estado de excepción?;El Presidente del Gobierno;El Rey;El Congreso de los Diputados;El Tribunal Supremo;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Cuál es el plazo máximo inicial para el estado de excepción?;15 días;30 días;60 días;90 días;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿En qué situaciones se puede declarar el estado de sitio?;Catástrofe natural;Grave alteración del orden público;Invasión o insurrección;Epidemia;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Quién tiene la competencia para declarar el estado de sitio?;El Gobierno;El Congreso de los Diputados;El Rey;El Tribunal Constitucional;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué efectos tiene la declaración del estado de alarma sobre los derechos fundamentales?;No afecta a los derechos fundamentales;Suspende algunos derechos fundamentales;Restringe ciertos derechos fundamentales;Suspende todos los derechos fundamentales;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Cuál es la duración máxima inicial del estado de sitio?;15 días;30 días;60 días;No hay límite;3;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué órgano debe autorizar la prórroga del estado de excepción?;El Senado;El Gobierno;El Tribunal Constitucional;El Congreso de los Diputados;3;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿En qué artículo de la Ley Orgánica 4/1981 se regula la declaración del estado de alarma?;Artículo 4;Artículo 5;Artículo 6;Artículo 7;0;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué artículo regula la declaración del estado de excepción?;Artículo 8;Artículo 9;Artículo 10;Artículo 11;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué artículo regula la declaración del estado de sitio?;Artículo 12;Artículo 13;Artículo 14;Artículo 15;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Cuál es la finalidad de los estados de alarma, excepción y sitio?;Proteger el medio ambiente;Mantener el orden público y la seguridad;Promover el desarrollo económico;Fomentar la educación;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué medidas pueden adoptarse durante el estado de alarma?;Suspensión de actividades;Intervención de servicios públicos;Ambas opciones;Ninguna de las anteriores;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
¿Qué artículo de la Ley Orgánica 4/1981 establece la duración y prórroga de los estados de alarma, excepción y sitio?;Artículo 16;Artículo 17;Artículo 18;Artículo 19;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-12774
