Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el objetivo principal de la Ley Orgánica 3/2018?;Regular el comercio electrónico;Proteger los datos personales y garantizar los derechos digitales;Aumentar la seguridad nacional;Promover la igualdad de género;1;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué principio fundamental se establece en el artículo 4 de la Ley Orgánica 3/2018?;Principio de publicidad;Principio de seguridad;Principio de transparencia;Principio de responsabilidad proactiva;3;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿A quién se aplica la Ley Orgánica 3/2018?;Solo a las empresas privadas;A todas las entidades públicas y privadas;Solo a las entidades gubernamentales;A las organizaciones sin ánimo de lucro;1;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué derechos tienen los ciudadanos según la Ley Orgánica 3/2018?;Derecho al acceso, rectificación, supresión y oposición;Derecho a la privacidad y a la seguridad;Derecho a la información y a la educación;Derecho a la igualdad y a la justicia;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué es el derecho a la portabilidad de los datos personales?;Derecho a transferir los datos personales a otro responsable del tratamiento;Derecho a acceder a los datos personales;Derecho a modificar los datos personales;Derecho a eliminar los datos personales;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué artículo regula el consentimiento del interesado para el tratamiento de sus datos personales?;Artículo 6;Artículo 8;Artículo 10;Artículo 12;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué tipo de datos personales requieren una protección especial según la Ley Orgánica 3/2018?;Datos de contacto;Datos financieros;Datos de salud y datos biométricos;Datos de empleo;2;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Cuál es el plazo máximo para resolver y notificar las solicitudes de acceso a los datos personales?;10 días;15 días;1 mes;2 meses;2;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué derechos digitales se reconocen en la Ley Orgánica 3/2018?;Derecho al olvido, derecho a la desconexión digital;Derecho a la privacidad, derecho a la seguridad;Derecho a la información, derecho a la educación;Derecho a la igualdad, derecho a la justicia;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué artículo regula el derecho al olvido en búsquedas de internet?;Artículo 15;Artículo 17;Artículo 19;Artículo 21;1;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Quién es responsable de garantizar la protección de datos en una organización?;El director general;El delegado de protección de datos (DPO);El responsable de recursos humanos;El jefe de seguridad;1;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué tipo de medidas deben adoptar las organizaciones para proteger los datos personales?;Medidas técnicas y organizativas apropiadas;Solo medidas técnicas;Solo medidas organizativas;Ninguna medida especial;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué artículo regula el tratamiento de datos de menores de edad?;Artículo 6;Artículo 8;Artículo 10;Artículo 12;1;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué principio establece que los datos personales deben ser adecuados, pertinentes y limitados a lo necesario?;Principio de integridad y confidencialidad;Principio de limitación de la finalidad;Principio de exactitud;Principio de minimización de datos;3;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Cuál es el artículo que menciona el derecho a la educación digital?;Artículo 81;Artículo 83;Artículo 85;Artículo 87;3;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué derechos digitales se reconocen en el ámbito laboral?;Derecho a la privacidad, derecho a la desconexión digital;Derecho a la igualdad, derecho a la justicia;Derecho a la información, derecho a la educación;Derecho a la integridad física, derecho a la seguridad;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué artículo regula el derecho a la intimidad y uso de dispositivos digitales en el ámbito laboral?;Artículo 87;Artículo 89;Artículo 91;Artículo 93;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué medidas deben adoptar las organizaciones en caso de una violación de la seguridad de los datos personales?;Notificar a la autoridad de control y a los afectados;Eliminar todos los datos personales;Suspender todas las actividades comerciales;Informar al público en general;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué artículo regula el derecho a la desconexión digital fuera del tiempo de trabajo?;Artículo 88;Artículo 90;Artículo 92;Artículo 94;0;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿En qué artículo se menciona la protección de los datos personales en el ámbito de la investigación científica?;Artículo 20;Artículo 22;Artículo 24;Artículo 26;1;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
¿Qué principio establece que los datos personales deben ser tratados de manera lícita, leal y transparente?;Principio de integridad y confidencialidad;Principio de limitación de la finalidad;Principio de exactitud;Principio de licitud, lealtad y transparencia;3;https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
