Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué significa SCSI en el contexto de las tecnologías de almacenamiento?;System Computer Serial Interface;Small Computer System Interface;Secure Computer Storage Interface;Simple Computer System Integration;1;https://en.wikipedia.org/wiki/SCSI
¿Cuál es la velocidad máxima de transferencia de datos para SCSI Ultra2?;20 MB/s;40 MB/s;80 MB/s;160 MB/s;2;https://en.wikipedia.org/wiki/SCSI
¿Cuál es la principal diferencia entre SCSI y SAS?;SAS es una tecnología más antigua;SCSI utiliza fibra óptica;SAS admite tasas de transferencia de datos más altas y más dispositivos;SCSI es inalámbrico;2;https://en.wikipedia.org/wiki/Serial_Attached_SCSI
¿Cuál es la velocidad máxima de transferencia de datos en SAS-3?;6 Gbps;12 Gbps;24 Gbps;48 Gbps;1;https://en.wikipedia.org/wiki/Serial_Attached_SCSI
¿Qué tipo de cable se utiliza comúnmente para conexiones SCSI?;Cable de cobre;Cable de fibra óptica;Cable coaxial;Cable HDMI;0;https://en.wikipedia.org/wiki/SCSI
¿Cuántos dispositivos se pueden conectar en una sola cadena SCSI utilizando la tecnología Wide SCSI?;8 dispositivos;15 dispositivos;16 dispositivos;32 dispositivos;2;https://en.wikipedia.org/wiki/SCSI
¿Qué generación de SAS es conocida por introducir una velocidad de transferencia de 12 Gbps?;SAS-1;SAS-2;SAS-3;SAS-4;2;https://en.wikipedia.org/wiki/Serial_Attached_SCSI
¿Cuál versión de SCSI introdujo la característica Fast-20?;SCSI-1;SCSI-2;SCSI-3;Ultra SCSI;1;https://en.wikipedia.org/wiki/SCSI
¿Qué ventaja tiene SAS sobre los discos duros tradicionales SATA?;Menor costo;Mayor velocidad y soporte para más dispositivos en un solo canal;Mejor encriptación;Menor consumo de energía;1;https://en.wikipedia.org/wiki/Serial_Attached_SCSI
¿En qué año fue introducido SAS como estándar?;2000;2004;2008;2012;1;https://en.wikipedia.org/wiki/Serial_Attached_SCSI
¿Cuál es la velocidad máxima de transferencia de datos para Ultra320 SCSI?;160 MB/s;320 MB/s;640 MB/s;1280 MB/s;1;https://en.wikipedia.org/wiki/SCSI
¿Cuál es la característica principal de SAS-4 respecto a las velocidades de transferencia de datos?;Soporta hasta 12 Gbps;Soporta hasta 24 Gbps;Soporta hasta 48 Gbps;Soporta hasta 96 Gbps;2;https://en.wikipedia.org/wiki/Serial_Attached_SCSI
¿Qué característica permite que SCSI sea utilizado tanto en redes como en almacenamiento directo?;Bajo costo;Flexibilidad de configuraciones;Alto rendimiento;Compatibilidad con antiguos sistemas;1;https://en.wikipedia.org/wiki/SCSI
¿Cómo se denomina la técnica en SCSI que permite una transferencia de datos más rápida al evitar el procesamiento del CPU?;DMA (Direct Memory Access);S.M.A.R.T.;NCQ (Native Command Queuing);RAID;0;https://en.wikipedia.org/wiki/SCSI
¿Cuál es el máximo número de dispositivos que SAS-2 puede soportar en un solo dominio?;128 dispositivos;256 dispositivos;1024 dispositivos;2048 dispositivos;2;https://en.wikipedia.org/wiki/Serial_Attached_SCSI
