Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué artículo establece el control político del Gobierno por las Cortes Generales?;Artículo 109;Artículo 110;Artículo 111;Artículo 112;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo regula la pregunta parlamentaria a los miembros del Gobierno?;Artículo 110;Artículo 111;Artículo 112;Artículo 113;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es el artículo que menciona la obligación del Gobierno de proporcionar información solicitada por las Cortes?;Artículo 108;Artículo 109;Artículo 110;Artículo 111;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo establece la interpelación y moción de censura?;Artículo 113;Artículo 114;Artículo 115;Artículo 116;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Quién puede solicitar la comparecencia de los miembros del Gobierno en las Cámaras?;El Rey;El Presidente del Gobierno;Cualquier Cámara;El Tribunal Constitucional;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué mayoría se requiere para que prospere una moción de censura?;Mayoría simple;Mayoría absoluta;Mayoría cualificada;Mayoría relativa;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo establece el procedimiento de la cuestión de confianza?;Artículo 112;Artículo 113;Artículo 114;Artículo 115;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo regula la disolución de las Cámaras por el Presidente del Gobierno?;Artículo 115;Artículo 116;Artículo 117;Artículo 118;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es el plazo para la convocatoria de elecciones tras la disolución de las Cámaras?;20 días;30 días;40 días;60 días;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la aprobación de los decretos-leyes por el Gobierno?;Artículo 85;Artículo 86;Artículo 87;Artículo 88;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Quién puede presentar una moción de censura?;El Rey;El Presidente del Gobierno;El Congreso de los Diputados;El Senado;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo regula la comparecencia de los miembros del Gobierno a petición propia?;Artículo 110;Artículo 111;Artículo 112;Artículo 113;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué órgano puede pedir la información necesaria al Gobierno para el ejercicio de sus funciones?;El Senado;El Congreso;Cualquiera de las Cámaras;El Tribunal Constitucional;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la responsabilidad solidaria de los miembros del Gobierno?;Artículo 109;Artículo 110;Artículo 111;Artículo 112;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es el artículo que establece el control de los decretos-leyes por el Congreso de los Diputados?;Artículo 85;Artículo 86;Artículo 87;Artículo 88;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la intervención del Senado en la aprobación de los decretos legislativos?;Artículo 90;Artículo 91;Artículo 92;Artículo 93;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿En qué artículo se regula la iniciativa legislativa del Gobierno?;Artículo 87;Artículo 88;Artículo 89;Artículo 90;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la responsabilidad política del Gobierno ante el Congreso de los Diputados?;Artículo 110;Artículo 111;Artículo 112;Artículo 113;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es el artículo que establece la votación de la moción de censura?;Artículo 113;Artículo 114;Artículo 115;Artículo 116;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo menciona la responsabilidad del Gobierno ante el Senado?;Artículo 106;Artículo 107;Artículo 108;Artículo 109;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
