Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta
¿En qué artículo de la Constitución Española se establece el principio de soberanía nacional?;Artículo 1;Artículo 2;Artículo 3;Artículo 4;0
¿En qué artículo de la Constitución Española se establece que España se constituye en un Estado social y democrático de Derecho?;Artículo 1;Artículo 2;Artículo 3;Artículo 4;1
¿En qué artículo de la Constitución Española se establece que la forma política del Estado español es la Monarquía parlamentaria?;Artículo 1;Artículo 2;Artículo 3;Artículo 4;0
¿En qué artículo de la Constitución Española se establece que la soberanía nacional reside en el pueblo español?;Artículo 1;Artículo 2;Artículo 3;Artículo 4;0
¿En qué artículo de la Constitución Española se establece que la bandera de España es la rojigualda?;Artículo 4;Artículo 5;Artículo 6;Artículo 7;1
¿En qué artículo de la Constitución Española se establece que los partidos políticos expresan el pluralismo político, concurren a la formación y manifestación de la voluntad popular y son instrumento fundamental para la participación política?;Artículo 6;Artículo 7;Artículo 8;Artículo 9;2
¿En qué artículo de la Constitución Española se establece que los poderes públicos están sujetos a la Constitución y al resto del ordenamiento jurídico?;Artículo 7;Artículo 8;Artículo 9;Artículo 10;0
¿En qué artículo de la Constitución Española se establece que la ley garantizará el derecho a la autonomía de las nacionalidades y regiones que integran España y la solidaridad entre todas ellas?;Artículo 8;Artículo 9;Artículo 10;Artículo 11;0
¿En qué artículo de la Constitución Española se establece que la Constitución reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran?;Artículo 9;Artículo 10;Artículo 11;Artículo 12;0
¿En qué artículo de la Constitución Española se establece que la Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles?;Artículo 10;Artículo 11;Artículo 12;Artículo 13;2
¿En qué artículo de la Constitución Española se establece que los partidos políticos deben respetar el pluralismo político y organizarse internamente de acuerdo con los principios democráticos?;Artículo 12;Artículo 13;Artículo 14;Artículo 15;0
¿En qué artículo de la Constitución Española se establece que los españoles son iguales ante la ley, sin que pueda prevalecer discriminación alguna por razón de nacimiento, raza, sexo, religión, opinión o cualquier otra condición o circunstancia personal o social?;Artículo 13;Artículo 14;Artículo 15;Artículo 16;1
¿En qué artículo de la Constitución Española se establece que los extranjeros gozarán en España de las libertades públicas que garantiza el Título I de la Constitución, en los términos que establezcan los tratados y la ley?;Artículo 14;Artículo 15;Artículo 16;Artículo 17;2
¿En qué artículo de la Constitución Española se establece que los poderes públicos promoverán las condiciones para que la libertad y la igualdad del individuo y de los grupos en que se integra sean reales y efectivas?;Artículo 15;Artículo 16;Artículo 17;Artículo 18;0
¿En qué artículo de la Constitución Española se establece que se garantiza la libertad ideológica, religiosa y de culto de los individuos y las comunidades sin más limitación, en sus manifestaciones, que la necesaria para el mantenimiento del orden público protegido por la ley?;Artículo 16;Artículo 17;Artículo 18;Artículo 19;1
¿En qué artículo de la Constitución Española se establece que se garantiza el derecho al honor, a la intimidad personal y familiar y a la propia imagen?;Artículo 17;Artículo 18;Artículo 19;Artículo 20;0
¿En qué artículo de la Constitución Española se establece que se reconoce el derecho a la educación?;Artículo 18;Artículo 19;Artículo 20;Artículo 21;1
¿En qué artículo de la Constitución Española se establece que se reconocen y protegen los derechos a la producción y creación literaria, artística, científica y técnica?;Artículo 19;Artículo 20;Artículo 21;Artículo 22;0
¿En qué artículo de la Constitución Española se establece que se reconoce el derecho a la libertad de expresión?;Artículo 20;Artículo 21;Artículo 22;Artículo 23;0
¿En qué artículo de la Constitución Española se establece que los españoles tienen derecho a disfrutar de una vivienda digna y adecuada?;Artículo 21;Artículo 22;Artículo 23;Artículo 24;1
¿En qué artículo de la Constitución Española se establece que se reconoce el derecho a la salud?;Artículo 22;Artículo 23;Artículo 24;Artículo 25;2
¿En qué artículo de la Constitución Española se establece que se reconoce el derecho a la negociación colectiva laboral?;Artículo 23;Artículo 24;Artículo 25;Artículo 26;0
¿En qué artículo de la Constitución Española se establece que se garantiza el derecho de todos a la protección de la salud?;Artículo 24;Artículo 25;Artículo 26;Artículo 27;1
¿En qué artículo de la Constitución Española se establece que se reconocen y protegen los derechos de los consumidores y usuarios?;Artículo 25;Artículo 26;Artículo 27;Artículo 28;2
¿En qué artículo de la Constitución Española se establece que se garantiza el derecho al trabajo?;Artículo 26;Artículo 27;Artículo 28;Artículo 29;0
¿En qué artículo de la Constitución Española se establece que se reconoce el derecho a la propiedad privada y hereditaria?;Artículo 27;Artículo 28;Artículo 29;Artículo 30;1
¿En qué artículo de la Constitución Española se establece que todos tienen derecho a disfrutar de un medio ambiente adecuado para el desarrollo de la persona, así como el deber de conservarlo?;Artículo 28;Artículo 29;Artículo 30;Artículo 31;0
¿En qué artículo de la Constitución Española se establece que los poderes públicos velarán por la utilización racional de todos los recursos naturales, con el fin de proteger y mejorar la calidad de vida y defender y restaurar el medio ambiente, apoyándose en la indispensable solidaridad colectiva?;Artículo 29;Artículo 30;Artículo 31;Artículo 32;1
¿En qué artículo de la Constitución Española se establece que se reconoce el derecho de fundación para fines de interés general, con arreglo a la ley?;Artículo 30;Artículo 31;Artículo 32;Artículo 33;0
¿En qué artículo de la Constitución Española se establece que los poderes públicos garantizarán la defensa de los consumidores y usuarios, protegiendo la seguridad, la salud y los legítimos intereses económicos de los mismos?;Artículo 31;Artículo 32;Artículo 33;Artículo 34;1
¿En qué artículo de la Constitución Española se establece que se reconoce el derecho a acceder en condiciones de igualdad a las funciones y cargos públicos, con los requisitos que señalen las leyes?;Artículo 32;Artículo 33;Artículo 34;Artículo 35;0
¿En qué artículo de la Constitución Española se establece que la ley regulará el régimen jurídico de los funcionarios públicos, su acceso a la función pública y sus derechos, así como sus deberes?;Artículo 33;Artículo 34;Artículo 35;Artículo 36;1
¿En qué artículo de la Constitución Española se establece que se garantiza el derecho a la autonomía financiera de las entidades locales?;Artículo 34;Artículo 35;Artículo 36;Artículo 37;0
¿En qué artículo de la Constitución Española se establece que los poderes públicos garantizarán, mediante pensiones adecuadas y periódicamente actualizadas, la suficiencia económica a los ciudadanos durante la tercera edad?;Artículo 35;Artículo 36;Artículo 37;Artículo 38;1
¿En qué artículo de la Constitución Española se establece que los poderes públicos promoverán las condiciones y removerán los obstáculos para que la libertad y la igualdad del individuo y de los grupos en que se integra sean reales y efectivas?;Artículo 36;Artículo 37;Artículo 38;Artículo 39;0
¿En qué artículo de la Constitución Española se establece que los poderes públicos garantizarán la defensa de la seguridad y la salud de los trabajadores?;Artículo 37;Artículo 38;Artículo 39;Artículo 40;2
¿En qué artículo de la Constitución Española se establece que los poderes públicos garantizarán la defensa de la seguridad y la salud de los trabajadores?;Artículo 37;Artículo 38;Artículo 39;Artículo 40;2
