Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué significa USB en informática?;Universal Serial Bus;Unified Serial Bus;Unique Serial Bus;Universal Service Bus;0;https://en.wikipedia.org/wiki/USB
¿Cuál es el propósito principal de USB en la computación?;Establecer una interfaz estándar para la conexión de dispositivos periféricos;Proporcionar energía eléctrica a la computadora;Mejorar la velocidad de procesamiento;Optimizar el almacenamiento de datos;0;https://en.wikipedia.org/wiki/USB
¿Quién desarrolló el estándar USB?;Un consorcio de empresas tecnológicas;Microsoft Corporation;Apple Inc.;IBM Corporation;0;https://www.usb.org/history
¿Qué es un conector USB Tipo A?;El conector más comúnmente utilizado que se encuentra en la mayoría de los dispositivos;Un tipo de conector utilizado exclusivamente por Apple;Un conector diseñado para alta velocidad;Un conector para dispositivos de almacenamiento;0;https://en.wikipedia.org/wiki/USB#Connectors
¿Qué es un conector USB Tipo B?;Un conector menos común utilizado en impresoras y otros dispositivos periféricos;Un conector para dispositivos de audio;Un conector para tarjetas gráficas;Un conector para dispositivos de almacenamiento;0;https://en.wikipedia.org/wiki/USB#Connectors
¿Qué es un conector USB Tipo C?;Un conector reversible y versátil utilizado en dispositivos modernos;Un conector exclusivo para dispositivos Apple;Un conector de alta velocidad;Un conector para dispositivos de almacenamiento;0;https://en.wikipedia.org/wiki/USB-C
¿Cuál es la principal ventaja del conector USB Tipo C?;Es reversible, lo que facilita la conexión;Ofrece mayor velocidad de transferencia que otros conectores;Es más barato que otros tipos de conectores;Es más resistente físicamente;0;https://en.wikipedia.org/wiki/USB-C
¿Qué es USB OTG (USB On-The-Go)?;Un estándar que permite a dispositivos USB actuar como anfitriones o como dispositivos;Un tipo de conector exclusivo para dispositivos de audio;Un conector para dispositivos de almacenamiento;Un conector de alta velocidad;0;https://en.wikipedia.org/wiki/USB_On-The-Go
¿Qué es un hub USB?;Un dispositivo que permite conectar varios dispositivos USB a un solo puerto USB de la computadora;Un tipo de conector utilizado exclusivamente por Apple;Un conector para dispositivos de almacenamiento;Un conector para dispositivos de audio;0;https://en.wikipedia.org/wiki/USB_hub
¿Qué es la tasa de transferencia en el contexto de USB?;La velocidad a la que los datos pueden ser transferidos entre dispositivos a través de un puerto USB;La cantidad de energía eléctrica que un dispositivo USB puede proporcionar;La capacidad de almacenamiento de un dispositivo USB;La velocidad de procesamiento de un dispositivo USB;0;https://en.wikipedia.org/wiki/Data_transfer_rate
¿Qué es la latencia en el contexto de USB?;El tiempo que tarda un dispositivo USB en responder a una solicitud de datos;La cantidad de energía eléctrica que un dispositivo USB puede proporcionar;La capacidad de almacenamiento de un dispositivo USB;La velocidad de procesamiento de un dispositivo USB;0;https://en.wikipedia.org/wiki/Latency_(engineering)
¿Qué es la impedancia en el contexto de USB?;La resistencia al flujo de corriente en un circuito USB;La cantidad de energía eléctrica que un dispositivo USB puede proporcionar;La capacidad de almacenamiento de un dispositivo USB;La velocidad de procesamiento de un dispositivo USB;0;https://en.wikipedia.org/wiki/Electrical_impedance
¿Qué es la sobrecarga en el contexto de USB?;Un estado donde un dispositivo USB requiere más corriente de la que el puerto USB puede proporcionar;La cantidad de energía eléctrica que un dispositivo USB puede proporcionar;La capacidad de almacenamiento de un dispositivo USB;La velocidad de procesamiento de un dispositivo USB;0;https://en.wikipedia.org/wiki/USB#Power
¿Qué es el almacenamiento en caché en el contexto de las unidades de almacenamiento?;Una memoria de acceso rápido que almacena copias de datos frecuentemente utilizados;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Data_buffer
¿Qué es el almacenamiento óptico en el contexto de las unidades de almacenamiento?;Un método de almacenamiento que utiliza discos ópticos para leer y escribir datos;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Optical_disc
¿Qué es un LUN (Logical Unit Number) en el contexto de las unidades de almacenamiento?;Un identificador único utilizado para identificar unidades de almacenamiento en sistemas de almacenamiento en red;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Logical_Unit_Number
¿Qué es el formato de archivo FAT32 en el contexto de las unidades de almacenamiento?;Un sistema de archivos compatible con múltiples sistemas operativos que soporta tamaños de archivo de hasta 4 GB;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/File_Allocation_Table#FAT32
¿Qué es el formato de archivo NTFS en el contexto de las unidades de almacenamiento?;Un sistema de archivos utilizado principalmente en Windows que soporta características avanzadas como permisos de archivo y compresión;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/NTFS
¿Qué es el formato de archivo exFAT en el contexto de las unidades de almacenamiento?;Un sistema de archivos desarrollado por Microsoft que es compatible con archivos grandes y velocidades de transferencia rápidas;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/ExFAT
¿Qué es el formato de archivo HFS+ en el contexto de las unidades de almacenamiento?;Un sistema de archivos utilizado en macOS que soporta características avanzadas como metadatos extendidos y encriptación de archivos;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/HFS_Plus
¿Qué es el formato de archivo APFS en el contexto de las unidades de almacenamiento?;Un sistema de archivos desarrollado por Apple que reemplaza a HFS+ y ofrece mejoras en el rendimiento y la seguridad;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Apple_File_System
¿Qué es la redundancia de datos en el contexto de las unidades de almacenamiento?;La técnica de añadir información adicional a los datos almacenados para detectar y corregir errores;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Data_redundancy
¿Qué es la paridad en el contexto de las unidades de almacenamiento?;Una técnica de control de errores que utiliza bits adicionales para detectar y corregir errores en los datos;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Data_parity
