Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Quién desarrolló la taxonomía de Flynn?;John von Neumann;Michael Flynn;Alan Turing;Charles Babbage;1;https://en.wikipedia.org/wiki/Flynn%27s_taxonomy
¿Cuál es el propósito principal de la taxonomía de Flynn?;Clasificar software de computadora;Clasificar algoritmos de ordenación;Clasificar arquitecturas de computadores según su paralelismo;Clasificar lenguajes de programación;2;https://en.wikipedia.org/wiki/Flynn%27s_taxonomy
¿Qué significa SISD en la taxonomía de Flynn?;Single Instruction, Single Data;Single Instruction, Multiple Data;Single Instruction, Dual Data;Single Instruction, Distributed Data;0;https://www.techopedia.com/definition/32136/flynns-taxonomy
¿Qué modelo describe mejor una CPU convencional según la taxonomía de Flynn?;MISD;SIMD;SISD;MIMD;2;https://www.techopedia.com/definition/32136/flynns-taxonomy
¿Cuál es una característica del modelo SIMD?;Procesa múltiples instrucciones en múltiples datos;Procesa una única instrucción en múltiples datos;Procesa múltiples instrucciones en un único dato;No permite el paralelismo;1;https://www.geeksforgeeks.org/flynns-taxonomy-in-computer-architecture/
¿Qué significa MIMD en la taxonomía de Flynn?;Multiple Instruction, Multiple Data;Multiple Instruction, Managed Data;Multiple Instruction, Mirrored Data;Multiple Interface, Multiple Data;0;https://en.wikipedia.org/wiki/Flynn%27s_taxonomy
¿Qué tipo de arquitectura se clasifica como MISD en la taxonomía de Flynn?;Sistemas de redundancia de fallos;Sistemas de procesamiento de vectores;Sistemas con múltiples GPUs;Sistemas de pipelining avanzado;0;https://www.sciencedirect.com/topics/computer-science/multiple-instruction-stream
¿Cómo se diferencia MIMD de SIMD en la taxonomía de Flynn?;MIMD puede ejecutar diferentes instrucciones en diferentes conjuntos de datos simultáneamente;MIMD no permite el paralelismo de datos;MIMD utiliza un solo procesador;MIMD es menos eficiente que SIMD;0;https://www.geeksforgeeks.org/flynns-taxonomy-in-computer-architecture/
¿Cuál de las siguientes es una aplicación típica de las arquitecturas SIMD?;Procesamiento de transacciones en línea;Renderizado gráfico;Cálculo de impuestos;Procesamiento de texto;1;https://en.wikipedia.org/wiki/Flynn%27s_taxonomy
¿En qué se centra principalmente la taxonomía de Flynn cuando clasifica las arquitecturas de computadoras?;En la cantidad de núcleos del procesador;En la velocidad del procesador;En el paralelismo de instrucciones y datos;En el tipo de operaciones que pueden realizar;2;https://www.techopedia.com/definition/32136/flynns-taxonomy
