Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el objetivo principal de la Ley 19/2013 de transparencia?;Regular el derecho a la privacidad;Garantizar el acceso a la información pública;Promover la igualdad de género;Regular el comercio electrónico;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué principios fundamentales establece la Ley 19/2013?;Publicidad activa y derecho de acceso;Confidencialidad y privacidad;Comercio justo y equidad;Neutralidad y justicia;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿A quién se aplica la Ley 19/2013 de transparencia?;Solo a las empresas privadas;A todas las entidades públicas y algunas privadas;Solo a las entidades gubernamentales;A las organizaciones sin ánimo de lucro;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué tipo de información deben publicar activamente las entidades sujetas a la Ley 19/2013?;Información sobre sus empleados;Información relativa a sus funciones y competencias;Información sobre sus actividades comerciales;Información sobre sus competidores;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Cuál es el plazo máximo para resolver y notificar las resoluciones de acceso a la información?;10 días;15 días;1 mes;2 meses;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo de la Ley 19/2013 regula el derecho de acceso a la información pública?;Artículo 10;Artículo 12;Artículo 14;Artículo 16;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué tipo de información está excluida del acceso público según la Ley 19/2013?;Información personal sensible;Información sobre proyectos futuros;Información comercial;Información financiera;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿En qué artículo se menciona la transparencia de la actividad pública?;Artículo 5;Artículo 7;Artículo 9;Artículo 11;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué organismo supervisa el cumplimiento de la Ley 19/2013?;El Tribunal Supremo;El Consejo de Transparencia y Buen Gobierno;El Ministerio de Justicia;El Parlamento;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo establece las obligaciones de buen gobierno para los altos cargos?;Artículo 24;Artículo 26;Artículo 28;Artículo 30;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué medidas pueden adoptarse si se incumplen las obligaciones de buen gobierno?;Multas;Inhabilitación;Ambas opciones;Ninguna de las anteriores;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Cuál es el propósito de la publicidad activa según la Ley 19/2013?;Reducir el gasto público;Aumentar la privacidad de los ciudadanos;Proveer información relevante sin necesidad de solicitud previa;Proteger la información clasificada;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué tipo de información deben incluir las memorias anuales de actividades?;Información financiera detallada;Planes de futuro;Medidas de protección de datos;Todas las anteriores;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo regula las infracciones y sanciones en materia de transparencia?;Artículo 26;Artículo 28;Artículo 30;Artículo 32;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo menciona la transparencia en la contratación pública?;Artículo 10;Artículo 12;Artículo 14;Artículo 16;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Cuál es el plazo máximo para interponer un recurso contencioso-administrativo contra una resolución de acceso a la información?;1 mes;2 meses;3 meses;6 meses;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué información debe incluirse en el portal de transparencia?;Información sobre el personal;Contratos, convenios y subvenciones;Registros de llamadas;Correspondencia personal;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo menciona el derecho a recibir una respuesta motivada en caso de denegación de acceso a la información?;Artículo 18;Artículo 20;Artículo 22;Artículo 24;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Cuál es el artículo que regula la transparencia en las subvenciones públicas?;Artículo 10;Artículo 14;Artículo 16;Artículo 18;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo de la Ley 19/2013 establece el acceso a la información sobre los altos cargos y sus retribuciones?;Artículo 26;Artículo 28;Artículo 30;Artículo 32;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué medidas pueden adoptarse si una entidad pública no cumple con las obligaciones de transparencia?;Amonestación;Sanciones administrativas;Ambas opciones;Ninguna de las anteriores;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿En qué artículo se menciona el acceso a la información presupuestaria?;Artículo 8;Artículo 10;Artículo 12;Artículo 14;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué organismo puede recibir quejas y reclamaciones en materia de acceso a la información?;El Defensor del Pueblo;El Consejo de Ministros;El Ministerio de Hacienda;El Parlamento;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo regula la transparencia en los convenios de colaboración suscritos por las entidades públicas?;Artículo 15;Artículo 17;Artículo 19;Artículo 21;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo menciona el derecho a la protección de datos en el contexto de la transparencia?;Artículo 14;Artículo 16;Artículo 18;Artículo 20;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Cuál es el artículo que regula la transparencia en la información sobre el patrimonio de las entidades públicas?;Artículo 8;Artículo 10;Artículo 12;Artículo 14;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué tipo de informes deben publicarse anualmente según la Ley 19/2013?;Informes de actividad y gestión económica;Informes sobre política exterior;Informes de privacidad;Informes sobre legislación internacional;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo establece la obligación de transparencia en las decisiones de alto impacto social?;Artículo 6;Artículo 8;Artículo 10;Artículo 12;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Cuál es el artículo que menciona la necesidad de accesibilidad de la información pública para personas con discapacidad?;Artículo 5;Artículo 7;Artículo 9;Artículo 11;3;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Qué artículo regula la transparencia en la gestión de recursos públicos?;Artículo 10;Artículo 12;Artículo 14;Artículo 16;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
¿Cuál es el objetivo de la Ley 19/2013 en términos de buen gobierno?;Aumentar la productividad económica;Garantizar una gestión pública eficiente y responsable;Promover el comercio internacional;Regular el acceso a la educación;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2013-12887
