Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el rango de direcciones IP para la Clase A?;1.0.0.0 a 126.255.255.255;128.0.0.0 a 191.255.255.255;192.0.0.0 a 223.255.255.255;224.0.0.0 a 239.255.255.255;0;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de dirección IP se utiliza típicamente para redes muy grandes, como las de corporaciones multinacionales?;Clase B;Clase C;Clase A;Clase D;2;https://en.wikipedia.org/wiki/IPv4
¿Cuántos hosts se pueden alojar en una red Clase C típica?;65,534;2,097,152;254;16,777,214;2;https://en.wikipedia.org/wiki/IPv4
¿Para qué se utilizan principalmente las direcciones IP de Clase D?;Redes personales;Redes corporativas;Multicast;Redes gubernamentales;2;https://en.wikipedia.org/wiki/IP_multicast
¿Qué clase de dirección IP proporciona la menor cantidad de redes, pero la mayor cantidad de hosts por red?;Clase A;Clase B;Clase C;Clase D;0;https://en.wikipedia.org/wiki/IPv4
¿Cuál es el rango de direcciones IP para la Clase B?;1.0.0.0 a 126.255.255.255;128.0.0.0 a 191.255.255.255;192.0.0.0 a 223.255.255.255;224.0.0.0 a 239.255.255.255;1;https://en.wikipedia.org/wiki/IPv4
¿Cuál es el rango de direcciones IP para la Clase C?;1.0.0.0 a 126.255.255.255;128.0.0.0 a 191.255.255.255;192.0.0.0 a 223.255.255.255;224.0.0.0 a 239.255.255.255;2;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de red debería utilizarse para una red pequeña con menos de 50 dispositivos?;Clase A;Clase B;Clase C;Clase D;2;https://en.wikipedia.org/wiki/IPv4
¿Qué característica define principalmente una dirección IP de Clase A?;El primer bit es siempre 0;El primer bit es siempre 1;El primer octeto está entre 128 y 191;El primer octeto está entre 224 y 239;0;https://en.wikipedia.org/wiki/IPv4
¿Cuántas redes Clase A son posibles?;126;16,384;2,097,152;2,224;0;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de red utiliza por defecto una máscara de subred de 255.255.0.0?;Clase A;Clase B;Clase C;Clase D;1;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de dirección IP es adecuada para una organización con múltiples subredes en diferentes ciudades?;Clase A;Clase B;Clase C;Clase D;1;https://en.wikipedia.org/wiki/IPv4
¿Cuál es la máscara de subred predeterminada para una dirección IP de Clase C?;255.0.0.0;255.255.0.0;255.255.255.0;255.255.255.255;2;https://en.wikipedia.org/wiki/IPv4
¿Cuál es el primer octeto de una dirección IP de Clase B?;10;172;192;255;1;https://en.wikipedia.org/wiki/IPv4
¿Cuántos hosts por red permite una Clase B típica?;254;65,534;2,097,152;16,777,214;1;https://en.wikipedia.org/wiki/IPv4
¿Cuál es la máscara de subred predeterminada para una dirección IP de Clase A?;255.0.0.0;255.255.0.0;255.255.255.0;255.255.255.255;0;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de dirección IP sería más apropiada para redes locales con un alto número de hosts?;Clase A;Clase B;Clase C;Clase D;0;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de dirección IP está reservada para multicast?;Clase A;Clase B;Clase C;Clase D;3;https://en.wikipedia.org/wiki/IP_multicast
¿Cuál es el rango de hosts que puede tener una única red Clase B?;1-254;1-65,534;1-2,097,152;1-16,777,214;1;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de IP se recomienda para una red con un número de dispositivos que puede llegar a los mil?;Clase A;Clase B;Clase C;Clase D;0;https://en.wikipedia.org/wiki/IPv4
¿Cuál de estas clases de red permite la mayor cantidad de redes únicas?;Clase A;Clase B;Clase C;Clase D;2;https://en.wikipedia.org/wiki/IPv4
¿Cómo se clasificaría una red con una dirección IP 192.168.1.5?;Clase A;Clase B;Clase C;Clase D;2;https://en.wikipedia.org/wiki/IPv4
¿Cuál clase de IP no está diseñada para uso en redes privadas internas?;Clase A;Clase B;Clase C;Clase D;3;https://en.wikipedia.org/wiki/IPv4
¿Qué clase de dirección IP tiene el primer bit configurado como 1 y el segundo bit como 0?;Clase A;Clase B;Clase C;Clase D;1;https://en.wikipedia.org/wiki/IPv4
¿Cuál es el propósito de tener diferentes clases de direcciones IP?;Limitar el tráfico en Internet;Facilitar el enrutamiento eficiente de paquetes de datos;Reducir la velocidad de las conexiones de red;Aumentar el costo de las infraestructuras de red;1;https://en.wikipedia.org/wiki/IPv4
