Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es un algoritmo de ordenación en programación?;Un método para organizar datos en un array de manera ascendente;Un método para encontrar datos en una base de datos;Un método para buscar información en internet;Un método para encontrar elementos en una estructura de datos;0;https://en.wikipedia.org/wiki/Sorting_algorithm
¿Cuál de los siguientes algoritmos de ordenación tiene la complejidad temporal promedio O(n log n)?;Merge Sort;Bubble Sort;Insertion Sort;Selection Sort;0;https://en.wikipedia.org/wiki/Sorting_algorithm
¿Qué estructura de datos es comúnmente utilizada con el algoritmo Quick Sort?;Array;Lista enlazada;Árbol binario;Pila;0;https://en.wikipedia.org/wiki/Quicksort
¿Cuál de los siguientes algoritmos de ordenación es conocido por su eficiencia en listas casi ordenadas?;Insertion Sort;Heap Sort;Merge Sort;Quick Sort;0;https://en.wikipedia.org/wiki/Insertion_sort
¿Qué caracteriza al algoritmo de ordenación Bubble Sort?;Comparar y intercambiar elementos adyacentes si están en el orden incorrecto;Dividir el array en dos sublistas y ordenar cada sublista recursivamente;Seleccionar el elemento más pequeño y colocarlo al principio;Comparar elementos en cada iteración y mover el más grande hacia el final;0;https://en.wikipedia.org/wiki/Bubble_sort
¿Cuál de los siguientes algoritmos de ordenación es in-place y estable?;Insertion Sort;Heap Sort;Merge Sort;Quick Sort;0;https://en.wikipedia.org/wiki/Stable_sort
¿Qué es la ordenación estable en los algoritmos de ordenación?;Mantiene el orden relativo de registros con claves iguales;Ordena los elementos de manera descendente;Ordena los elementos de manera ascendente;Requiere que los datos estén ordenados;0;https://en.wikipedia.org/wiki/Sorting_algorithm
¿Cuál de los siguientes algoritmos de ordenación utiliza la técnica de dividir y conquistar?;Merge Sort;Bubble Sort;Insertion Sort;Selection Sort;0;https://en.wikipedia.org/wiki/Divide_and_conquer_algorithm
¿Qué caracteriza al algoritmo de ordenación Quick Sort?;Utiliza el pivote para dividir el array en dos sublistas y las ordena recursivamente;Ordena los elementos en cada iteración y mueve el más grande hacia el final;Selecciona el elemento más pequeño y lo coloca al principio;Compara y intercambia elementos adyacentes si están en el orden incorrecto;0;https://en.wikipedia.org/wiki/Quicksort
¿Cuál es la principal desventaja del algoritmo de ordenación Bubble Sort?;Tiene una complejidad temporal promedio de O(n^2);Es ineficiente en listas casi ordenadas;Requiere más memoria que otros algoritmos;No gestiona bien la memoria;0;https://en.wikipedia.org/wiki/Bubble_sort
¿Qué caracteriza al algoritmo de ordenación Merge Sort?;Divide el array en dos sublistas y las ordena recursivamente, luego combina las sublistas ordenadas;Selecciona el elemento más pequeño y lo coloca al principio;Compara y intercambia elementos adyacentes si están en el orden incorrecto;Ordena los elementos en cada iteración y mueve el más grande hacia el final;0;https://en.wikipedia.org/wiki/Merge_sort
¿Cuál de los siguientes algoritmos de ordenación es más adecuado para listas enlazadas?;Merge Sort;Quick Sort;Bubble Sort;Selection Sort;0;https://en.wikipedia.org/wiki/Merge_sort
¿Qué es la complejidad temporal promedio del algoritmo de ordenación Quick Sort?;O(n log n);O(n^2);O(n);O(1);0;https://en.wikipedia.org/wiki/Quicksort
¿Qué caracteriza al algoritmo de ordenación Insertion Sort?;Ordena los elementos en cada iteración y mueve el más grande hacia el final;Compara y intercambia elementos adyacentes si están en el orden incorrecto;Selecciona el elemento más pequeño y lo coloca al principio;Inserta cada elemento en la posición correcta en el array;0;https://en.wikipedia.org/wiki/Insertion_sort
¿Qué es la complejidad temporal promedio del algoritmo de ordenación Merge Sort?;O(n log n);O(n^2);O(n);O(1);0;https://en.wikipedia.org/wiki/Merge_sort
¿Cuál de los siguientes algoritmos de ordenación no es in-place?;Merge Sort;Quick Sort;Insertion Sort;Selection Sort;0;https://en.wikipedia.org/wiki/In-place_algorithm
¿Qué caracteriza al algoritmo de ordenación Selection Sort?;Selecciona el elemento más pequeño y lo coloca al principio;Compara y intercambia elementos adyacentes si están en el orden incorrecto;Ordena los elementos en cada iteración y mueve el más grande hacia el final;Divide el array en dos sublistas y las ordena recursivamente;0;https://en.wikipedia.org/wiki/Selection_sort
¿Qué es la complejidad temporal promedio del algoritmo de ordenación Selection Sort?;O(n^2);O(n log n);O(n);O(1);0;https://en.wikipedia.org/wiki/Selection_sort
¿Cuál de los siguientes algoritmos de ordenación utiliza una estructura de datos de tipo heap?;Heap Sort;Quick Sort;Merge Sort;Insertion Sort;0;https://en.wikipedia.org/wiki/Heapsort
¿Qué caracteriza al algoritmo de ordenación Heap Sort?;Utiliza una estructura de datos de tipo heap para ordenar los elementos;Compara y intercambia elementos adyacentes si están en el orden incorrecto;Selecciona el elemento más pequeño y lo coloca al principio;Divide el array en dos sublistas y las ordena recursivamente;0;https://en.wikipedia.org/wiki/Heapsort
¿Qué es la complejidad temporal promedio del algoritmo de ordenación Heap Sort?;O(n log n);O(n^2);O(n);O(1);0;https://en.wikipedia.org/wiki/Heapsort
¿Qué caracteriza al algoritmo de ordenación Shell Sort?;Ordena los elementos en cada iteración y mueve el más grande hacia el final;Compara y intercambia elementos adyacentes si están en el orden incorrecto;Utiliza un incremento variable para crear sublistas y ordenarlas;Divide el array en dos sublistas y las ordena recursivamente;0;https://en.wikipedia.org/wiki/Shellsort
