Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es la complejidad de tiempo del algoritmo de búsqueda binaria en el mejor caso?;O(n);O(log n);O(1);O(n log n);2;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Cuál es la complejidad de tiempo en el peor caso para una búsqueda lineal en una lista de n elementos?;O(log n);O(n);O(1);O(n^2);1;https://en.wikipedia.org/wiki/Linear_search
¿Cuál es la complejidad de espacio de la búsqueda binaria implementada de manera iterativa?;O(n);O(log n);O(1);O(n^2);2;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Qué tipo de búsqueda es más eficiente en listas no ordenadas?;Búsqueda binaria;Búsqueda lineal;Búsqueda por interpolación;Búsqueda de salto;1;https://en.wikipedia.org/wiki/Linear_search
¿Qué algoritmo de búsqueda tiene una complejidad de tiempo promedio de O(log log n)?;Búsqueda binaria;Búsqueda de interpolación;Búsqueda de Fibonacci;Búsqueda de salto;1;https://en.wikipedia.org/wiki/Interpolation_search
¿Cómo afecta la estructura de los datos a la complejidad de un algoritmo de búsqueda?;No afecta;Reduce la complejidad;Aumenta la complejidad;Es crucial para determinar la complejidad;3;https://en.wikipedia.org/wiki/Search_algorithm
¿Cuál es la complejidad de tiempo del algoritmo de búsqueda de salto en el mejor caso?;O(n);O(sqrt(n));O(log n);O(1);3;https://en.wikipedia.org/wiki/Jump_search
¿Cuál es la complejidad de espacio de la búsqueda binaria recursiva?;O(n);O(log n);O(1);O(n^2);1;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Qué algoritmo de búsqueda es eficiente para listas parcialmente ordenadas?;Búsqueda lineal;Búsqueda binaria;Búsqueda de salto;Búsqueda de interpolación;2;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Qué factor NO afecta la complejidad de un algoritmo de búsqueda?;Tamaño de los datos;Orden de los datos;Tipo de datos;Color de los datos;3;https://en.wikipedia.org/wiki/Search_algorithm
¿Qué algoritmo de búsqueda utiliza una fórmula para estimar la posición del siguiente elemento a revisar?;Búsqueda binaria;Búsqueda lineal;Búsqueda por interpolación;Búsqueda de salto;2;https://en.wikipedia.org/wiki/Interpolation_search
¿Cuál es la complejidad de tiempo de la búsqueda binaria en listas ordenadas cuando se utiliza una implementación recursiva?;O(n);O(log n);O(1);O(n log n);1;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Cuál algoritmo de búsqueda es el más adecuado cuando los elementos están densamente distribuidos?;Búsqueda binaria;Búsqueda lineal;Búsqueda de interpolación;Búsqueda de salto;2;https://en.wikipedia.org/wiki/Interpolation_search
¿Cuál es la principal ventaja de la búsqueda binaria sobre la búsqueda lineal?;Es más simple de implementar;Funciona en listas no ordenadas;Mejora la complejidad en el peor caso;No necesita información adicional sobre los datos;2;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿En qué caso la búsqueda lineal puede ser más rápida que la búsqueda binaria?;Cuando los datos están en una estructura de árbol;Cuando el elemento está al comienzo de la lista;Cuando la lista contiene millones de elementos;Cuando los elementos están uniformemente distribuidos;1;https://en.wikipedia.org/wiki/Linear_search
