Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es el subnetting en redes?;División de una red principal en redes más pequeñas;Unión de varias redes pequeñas en una grande;Configuración de routers en la red;Instalación de software de red;0;https://en.wikipedia.org/wiki/Subnetwork
¿Cuál es el propósito principal del subnetting?;Aumentar la velocidad de internet;Reducir el número de direcciones IP disponibles;Mejorar la gestión de las direcciones IP y aumentar la seguridad de la red;Disminuir la seguridad para aumentar el rendimiento;2;https://www.techopedia.com/definition/2907/subnetting
¿Qué es una máscara de subred?;Un protocolo para dividir redes;Un número que define qué parte de la dirección IP representa la red y qué parte el host;Una contraseña para acceder a una subred;Una dirección IP que conecta diferentes subredes;1;https://en.wikipedia.org/wiki/Subnetwork
¿Cómo se representa comúnmente una máscara de subred en IPv4?;Como una serie de números separados por puntos;Como una serie de letras y números;Como un único número largo;Como un conjunto de símbolos;0;https://en.wikipedia.org/wiki/Subnetwork
¿Qué significa CIDR en el contexto de subnetting?;Customer Internet Data Record;Common Interface Data Range;Classless Inter-Domain Routing;Classful Internet Domain Routing;2;https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing
¿Qué indica el "slash number" en una dirección IP con notación CIDR?;El número de switches en la red;El número de dispositivos permitidos en la red;El número de bits usados para la porción de red de la dirección;El número de routers entre subredes;2;https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing
¿Qué se logra al implementar subnetting en una red corporativa?;Disminución de la cantidad de tráfico de red;Aumento del número total de direcciones IP;Eliminación de la necesidad de usar routers;Creación de una única red extensa sin subdivisiones;0;https://www.networkcomputing.com/networking/how-subnetting-works
¿Cuál es un beneficio del subnetting?;Reducción de costos de hardware;Simplificación de la configuración del hardware;Mejora en la eficiencia del uso del espacio de direcciones IP;Aumento del ancho de banda disponible para cada host;2;https://www.techopedia.com/definition/2907/subnetting
¿Qué tipo de dirección se utiliza para identificar una subred específica dentro de una red más grande?;Dirección de red;Dirección de broadcast;Dirección de gateway;Dirección MAC;0;https://en.wikipedia.org/wiki/Subnetwork
¿Cuál es la dirección de broadcast en una subred?;La primera dirección de la subred;La última dirección de la subred;La dirección de la subred misma;Una dirección especial fuera de la subred;1;https://en.wikipedia.org/wiki/Broadcast_address
¿Cómo afecta el subnetting a la seguridad de una red?;No tiene ningún impacto en la seguridad;Reduce la seguridad al hacer más compleja la red;Mejora la seguridad al limitar la difusión de tráfico en segmentos de red;Complica la implementación de medidas de seguridad;2;https://www.networkworld.com/article/2303071/how-does-subnetting-enhance-security-.html
¿Qué herramienta se utiliza comúnmente para calcular rangos de direcciones IP en subnetting?;Calculadora de subredes;Ping;Traceroute;SSH;0;https://www.techopedia.com/definition/26558/subnet-calculator
¿Qué método de subnetting permite múltiples tamaños de subredes dentro de la misma red?;Subnetting fijo;Subnetting variable;Supernetting;CIDR;1;https://en.wikipedia.org/wiki/Variable-length_subnet_mask
¿Cuál es la diferencia entre supernetting y subnetting?;Supernetting divide una red en subredes más grandes;Supernetting combina varias subredes en una más grande;Subnetting es usado solo en IPv6 mientras que supernetting en IPv4;No hay diferencia, ambos términos significan lo mismo;1;https://en.wikipedia.org/wiki/Supernetting
¿Cómo se determina el número de subredes posibles con una máscara de subred específica?;Calculando el logaritmo de la máscara de subred;Sumando los bits de host de la máscara de subred;Elevando 2 a la potencia del número de bits de red;Dividiendo el número total de direcciones por el número de direcciones por subred;2;https://www.techopedia.com/definition/2907/subnetting
