Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es la interfaz más comúnmente utilizada en los discos duros modernos?;IDE;SATA;SCSI;FireWire;1;https://en.wikipedia.org/wiki/Serial_ATA
¿Qué tipo de disco duro utiliza platos magnéticos para almacenar datos?;SSD;HDD;Hybrid Drive;NAND;1;https://en.wikipedia.org/wiki/Hard_disk_drive
¿Cuál es la principal ventaja de un SSD sobre un HDD?;Mayor capacidad de almacenamiento;Menor consumo de energía;Mayor velocidad de transferencia;Más económico;2;https://en.wikipedia.org/wiki/Solid-state_drive
¿Qué tipo de memoria se utiliza principalmente en un SSD?;DRAM;SRAM;Flash;EPROM;2;https://en.wikipedia.org/wiki/Flash_memory
¿Qué significa la sigla HDD?;High-Density Drive;Hard Disk Drive;Hybrid Disk Drive;Hard Drive Disk;1;https://en.wikipedia.org/wiki/Hard_disk_drive
¿Cuál es la velocidad típica de rotación de un disco duro de 3.5 pulgadas?;5400 RPM;7200 RPM;10000 RPM;15000 RPM;1;https://en.wikipedia.org/wiki/Hard_disk_drive_performance_characteristics
¿Qué tecnología de conexión permite velocidades de transferencia de hasta 6 Gbps en discos duros?;USB 3.0;Thunderbolt;SATA III;eSATA;2;https://en.wikipedia.org/wiki/Serial_ATA
¿Cuál es una característica común de los discos duros híbridos?;No tienen partes móviles;Utilizan tanto platos como memoria flash;Solo utilizan flash para caché;No soportan SATA;1;https://en.wikipedia.org/wiki/Hybrid_drive
¿Cómo se denomina el proceso por el cual un SSD reorganiza los datos para mejorar la eficiencia?;Fragmentación;Defragmentación;Garbage collection;Data wiping;2;https://en.wikipedia.org/wiki/Garbage_collection_(SSD)
¿Qué capacidad de disco duro sería común para un servidor de alta capacidad?;500 GB;1 TB;10 TB;100 TB;2;https://en.wikipedia.org/wiki/Hard_disk_drive
¿Qué característica importante tienen los discos SSD que afecta su longevidad y desempeño?;Tiempo de búsqueda;Latencia de rotación;Resistencia a la escritura;Tamaño de sector;2;https://en.wikipedia.org/wiki/Write_amplification
¿Qué tipo de disco duro se recomendaría para aplicaciones que requieren un acceso rápido a los datos, como edición de video?;HDD;SSD;Discos ópticos;Discos magnéticos;1;https://en.wikipedia.org/wiki/Solid-state_drive
¿En qué se diferencia principalmente un HDD de un SSHD?;En su tamaño físico;En su velocidad de transferencia;En la inclusión de memoria flash en el SSHD;En su tipo de interfaz;2;https://en.wikipedia.org/wiki/Hybrid_drive
