Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué caracteriza a una base de datos orientada a objetos?;Almacena datos complejos como objetos con atributos y métodos;Almacena solo datos numéricos;Almacena datos en tablas relacionales;Almacena datos en documentos JSON;0;https://en.wikipedia.org/wiki/Object_database
¿Cuál es una ventaja principal de las bases de datos orientadas a objetos sobre las bases de datos relacionales?;Capacidad para manejar tipos de datos complejos y relaciones entre ellos;Estructura de datos estricta;Soporte completo para transacciones ACID;Esquema fijo y predefinido;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es un objeto en el contexto de las bases de datos orientadas a objetos?;Una entidad que contiene datos y métodos para manipular esos datos;Una tabla en una base de datos relacional;Un documento JSON;Una clave-valor en una base de datos NoSQL;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es la herencia en el contexto de las bases de datos orientadas a objetos?;Permite que un objeto herede atributos y métodos de otro objeto;Permite almacenar grandes volúmenes de datos;Permite replicar datos en diferentes nodos;Permite indexar datos para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es el encapsulamiento en el contexto de las bases de datos orientadas a objetos?;Oculta la implementación interna de un objeto y solo expone la interfaz pública;Permite almacenar grandes volúmenes de datos;Permite replicar datos en diferentes nodos;Permite indexar datos para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es el polimorfismo en el contexto de las bases de datos orientadas a objetos?;Permite que objetos de diferentes clases sean tratados de manera uniforme;Permite almacenar grandes volúmenes de datos;Permite replicar datos en diferentes nodos;Permite indexar datos para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es un método en el contexto de las bases de datos orientadas a objetos?;Una función que forma parte de un objeto y puede manipular los datos del objeto;Una tabla en una base de datos relacional;Un documento JSON;Una clave-valor en una base de datos NoSQL;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es la persistencia en el contexto de las bases de datos orientadas a objetos?;La capacidad de almacenar objetos de forma permanente fuera de la memoria principal;La capacidad de almacenar grandes volúmenes de datos;La capacidad de replicar datos en diferentes nodos;La capacidad de indexar datos para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es un atributo en el contexto de las bases de datos orientadas a objetos?;Una propiedad que describe características de un objeto;Una tabla en una base de datos relacional;Un documento JSON;Una clave-valor en una base de datos NoSQL;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es la navegación en el contexto de las bases de datos orientadas a objetos?;Recorrer y acceder a objetos relacionados dentro de la base de datos;Almacenar grandes volúmenes de datos;Replicar datos en diferentes nodos;Indexar datos para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es un identificador único (OID) en el contexto de las bases de datos orientadas a objetos?;Un identificador único asignado a cada objeto en la base de datos;Una tabla en una base de datos relacional;Un documento JSON;Una clave-valor en una base de datos NoSQL;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es la transacción en el contexto de las bases de datos orientadas a objetos?;Un conjunto de operaciones atómicas que se realizan como una unidad indivisible;La capacidad de almacenar grandes volúmenes de datos;La capacidad de replicar datos en diferentes nodos;La capacidad de indexar datos para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es el mapeo objeto-relacional (ORM) en el contexto de las bases de datos orientadas a objetos?;Una técnica para convertir datos entre tipos de datos de sistemas incompatibles;Una técnica para representar datos relacionales como objetos en un lenguaje de programación;Una técnica para almacenar grandes volúmenes de datos;Una técnica para replicar datos en diferentes nodos;1;https://en.wikipedia.org/wiki/Object-relational_mapping
¿Qué es la consulta de objetos en el contexto de las bases de datos orientadas a objetos?;Una forma de recuperar y manipular objetos directamente en la base de datos;Una forma de almacenar grandes volúmenes de datos;Una forma de replicar datos en diferentes nodos;Una forma de indexar datos para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Object_database
¿Qué es un sistema de gestión de bases de datos orientado a objetos (OODBMS)?;Un sistema que gestiona bases de datos orientadas a objetos;Un sistema que gestiona bases de datos relacionales;Un sistema que gestiona bases de datos documentales;Un sistema que gestiona bases de datos clave-valor;0;https://en.wikipedia.org/wiki/Object_database
