Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué significa SQL?;Structured Query Language;Sequential Query Language;Simple Query Language;Single Query Language;0;https://en.wikipedia.org/wiki/SQL
¿Cuál es el propósito principal de SQL?;Manipular y consultar bases de datos relacionales;Manipular archivos de texto;Manipular documentos JSON;Manipular datos en una sola tabla;0;https://en.wikipedia.org/wiki/SQL
¿Qué es una declaración SELECT en SQL?;Una instrucción para recuperar datos de una base de datos;Una instrucción para eliminar datos de una base de datos;Una instrucción para insertar datos en una base de datos;Una instrucción para actualizar datos en una base de datos;0;https://en.wikipedia.org/wiki/Select_(SQL)
¿Qué es una cláusula WHERE en SQL?;Una cláusula para filtrar filas basadas en una condición específica;Una cláusula para ordenar filas en una consulta;Una cláusula para agrupar datos en una consulta;Una cláusula para unir tablas en una consulta;0;https://en.wikipedia.org/wiki/Where_(SQL)
¿Qué es una cláusula ORDER BY en SQL?;Una cláusula para ordenar el resultado de una consulta según una columna específica;Una cláusula para filtrar filas en una consulta;Una cláusula para agrupar datos en una consulta;Una cláusula para unir tablas en una consulta;0;https://en.wikipedia.org/wiki/Order_by_(SQL)
¿Qué es una cláusula GROUP BY en SQL?;Una cláusula para agrupar filas que tienen los mismos valores en una o más columnas;Una cláusula para ordenar el resultado de una consulta según una columna específica;Una cláusula para filtrar filas en una consulta;Una cláusula para unir tablas en una consulta;0;https://en.wikipedia.org/wiki/Group_by_(SQL)
¿Qué es una cláusula HAVING en SQL?;Una cláusula para filtrar resultados de una consulta GROUP BY basados en una condición específica;Una cláusula para ordenar el resultado de una consulta según una columna específica;Una cláusula para agrupar filas que tienen los mismos valores en una o más columnas;Una cláusula para unir tablas en una consulta;0;https://en.wikipedia.org/wiki/Having_(SQL)
¿Qué es una cláusula JOIN en SQL?;Una cláusula para combinar filas de dos o más tablas según una condición relacionada;Una cláusula para filtrar filas en una consulta;Una cláusula para agrupar datos en una consulta;Una cláusula para ordenar el resultado de una consulta según una columna específica;0;https://en.wikipedia.org/wiki/Join_(SQL)
¿Qué tipos de JOIN se pueden usar en SQL?;INNER JOIN, LEFT JOIN, RIGHT JOIN, FULL JOIN;UNION JOIN, INTERSECT JOIN, EXCEPT JOIN, DIFFERENCE JOIN;GROUP JOIN, ORDER JOIN, FILTER JOIN, SELECT JOIN;COMBINE JOIN, SORT JOIN, GROUP JOIN, UNION JOIN;0;https://en.wikipedia.org/wiki/Join_(SQL)#Types_of_Joins
¿Qué es una subconsulta (subquery) en SQL?;Una consulta anidada dentro de otra consulta;Una consulta que no devuelve resultados;Una consulta que actualiza datos en una tabla;Una consulta que elimina datos de una tabla;0;https://en.wikipedia.org/wiki/Subquery
¿Qué es una función de agregación en SQL?;Una función para realizar cálculos en un conjunto de filas para devolver un único valor;Una función para actualizar datos en una tabla;Una función para eliminar datos de una tabla;Una función para insertar datos en una tabla;0;https://en.wikipedia.org/wiki/Aggregate_function
¿Qué es una transacción en SQL?;Una secuencia de operaciones que se ejecutan como una unidad atómica e indivisible;Una operación que se realiza de forma individual;Una operación que no afecta la integridad de los datos;Una operación que solo se realiza con documentos JSON;0;https://en.wikipedia.org/wiki/Database_transaction
¿Qué es una clave primaria (primary key) en SQL?;Un campo o conjunto de campos que identifican de manera única cada fila en una tabla;Un campo que puede tener valores duplicados en una tabla;Un campo que se usa solo para propósitos de búsqueda rápida;Un campo que almacena documentos JSON;0;https://en.wikipedia.org/wiki/Primary_key
¿Qué es una clave foránea (foreign key) en SQL?;Un campo en una tabla que hace referencia a la clave primaria de otra tabla;Un campo que puede tener valores duplicados en una tabla;Un campo que se usa solo para propósitos de búsqueda rápida;Un campo que almacena documentos JSON;0;https://en.wikipedia.org/wiki/Foreign_key
¿Qué es la normalización en SQL?;Un proceso para organizar datos en tablas para reducir la redundancia y mejorar la integridad de los datos;Un proceso para almacenar datos en documentos JSON;Un proceso para almacenar datos en archivos de texto plano;Un proceso para almacenar datos en una sola tabla;0;https://en.wikipedia.org/wiki/Database_normalization
¿Qué es la denormalización en SQL?;Un proceso para aumentar el rendimiento al reducir la normalización de los datos;Un proceso para organizar datos en tablas para reducir la redundancia y mejorar la integridad de los datos;Un proceso para almacenar datos en documentos JSON;Un proceso para almacenar datos en archivos de texto plano;0;https://en.wikipedia.org/wiki/Denormalization
¿Qué es una vista (view) en SQL?;Una consulta almacenada como un objeto virtual en la base de datos;Una tabla que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola tabla;0;https://en.wikipedia.org/wiki/View_(SQL)
¿Qué es una vista materializada (materialized view) en SQL?;Una vista que almacena físicamente los resultados de una consulta para mejorar el rendimiento de consultas repetitivas;Una tabla que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola tabla;0;https://en.wikipedia.org/wiki/Materialized_view
¿Qué es un disparador (trigger) en SQL?;Un procedimiento almacenado que se ejecuta automáticamente cuando se realiza una operación específica en la base de datos;Una tabla que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola tabla;0;https://en.wikipedia.org/wiki/Database_trigger
¿Qué es un índice en SQL?;Una estructura que mejora la velocidad de búsqueda de registros en una tabla;Una estructura que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola tabla;0;https://en.wikipedia.org/wiki/Database_index
¿Qué es la integridad referencial en SQL?;La precisión y consistencia de los datos entre tablas relacionadas mediante claves foráneas;La precisión y consistencia de los datos en una sola tabla;La precisión y consistencia de los datos en documentos JSON;La precisión y consistencia de los datos en archivos de texto plano;0;https://en.wikipedia.org/wiki/Referential_integrity
¿Qué es el álgebra relacional en SQL?;Un conjunto de operaciones que manipulan tablas para obtener resultados específicos;Un conjunto de operaciones que manipulan documentos JSON;Un conjunto de operaciones que manipulan datos en archivos de texto plano;Un conjunto de operaciones que manipulan datos en una sola tabla;0;https://en.wikipedia.org/wiki/Relational_algebra
¿Qué significa SQL?;Structured Query Language;Simple Query Language;Sequential Query Language;Standard Query Language;0;https://en.wikipedia.org/wiki/SQL
¿Cuál es el propósito principal de SQL?;Interactuar con bases de datos relacionales;Programar aplicaciones web;Crear documentos HTML;Administrar servidores de correo electrónico;0;https://en.wikipedia.org/wiki/SQL
¿Qué tipo de lenguaje es SQL?;Declarativo;Imperativo;Orientado a objetos;Funcional;0;https://en.wikipedia.org/wiki/SQL
¿Qué se utiliza para separar las sentencias SQL?;Punto y coma (;);Coma (,);Dos puntos (:);Barra vertical (|);0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es una sentencia SELECT en SQL?;Una sentencia para recuperar datos de una base de datos;Una sentencia para actualizar datos en una base de datos;Una sentencia para eliminar datos de una base de datos;Una sentencia para crear nuevas tablas en una base de datos;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué hace la cláusula WHERE en una sentencia SQL?;Filtra filas basadas en una condición especificada;Agrupa filas basadas en una condición especificada;Ordena filas basadas en una condición especificada;Selecciona todas las filas de una tabla;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué operador se utiliza para la igualdad en SQL?;= (igual);< (menor que);> (mayor que);<> (no igual);0;https://en.wikipedia.org/wiki/SQL_syntax
¿Cuál es el propósito de la cláusula ORDER BY en SQL?;Ordenar el resultado de una consulta basado en una columna específica;Filtrar el resultado de una consulta basado en una condición específica;Agrupar el resultado de una consulta basado en una columna específica;Seleccionar solo una cantidad limitada de filas del resultado de una consulta;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué función se utiliza para contar el número de filas en SQL?;COUNT();SUM();AVG();MAX();0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es una clave primaria en SQL?;Un campo o un conjunto de campos que identifican de manera única cada fila en una tabla;Un campo que puede contener valores duplicados en una tabla;Un campo que se utiliza para almacenar datos en formato JSON;Un campo que se utiliza para almacenar datos en formato de texto plano;0;https://en.wikipedia.org/wiki/Primary_key
¿Qué es una clave foránea (foreign key) en SQL?;Un campo en una tabla que hace referencia a la clave primaria de otra tabla;Un campo que puede contener valores duplicados en una tabla;Un campo que se utiliza para almacenar datos en formato JSON;Un campo que se utiliza para almacenar datos en formato de texto plano;0;https://en.wikipedia.org/wiki/Foreign_key
¿Qué es una transacción en SQL?;Una secuencia de operaciones que se ejecutan como una unidad atómica e indivisible;Una operación que se realiza de forma individual en una base de datos;Una operación que no afecta la integridad de los datos en una base de datos;Una operación que solo se realiza con documentos JSON;0;https://en.wikipedia.org/wiki/Database_transaction
¿Qué es la normalización en SQL?;Un proceso para organizar datos en tablas para reducir la redundancia y mejorar la integridad de los datos;Un proceso para almacenar datos en formato JSON;Un proceso para almacenar datos en formato de texto plano;Un proceso para almacenar datos en una sola tabla;0;https://en.wikipedia.org/wiki/Database_normalization
¿Qué es una vista (view) en SQL?;Una consulta guardada como un objeto en la base de datos;Una tabla que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola fila;0;https://en.wikipedia.org/wiki/View_(SQL)
¿Qué es un disparador (trigger) en SQL?;Un procedimiento almacenado que se ejecuta automáticamente cuando se realiza una operación específica en la base de datos;Una tabla que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola fila;0;https://en.wikipedia.org/wiki/Database_trigger
¿Qué es una transacción en SQL?;Una secuencia de operaciones que se ejecutan como una unidad atómica e indivisible;Una operación que se realiza de forma individual en una base de datos;Una operación que no afecta la integridad de los datos en una base de datos;Una operación que solo se realiza con documentos JSON;0;https://en.wikipedia.org/wiki/Database_transaction
¿Qué es el álgebra relacional en SQL?;Un conjunto de operaciones que manipulan tablas para obtener resultados específicos;Un conjunto de operaciones que manipulan documentos JSON;Un conjunto de operaciones que manipulan datos en archivos de texto plano;Un conjunto de operaciones que manipulan datos en una sola tabla;0;https://en.wikipedia.org/wiki/Relational_algebra
¿Qué es una consulta SQL (SQL query)?;Una instrucción utilizada para recuperar datos de una base de datos relacional;Una instrucción utilizada para almacenar documentos JSON;Una instrucción utilizada para almacenar datos en archivos de texto plano;Una instrucción utilizada para almacenar datos en una sola tabla;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es un JOIN en SQL?;Una operación que combina filas de dos o más tablas según una condición relacionada;Una operación que almacena documentos JSON;Una operación que almacena datos en archivos de texto plano;Una operación que almacena datos en una sola tabla;0;https://en.wikipedia.org/wiki/Join_(SQL)
¿Qué es un índice en SQL?;Una estructura que mejora la velocidad de búsqueda de registros en una tabla;Una estructura que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola tabla;0;https://en.wikipedia.org/wiki/Database_index
¿Qué es la integridad referencial en SQL?;La precisión y consistencia de los datos entre tablas relacionadas mediante claves foráneas;La precisión y consistencia de los datos en una sola tabla;La precisión y consistencia de los datos en documentos JSON;La precisión y consistencia de los datos en archivos de texto plano;0;https://en.wikipedia.org/wiki/Referential_integrity
¿Qué es un modelo entidad-relación (ER) en SQL?;Un modelo conceptual utilizado para describir los datos y sus relaciones en una base de datos;Un modelo para almacenar datos en documentos JSON;Un modelo para almacenar datos en archivos de texto plano;Un modelo para almacenar datos en una sola tabla;0;https://en.wikipedia.org/wiki/Entity%E2%80%93relationship_model
¿Qué es un modelo relacional en SQL?;Un modelo de datos que organiza los datos en tablas relacionadas entre sí;Un modelo para almacenar datos en documentos JSON;Un modelo para almacenar datos en archivos de texto plano;Un modelo para almacenar datos en una sola tabla;0;https://en.wikipedia.org/wiki/Relational_model
¿Qué es el álgebra relacional en SQL?;Un conjunto de operaciones que manipulan tablas para obtener resultados específicos;Un conjunto de operaciones que manipulan documentos JSON;Un conjunto de operaciones que manipulan datos en archivos de texto plano;Un conjunto de operaciones que manipulan datos en una sola tabla;0;https://en.wikipedia.org/wiki/Relational_algebra
¿Qué es una vista materializada (materialized view) en SQL?;Una vista que almacena físicamente los resultados de una consulta para mejorar el rendimiento de consultas repetitivas;Una tabla que almacena documentos JSON;Una estructura que almacena datos en archivos de texto plano;Una estructura que almacena datos en una sola fila;0;https://en.wikipedia.org/wiki/Materialized_view
¿Qué es la concurrencia en SQL?;La capacidad de manejar múltiples transacciones simultáneamente de manera segura y eficiente;La capacidad de manejar una sola transacción de manera segura y eficiente;La capacidad de manejar solo consultas SELECT de manera segura y eficiente;La capacidad de manejar datos en documentos JSON de manera segura y eficiente;0;https://en.wikipedia.org/wiki/Concurrency_control
