Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué artículo de la Constitución Española establece la figura del Defensor del Pueblo?;Artículo 54;Artículo 55;Artículo 56;Artículo 57;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es la principal función del Defensor del Pueblo según la Constitución Española?;Proteger los derechos de los trabajadores;Defender los derechos fundamentales y las libertades públicas;Promover la igualdad de género;Regular el comercio interior;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿A quién debe informar el Defensor del Pueblo de sus actuaciones?;Al Presidente del Gobierno;Al Congreso de los Diputados y al Senado;Al Tribunal Constitucional;Al Consejo de Ministros;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es la duración del mandato del Defensor del Pueblo?;2 años;4 años;5 años;6 años;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-11076
¿Quién nombra al Defensor del Pueblo?;El Rey;El Presidente del Gobierno;El Congreso de los Diputados y el Senado;El Tribunal Constitucional;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-11076
¿Qué tipo de informes debe presentar el Defensor del Pueblo al Parlamento?;Informes trimestrales;Informes semestrales;Informes anuales;Informes mensuales;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-11076
¿En qué situaciones puede cesar el Defensor del Pueblo antes de finalizar su mandato?;Muerte o incapacidad;Renuncia;Destitución acordada por las Cortes Generales;Todas las anteriores;3;https://www.boe.es/buscar/act.php?id=BOE-A-1981-11076
¿Cuál es el ámbito de actuación del Defensor del Pueblo?;Solo en la Administración Central;En toda la Administración Pública;Solo en la Administración Autonómica;Solo en la Administración Local;1;https://www.boe.es/buscar/act.php?id=BOE-A-1981-11076
¿Qué poderes tiene el Defensor del Pueblo para el cumplimiento de sus funciones?;Dictar sentencias;Emitir órdenes ejecutivas;Solicitar información a las Administraciones Públicas;Nombrar jueces;2;https://www.boe.es/buscar/act.php?id=BOE-A-1981-11076
¿Qué principio rige las actuaciones del Defensor del Pueblo?;Principio de imparcialidad;Principio de eficiencia;Principio de transparencia;Principio de legalidad;3;https://www.boe.es/buscar/act.php?id=BOE-A-1981-11076
