Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el principal objetivo de la Agenda 2030 para el Desarrollo Sostenible?;Erradicar la pobreza;Promover la igualdad de género;Garantizar una educación inclusiva;Alcanzar un desarrollo sostenible en todas sus dimensiones;3;https://www.un.org/sustainabledevelopment/es/
¿Cuántos Objetivos de Desarrollo Sostenible (ODS) incluye la Agenda 2030?;10;15;17;20;2;https://www.un.org/sustainabledevelopment/es/objetivos-de-desarrollo-sostenible/
¿Qué ODS busca erradicar la pobreza en todas sus formas y en todo el mundo?;ODS 1;ODS 2;ODS 3;ODS 4;0;https://www.un.org/sustainabledevelopment/es/poverty/
¿Cuál es el objetivo principal del ODS 4?;Garantizar una educación inclusiva, equitativa y de calidad;Promover el crecimiento económico sostenido;Lograr la igualdad de género;Proteger los ecosistemas terrestres;0;https://www.un.org/sustainabledevelopment/es/education/
¿Qué ODS busca garantizar el acceso a agua y saneamiento para todos?;ODS 3;ODS 5;ODS 6;ODS 7;2;https://www.un.org/sustainabledevelopment/es/water-and-sanitation/
¿Qué objetivo tiene el ODS 13?;Lograr la igualdad de género;Garantizar la disponibilidad de agua;Adoptar medidas urgentes para combatir el cambio climático;Proteger la vida submarina;2;https://www.un.org/sustainabledevelopment/es/climate-change/
¿Cuál es el objetivo principal del ODS 5?;Erradicar la pobreza;Lograr la igualdad de género y empoderar a todas las mujeres y niñas;Reducir las desigualdades;Promover el trabajo decente y el crecimiento económico;1;https://www.un.org/sustainabledevelopment/es/gender-equality/
¿Qué ODS busca promover el crecimiento económico sostenido, inclusivo y sostenible?;ODS 7;ODS 8;ODS 9;ODS 10;1;https://www.un.org/sustainabledevelopment/es/economic-growth/
¿Cuál es el objetivo del ODS 14?;Proteger los océanos, mares y recursos marinos;Garantizar una educación inclusiva;Reducir la desigualdad en los países;Promover la energía asequible y no contaminante;0;https://www.un.org/sustainabledevelopment/es/oceans/
¿Qué ODS tiene como objetivo reducir las desigualdades dentro y entre los países?;ODS 5;ODS 8;ODS 10;ODS 12;2;https://www.un.org/sustainabledevelopment/es/inequality/
¿Cuál es el objetivo principal del ODS 11?;Lograr la igualdad de género;Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles;Promover la innovación y la infraestructura;Proteger la vida terrestre;1;https://www.un.org/sustainabledevelopment/es/cities/
¿Qué ODS busca garantizar el acceso a energía asequible, segura, sostenible y moderna para todos?;ODS 6;ODS 7;ODS 8;ODS 9;1;https://www.un.org/sustainabledevelopment/es/energy/
¿Cuál es el objetivo del ODS 2?;Erradicar el hambre, lograr la seguridad alimentaria y mejorar la nutrición;Garantizar la educación inclusiva;Promover la igualdad de género;Reducir las desigualdades;0;https://www.un.org/sustainabledevelopment/es/hunger/
¿Qué ODS se enfoca en la construcción de infraestructuras resilientes y la promoción de la industrialización inclusiva y sostenible?;ODS 9;ODS 11;ODS 13;ODS 15;0;https://www.un.org/sustainabledevelopment/es/infrastructure-industrialization/
¿Cuál es el objetivo principal del ODS 3?;Erradicar el hambre;Garantizar una vida sana y promover el bienestar para todos en todas las edades;Lograr la igualdad de género;Promover el trabajo decente;1;https://www.un.org/sustainabledevelopment/es/health/
¿Qué ODS busca promover sociedades pacíficas e inclusivas para el desarrollo sostenible y proporcionar acceso a la justicia para todos?;ODS 12;ODS 14;ODS 15;ODS 16;3;https://www.un.org/sustainabledevelopment/es/peace-justice/
¿Cuál es el objetivo del ODS 12?;Garantizar la disponibilidad de agua;Asegurar modalidades de consumo y producción sostenibles;Combatir el cambio climático;Proteger los ecosistemas terrestres;1;https://www.un.org/sustainabledevelopment/es/sustainable-consumption-production/
¿Qué ODS tiene como objetivo proteger, restablecer y promover el uso sostenible de los ecosistemas terrestres?;ODS 13;ODS 14;ODS 15;ODS 17;2;https://www.un.org/sustainabledevelopment/es/biodiversity/
¿Cuál es el objetivo del ODS 17?;Promover la paz y la justicia;Fomentar alianzas para lograr los objetivos;Reducir la desigualdad;Proteger la vida submarina;1;https://www.un.org/sustainabledevelopment/es/globalpartnerships/
¿Cuál es el objetivo principal del ODS 8?;Erradicar la pobreza;Promover el trabajo decente y el crecimiento económico sostenido, inclusivo y sostenible;Garantizar la educación inclusiva;Combatir el cambio climático;1;https://www.un.org/sustainabledevelopment/es/economic-growth/
