Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál artículo del Título I de la CE establece que España se constituye en un Estado social y democrático de Derecho?;Artículo 1;Artículo 2;Artículo 10;Artículo 6;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE reconoce el derecho a la vida y a la integridad física y moral?;Artículo 10;Artículo 15;Artículo 20;Artículo 30;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I garantiza la igualdad de los españoles sin discriminación por nacimiento, raza, sexo, religión, opinión o cualquier otra condición o circunstancia personal o social?;Artículo 14;Artículo 16;Artículo 18;Artículo 24;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE establece la libertad ideológica, religiosa y de culto de los individuos y las comunidades?;Artículo 14;Artículo 16;Artículo 17;Artículo 20;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE establece que los españoles tienen el derecho y el deber de defender a España?;Artículo 30;Artículo 31;Artículo 35;Artículo 37;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿En qué artículo del Título I de la CE se establece el derecho a la educación?;Artículo 27;Artículo 28;Artículo 29;Artículo 31;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE habla sobre el derecho a la libertad de expresión?;Artículo 18;Artículo 19;Artículo 20;Artículo 21;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál artículo del Título I de la CE establece que los ciudadanos tienen el derecho a participar en los asuntos públicos directamente o por medio de representantes?;Artículo 23;Artículo 24;Artículo 25;Artículo 26;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE establece que todas las personas tienen derecho a obtener la tutela efectiva de los jueces y tribunales en el ejercicio de sus derechos e intereses legítimos, sin que, en ningún caso, pueda producirse indefensión?;Artículo 24;Artículo 25;Artículo 26;Artículo 27;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿En qué artículo del Título I de la CE se proclama que la pena de muerte queda abolida, salvo lo que puedan disponer las leyes penales militares para tiempos de guerra?;Artículo 15;Artículo 16;Artículo 17;Artículo 30;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál artículo del Título I de la CE reconoce el derecho al trabajo y a una remuneración suficiente para satisfacer las necesidades del trabajador y su familia?;Artículo 35;Artículo 36;Artículo 37;Artículo 38;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE establece que los poderes públicos mantendrán un régimen público de Seguridad Social para todos los ciudadanos?;Artículo 41;Artículo 42;Artículo 43;Artículo 44;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿En qué artículo del Título I de la CE se establece el derecho a la protección de la salud?;Artículo 43;Artículo 44;Artículo 45;Artículo 46;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál artículo del Título I de la CE declara que la ley regulará las peculiaridades propias del régimen electoral de las organizaciones sindicales y garantizará su funcionamiento democrático?;Artículo 7;Artículo 9;Artículo 28;Artículo 37;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE reconoce el derecho a la negociación colectiva laboral entre los trabajadores y los empresarios?;Artículo 35;Artículo 37;Artículo 38;Artículo 40;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE establece que los ciudadanos de la Unión Europea y los extranjeros tendrán los derechos que determinen los tratados?;Artículo 13;Artículo 14;Artículo 15;Artículo 16;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿En qué artículo del Título I de la CE se reconoce el derecho a la propiedad privada y a la herencia?;Artículo 33;Artículo 34;Artículo 35;Artículo 36;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál artículo del Título I de la CE establece que ninguna confesión tendrá carácter estatal?;Artículo 16;Artículo 17;Artículo 18;Artículo 19;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Título I de la CE protege el derecho al honor, a la intimidad personal y familiar y a la propia imagen?;Artículo 18;Artículo 19;Artículo 20;Artículo 21;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál artículo del Título I de la CE establece que los españoles son iguales ante la ley y no podrán prevalecer discriminaciones por razón de sexo, nacimiento, raza, religión u opinión?;Artículo 14;Artículo 15;Artículo 16;Artículo 17;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
