Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué dispositivo se utiliza para conectar dos redes diferentes y gestionar el tráfico entre ellas?;Switch;Router;Hub;Gateway;3;https://www.lifewire.com/what-is-a-gateway-2625937
¿Cuál es la función principal de un router en una red?;Transmitir datos en una sola dirección;Conectar múltiples dispositivos sin filtrar el tráfico;Conectar redes diferentes y dirigir el tráfico de datos;Amplificar señales digitales;2;https://www.lifewire.com/what-is-a-router-2618162
¿Qué dispositivo opera principalmente en la capa de enlace de datos del modelo OSI?;Router;Switch;Gateway;Hub;1;https://www.lifewire.com/network-switches-in-computer-networking-817579
¿Cuál es la principal diferencia entre un hub y un switch?;Un hub transmite datos a todos los dispositivos conectados, mientras que un switch envía datos solo al dispositivo destinatario;Un hub es más rápido que un switch;Un hub puede asignar direcciones IP;Un switch no puede conectar múltiples dispositivos;0;https://www.lifewire.com/hub-vs-switch-817565
¿Qué dispositivo se usa para traducir entre diferentes protocolos de red en una red de empresa?;Switch;Router;Hub;Gateway;3;https://www.lifewire.com/what-is-a-gateway-2625937
¿En qué capa del modelo OSI opera principalmente un hub?;Capa de aplicación;Capa de transporte;Capa de enlace de datos;Capa física;3;https://www.lifewire.com/collision-domain-817948
¿Cuál es una característica clave de un switch que lo diferencia de los hubs?;Incapacidad para gestionar direcciones IP;Capacidad para crear múltiples dominios de colisión;No utiliza la tabla MAC para el tráfico de red;Opera solo en la capa física del modelo OSI;1;https://www.lifewire.com/lan-switch-definition-817948
¿Qué dispositivo es más efectivo para aumentar la eficiencia de la red al reducir colisiones?;Hub;Router;Switch;Repetidor;2;https://www.lifewire.com/ethernet-collision-818158
¿Qué función realiza un gateway en una red doméstica?;Conecta la red doméstica a Internet;Filtra el tráfico de red;Proporciona direcciones IP a los dispositivos;Actúa como un firewall;0;https://www.lifewire.com/what-is-a-gateway-2625937
¿Para qué se usa un router en una red doméstica?;Para conectar diferentes dispositivos domésticos sin Internet;Para ampliar la señal Wi-Fi;Para conectar la red doméstica a Internet y dirigir el tráfico de datos;Para filtrar contenido web;2;https://www.lifewire.com/what-is-a-router-2618162
¿Cómo afecta un hub a la seguridad de la red?;No afecta la seguridad de la red;Aumenta la seguridad al filtrar el tráfico;Disminuye la seguridad al transmitir datos a todos los dispositivos de la red;Configura automáticamente firewalls;2;https://www.lifewire.com/ethernet-hub-817456
¿Qué ventaja ofrece un switch sobre un hub en términos de administración de tráfico de red?;El switch no puede gestionar el tráfico de red;El switch envía datos solo al dispositivo destinatario, reduciendo el tráfico innecesario;El switch aumenta el tráfico al enviar datos a todos los dispositivos;El switch es más lento pero más seguro;1;https://www.lifewire.com/lan-switching-switched-network-817579
¿Cuál es el propósito de un gateway en términos de comunicación entre diferentes redes?;Permitir la comunicación sin restricciones entre redes;Impedir toda comunicación entre redes;Traducir la comunicación entre diferentes protocolos de redes;Supervisar y limitar el acceso a la red;2;https://www.lifewire.com/what-is-a-gateway-2625937
¿Cuál dispositivo es mejor para manejar el tráfico de broadcast en una red?;Hub;Switch;Router;Repetidor;1;https://www.lifewire.com/network-switches-in-computer-networking-817579
¿Cómo ayuda un router a proteger una red?;Usando NAT para ocultar las direcciones IP internas;Bloqueando todo el tráfico de entrada y salida;Permitiendo el acceso irrestricto a la red;Funcionando como un servidor DHCP;0;https://www.lifewire.com/what-is-nat-3426342
