Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué significa USB en el contexto de la computación?;Universal Serial Bus;Unified System Base;Universal System Bus;Unified Serial Base;0;https://www.usb.org/document-library/usb-20-specification
¿Cuál fue el principal objetivo del desarrollo del estándar USB?;Reemplazar los puertos paralelos y seriales;Aumentar la velocidad de transferencia de datos;Reducir el consumo de energía de los dispositivos;Proporcionar una conexión inalámbrica;0;https://www.usb.org/about
¿Qué versión de USB fue la primera en ofrecer compatibilidad con dispositivos de baja velocidad y alta velocidad?;USB 1.0;USB 1.1;USB 2.0;USB 3.0;1;https://en.wikipedia.org/wiki/USB#USB_1.1
¿Cuál es la tasa de transferencia máxima de USB 2.0?;1.5 Mbps;12 Mbps;480 Mbps;5 Gbps;2;https://en.wikipedia.org/wiki/USB_2.0
¿Qué versión de USB introdujo el conector reversible Type-C?;USB 1.1;USB 2.0;USB 3.1;USB 3.2;2;https://en.wikipedia.org/wiki/USB-C
¿Qué característica de seguridad se mejora al usar un puerto USB con encriptación de datos?;Tasa de transferencia;Interferencia eléctrica;Protección de datos;Durabilidad del conector;2;https://www.usb.org/sites/default/files/USB%203.1_Encryption_Discussion_Paper.pdf
¿Qué mecanismo utiliza USB para proporcionar energía a los dispositivos conectados?;Inducción magnética;Transferencia de potencia por cable;Conducción óptica;Ninguno, los dispositivos USB no se cargan por USB;1;https://en.wikipedia.org/wiki/USB#Power
¿Cuál es la principal diferencia entre USB 3.0 y USB 3.1?;Color del conector;Tasa de transferencia máxima;Tipo de conector;Ninguna, son lo mismo;1;https://en.wikipedia.org/wiki/USB_3.1
¿Qué técnica se utiliza en USB 3.0 para aumentar la tasa de transferencia de datos?;Multiplexación por división de tiempo;Doble canal de datos;Multiplexación por división de frecuencia;Asignación de canal dinámico;1;https://www.usb.org/document-library/usb-32-specification-released-july-26-2017-and-ecns
¿Cómo se denomina el proceso de conectar y desconectar dispositivos USB sin apagar el equipo?;Hot plugging;Quick switch;Fast connect;Rapid set up;0;https://www.techtarget.com/searchnetworking/definition/hot-plug
¿Qué función cumple el protocolo USB OTG (On-The-Go)?;Permite a los dispositivos USB actuar como servidores;Convierte dispositivos USB en dispositivos de carga inalámbrica;Permite que los dispositivos USB funcionen como host;Ninguna de las anteriores;2;https://en.wikipedia.org/wiki/USB_On-The-Go
¿Cuál es la tasa de transferencia máxima de USB 3.2?;10 Gbps;20 Gbps;40 Gbps;5 Gbps;1;https://en.wikipedia.org/wiki/USB_3.2
¿Qué aspecto del diseño del USB Type-C es notable comparado con versiones anteriores?;Es más pequeño;Es reversible;Es más largo;Todas las anteriores;1;https://www.cablestogo.com/learning/connector-guides/usb
¿Cuál de las siguientes no es una característica estándar de los cables y puertos USB?;Capacidad de carga rápida;Suministro de energía bidireccional;Transmisión de datos bidireccional;Transmisión de datos unidireccional;3;https://www.computerworld.com/article/2839747/what-is-usb-3-1-and-what-does-it-mean-for-you.html
¿Cuál es una de las principales ventajas de USB sobre otros tipos de conexiones, como FireWire?;Menor costo;Mayor velocidad;Mejor encriptación;Conexión inalámbrica;0;https://www.diffen.com/difference/FireWire_vs_USB
