Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué significa NoSQL?;Not Only SQL;Non-SQL;No SQL;No Structured Query Language;0;https://en.wikipedia.org/wiki/NoSQL
¿Cuál de las siguientes NO es una categoría común de bases de datos NoSQL?;Relacional;Documentales;Clave-valor;Columnares;0;https://en.wikipedia.org/wiki/NoSQL
¿Qué tipo de base de datos NoSQL es ideal para manejar grandes volúmenes de datos no estructurados?;Documental;Clave-valor;Columnar;Grafo;0;https://en.wikipedia.org/wiki/NoSQL
¿Qué es una base de datos clave-valor en NoSQL?;Almacena datos como un conjunto de pares clave-valor;Almacena datos en documentos similares a JSON;Almacena datos en columnas en lugar de filas;Almacena datos en nodos y bordes;0;https://en.wikipedia.org/wiki/NoSQL
¿Cuál es una característica clave de las bases de datos documentales en NoSQL?;Almacenan datos en documentos similares a JSON;Almacenan datos como un conjunto de pares clave-valor;Almacenan datos en columnas en lugar de filas;Almacenan datos en nodos y bordes;0;https://en.wikipedia.org/wiki/NoSQL
¿Qué es una base de datos columnar en NoSQL?;Almacena datos en columnas en lugar de filas;Almacena datos como un conjunto de pares clave-valor;Almacena datos en documentos similares a JSON;Almacena datos en nodos y bordes;0;https://en.wikipedia.org/wiki/NoSQL
¿Qué es una base de datos de grafos en NoSQL?;Almacena datos en nodos y bordes;Almacena datos como un conjunto de pares clave-valor;Almacena datos en columnas en lugar de filas;Almacena datos en documentos similares a JSON;0;https://en.wikipedia.org/wiki/NoSQL
¿Cuál es una ventaja de las bases de datos NoSQL sobre las bases de datos relacionales?;Escalabilidad horizontal más fácil;Estructura de datos estricta;Soporte completo para transacciones ACID;Esquema fijo y predefinido;0;https://en.wikipedia.org/wiki/NoSQL
¿Qué es la consistencia eventual en el contexto de las bases de datos NoSQL?;Los cambios eventualmente se propagan a todos los nodos en la base de datos;Los cambios son consistentes en todos los nodos en la base de datos;Los cambios son garantizados en cada operación de escritura;Los cambios son siempre consistentes instantáneamente;0;https://en.wikipedia.org/wiki/Eventual_consistency
¿Qué significa ACID en el contexto de las bases de datos?;Atomicidad, Consistencia, Aislamiento, Durabilidad;Algoritmo, Compresión, Integración, Durabilidad;Agregación, Compresión, Integración, División;Atomicidad, Conexión, Aislamiento, División;0;https://en.wikipedia.org/wiki/ACID
¿Qué es la escalabilidad horizontal en el contexto de las bases de datos NoSQL?;Agregar más máquinas para manejar la carga;Agregar más espacio en disco para manejar la carga;Optimizar el rendimiento de las consultas existentes;Agregar más RAM para mejorar el rendimiento;0;https://en.wikipedia.org/wiki/Horizontal_scaling
¿Qué es la replicación en las bases de datos distribuidas NoSQL?;Crear y mantener copias de los datos en múltiples nodos;Eliminar datos obsoletos de la base de datos;Crear una nueva instancia de base de datos;Comprimir los datos para reducir el tamaño;0;https://en.wikipedia.org/wiki/Replication_(computer_science)
