Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es la complejidad temporal de un algoritmo?;El tiempo que tarda un algoritmo en ejecutarse en función del tamaño de la entrada;La cantidad de memoria que utiliza un algoritmo;La cantidad de operaciones que realiza un algoritmo;La cantidad de líneas de código que tiene un algoritmo;0;https://en.wikipedia.org/wiki/Time_complexity
¿Cuál de las siguientes afirmaciones sobre la complejidad temporal es correcta?;Un algoritmo con complejidad O(n) es más eficiente que un algoritmo con complejidad O(n^2);Un algoritmo con complejidad O(n^2) siempre es más rápido que uno con complejidad O(n log n);Un algoritmo con complejidad O(1) siempre es más lento que uno con complejidad O(n);Un algoritmo con complejidad O(n log n) siempre tiene mejor rendimiento que uno con complejidad O(n);0;https://en.wikipedia.org/wiki/Time_complexity
¿Qué es la complejidad espacial de un algoritmo?;La cantidad de memoria que utiliza un algoritmo en función del tamaño de la entrada;El tiempo que tarda un algoritmo en ejecutarse en función del tamaño de la entrada;La cantidad de operaciones que realiza un algoritmo;La cantidad de líneas de código que tiene un algoritmo;0;https://en.wikipedia.org/wiki/Space_complexity
¿Cuál de las siguientes afirmaciones sobre la complejidad espacial es correcta?;Un algoritmo con complejidad O(n) siempre utiliza menos memoria que uno con complejidad O(log n);Un algoritmo con complejidad O(log n) siempre utiliza menos memoria que uno con complejidad O(n);La complejidad espacial de un algoritmo es independiente del tamaño de la entrada;Un algoritmo con complejidad O(1) utiliza más memoria que uno con complejidad O(n);0;https://en.wikipedia.org/wiki/Space_complexity
¿Qué es la notación Big O (O) utilizada para describir la complejidad de un algoritmo?;Describe el límite superior asintótico del tiempo o espacio que necesita un algoritmo en función del tamaño de la entrada;Describe el número exacto de operaciones que realiza un algoritmo;Describe el número exacto de líneas de código que tiene un algoritmo;Describe la cantidad de memoria que utiliza un algoritmo;0;https://en.wikipedia.org/wiki/Big_O_notation
¿Cuál de las siguientes afirmaciones describe mejor la notación Big O (O)?;O(n) representa una complejidad lineal, donde el tiempo o espacio requerido crece proporcionalmente al tamaño de la entrada;O(n!) representa una complejidad exponencial, donde el tiempo o espacio requerido crece exponencialmente con el tamaño de la entrada;O(log n) representa una complejidad cuadrática, donde el tiempo o espacio requerido crece cuadráticamente con el tamaño de la entrada;O(1) representa una complejidad logarítmica, donde el tiempo o espacio requerido crece de forma logarítmica con el tamaño de la entrada;0;https://en.wikipedia.org/wiki/Big_O_notation
¿Cuál es la complejidad temporal promedio del algoritmo de ordenación Quick Sort en el peor caso?;O(n^2);O(n log n);O(n);O(1);0;https://en.wikipedia.org/wiki/Quicksort
¿Cuál es la complejidad temporal promedio del algoritmo de ordenación Merge Sort?;O(n log n);O(n);O(1);O(n^2);0;https://en.wikipedia.org/wiki/Merge_sort
¿Qué caracteriza a un algoritmo recursivo?;Se llama a sí mismo directa o indirectamente en su definición;No utiliza funciones auxiliares;Siempre tiene una complejidad temporal de O(1);Es menos eficiente que un algoritmo iterativo;0;https://en.wikipedia.org/wiki/Recursion_(computer_science)
¿Cuál es la principal ventaja de los algoritmos recursivos?;Pueden ser más simples de entender e implementar en ciertos casos;Siempre tienen mejor rendimiento que los algoritmos iterativos;Son menos propensos a errores que los algoritmos iterativos;Requieren menos memoria que los algoritmos iterativos;0;https://en.wikipedia.org/wiki/Recursion_(computer_science)
