Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es NTLM?;Un protocolo de encriptación;Un protocolo de autenticación;Un protocolo de transferencia de archivos;Un sistema operativo;1;https://en.wikipedia.org/wiki/NT_LAN_Manager
¿Para qué se utiliza principalmente NTLM en las redes?;Para el enrutamiento de datos;Para la autenticación de usuarios;Para el cifrado de archivos;Para la administración de la red;1;https://docs.microsoft.com/en-us/windows-server/security/kerberos/ntlm-overview
¿Qué versión de NTLM introdujo soporte para hash MD5?;NTLM;NTLMv1;NTLMv2;NTLMv3;2;https://en.wikipedia.org/wiki/NT_LAN_Manager
¿Cuál es una desventaja conocida de NTLM en comparación con Kerberos?;Mayor consumo de recursos del sistema;Menos soporte multiplataforma;Menor seguridad;Requiere una conexión a Internet;2;https://docs.microsoft.com/en-us/windows-server/security/kerberos/ntlm-overview
¿Qué elemento NO es utilizado por NTLM para la autenticación?;Nombre de usuario y contraseña;Hash de la contraseña;Token de acceso;Clave pública y privada;3;https://en.wikipedia.org/wiki/NT_LAN_Manager
¿Cómo se almacenan las credenciales en NTLM para la autenticación?;En texto claro;Como un hash en la base de datos de seguridad local;En un servidor dedicado;En un archivo cifrado en cada máquina del usuario;1;https://docs.microsoft.com/en-us/windows-server/security/kerberos/ntlm-overview
¿Qué significa que NTLM sea un protocolo de desafío-respuesta?;Que las respuestas a los desafíos son predecibles;Que requiere múltiples rondas de preguntas y respuestas;Que el servidor presenta un desafío que el cliente debe resolver para autenticarse;Que los usuarios deben responder a preguntas de seguridad personales;2;https://en.wikipedia.org/wiki/Challenge%E2%80%93response_authentication
¿En qué circunstancia es más probable que se use NTLM hoy en día?;En sistemas que no soportan Kerberos;En todas las nuevas instalaciones de Windows;En aplicaciones web modernas;En redes basadas exclusivamente en Linux;0;https://docs.microsoft.com/en-us/windows-server/security/kerberos/ntlm-overview
¿Cuál es un ejemplo de uso de NTLM en aplicaciones modernas?;Autenticación en servicios de correo electrónico;Autenticación en conexiones de escritorio remoto;Autenticación en redes sociales;Autenticación en dispositivos móviles;1;https://en.wikipedia.org/wiki/NT_LAN_Manager
¿Qué algoritmo de hashing utiliza NTLM para proteger las credenciales de usuario?;SHA-256;MD5;SHA-1;MD4;3;https://en.wikipedia.org/wiki/NT_LAN_Manager
