Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es la aritmética de direcciones IP?;Proceso de dividir redes en subredes;Cálculo involucrado en la asignación de direcciones IP;Método para cifrar direcciones IP;Configuración de rutas IP en un router;1;https://en.wikipedia.org/wiki/IP_address
¿Cuántos bits tiene una dirección IPv4?;32 bits;64 bits;128 bits;256 bits;0;https://www.lifewire.com/internet-protocol-version-4-817365
¿Qué representa el término "subnet mask"?;Un número que separa la IP del dominio;Una máscara que oculta la dirección IP;Una máscara que define qué parte de la dirección IP es la red y qué parte es el host;Un filtro para tráfico de datos en una red;2;https://www.lifewire.com/what-is-a-subnet-mask-2625781
¿Cómo se calcula el número de hosts posibles en una subred?;2^n - 2, donde n es el número de bits de host;2^n, donde n es el número de bits de red;n^2, donde n es el número de bits de host;n/2, donde n es el número de bits de red;0;https://www.lifewire.com/subnet-mask-818384
¿Qué resultado se obtiene al aplicar AND entre una dirección IP y su máscara de subred?;La dirección de red;La dirección del host;El número total de hosts;El número total de subredes posibles;0;https://www.lifewire.com/binary-and-logical-and-818017
¿Qué indica un /24 al final de una dirección IP en notación CIDR?;24 hosts en la red;24 redes disponibles;Una máscara de subred de 255.255.255.0;Una máscara de subred de 255.255.0.0;2;https://www.lifewire.com/cidr-notation-definition-816549
¿Qué método se utiliza para dividir una red en varias subredes más pequeñas?;Supernetting;Multicasting;Subnetting;Broadcasting;2;https://www.lifewire.com/what-is-subnetting-2625883
¿Cuál es el primer paso para calcular la subred de una dirección IP dada?;Determinar la clase de la dirección IP;Aplicar la máscara de subred a la dirección IP;Convertir la dirección IP a binario;Encontrar la dirección de broadcast;2;https://www.lifewire.com/how-to-calculate-network-and-broadcast-address-818405
¿Cómo se denomina la técnica que permite más eficiencia en el uso de direcciones IPv4 al reducir el desperdicio de direcciones IP?;CIDR (Classless Inter-Domain Routing);NAT (Network Address Translation);ARP (Address Resolution Protocol);RARP (Reverse Address Resolution Protocol);0;https://www.lifewire.com/classless-inter-domain-routing-cidr-817519
¿Qué es un bloque de direcciones IP?;Un grupo de direcciones IP usadas para multicast;Una única dirección IP usada para una red entera;Un conjunto de direcciones IP asignadas para una tarea específica;Una serie de direcciones IP consecutivas asignadas a una organización;3;https://www.lifewire.com/what-is-an-ip-address-block-3971338
¿Qué sucede cuando dos dispositivos en la misma red tienen la misma dirección IP?;La dirección se duplica automáticamente;El tráfico de red se incrementa;Se produce un conflicto de direcciones IP;La red se divide en dos subredes;2;https://www.lifewire.com/ip-address-conflicts-818370
¿Cómo se calcula el broadcast address de una subred?;Poniendo todos los bits de host a 0;Poniendo todos los bits de host a 1;Sumando uno a la dirección de red;Restando uno de la dirección de red;1;https://www.lifewire.com/how-to-calculate-network-and-broadcast-address-818405
¿Qué significa que una dirección IP esté en "formato decimal punteado"?;Que la dirección está dividida en cuatro secciones, cada una separada por un punto;Que cada sección de la dirección tiene decimales;Que la dirección está cifrada;Que la dirección solo puede contener números entre 0 y 9;0;https://www.lifewire.com/dotted-decimal-notation-817968
¿Cuál es la importancia de la conversión entre binario y decimal en la aritmética de direcciones IP?;Facilita la transmisión de datos en la red;Ayuda a los administradores a configurar redes más rápidamente;Es necesario para el cálculo correcto de direcciones de red, máscaras de subred y direcciones de broadcast;Reduce la cantidad de errores en la configuración de la red;2;https://www.lifewire.com/binary-to-decimal-conversion-817836
¿Cómo se determina la cantidad de subredes que se pueden crear dentro de una red mayor?;Multiplicando el número de direcciones por la máscara de subred;Dividiendo la máscara de subred por el número de direcciones;Usando la fórmula 2^n, donde n es el número de bits utilizados para la subred;Sumando los bits de host y de red;2;https://www.lifewire.com/definition-of-subnet-mask-817948
