Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es un algoritmo de planificación en sistemas operativos?;Un método para gestionar la ejecución de procesos;Un programa de edición de texto;Un sistema de archivos;Un tipo de servidor;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Cuál es el objetivo principal de los algoritmos de planificación en sistemas operativos?;Optimizar el rendimiento del sistema;Optimizar el espacio en disco;Optimizar la velocidad de la red;Optimizar la seguridad del sistema;0;https://www.geeksforgeeks.org/cpu-scheduling-in-operating-systems/
¿Qué es el tiempo de retorno de un proceso en el contexto de los algoritmos de planificación?;El tiempo desde que se inicia hasta que termina;El tiempo total de ejecución del proceso;El tiempo que el proceso ha estado en espera;El tiempo que el proceso ha estado listo para ejecutar;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Qué es el tiempo de respuesta de un proceso en el contexto de los algoritmos de planificación?;El tiempo que tarda un proceso en comenzar a obtener respuesta;El tiempo total de ejecución del proceso;El tiempo que el proceso ha estado en espera;El tiempo que el proceso ha estado listo para ejecutar;0;https://www.studytonight.com/operating-system/process-scheduling
¿Cuál es la diferencia entre el tiempo de retorno y el tiempo de espera en los algoritmos de planificación?;El tiempo de retorno incluye el tiempo de espera más el tiempo de ejecución;El tiempo de espera incluye el tiempo de retorno más el tiempo de ejecución;No hay diferencia, ambos términos son sinónimos;El tiempo de espera es el tiempo total que un proceso está esperando, mientras que el tiempo de retorno es el tiempo total que un proceso está en ejecución;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Qué es la asignación preemptiva en los algoritmos de planificación?;La capacidad de interrumpir un proceso en ejecución;La asignación de recursos adicionales a un proceso;La programación de procesos en lote;La ejecución de procesos en segundo plano;0;https://en.wikipedia.org/wiki/Preemption_(computing)
¿Qué es la asignación no preemptiva en los algoritmos de planificación?;No se permite interrumpir un proceso en ejecución;Se permite interrumpir un proceso en ejecución;Se permite ejecutar múltiples procesos simultáneamente;Se permite planificar procesos por lotes;0;https://www.studytonight.com/operating-system/process-scheduling
¿Cuál es el objetivo del algoritmo FCFS (First-Come, First-Served) en la planificación de procesos?;Planificar procesos según el orden de llegada;Planificar procesos según su prioridad;Planificar procesos según su tamaño;Planificar procesos según su estado;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Qué problema puede surgir con el algoritmo FCFS en la planificación de procesos?;Inanición de procesos de baja prioridad;Proporciona poca concurrencia;No se pueden planificar procesos;No gestiona bien la memoria;0;https://www.studytonight.com/operating-system/process-scheduling
¿Qué es el tiempo de retorno promedio en el contexto de los algoritmos de planificación?;El promedio de todos los tiempos de retorno de los procesos;El tiempo total de ejecución promedio de los procesos;El tiempo que un proceso ha estado esperando en promedio;El tiempo total de respuesta promedio de los procesos;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Qué algoritmo de planificación tiene como objetivo minimizar el tiempo de retorno promedio?;SJF (Shortest Job First);Round Robin;FCFS (First-Come, First-Served);Priority Scheduling;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Qué es el algoritmo SJF (Shortest Job First) en la planificación de procesos?;Planifica el proceso más corto primero;Planifica el proceso más largo primero;Planifica los procesos según su prioridad;Planifica los procesos según el orden de llegada;0;https://en.wikipedia.org/wiki/Shortest_job_next
¿Cuál es la principal ventaja del algoritmo SJF (Shortest Job First)?;Minimiza el tiempo de espera de los procesos cortos;Maximiza el tiempo de espera de los procesos largos;No es eficiente para lotes grandes de procesos;No gestiona bien la memoria;0;https://www.studytonight.com/operating-system/process-scheduling
¿Qué es el tiempo de respuesta promedio en el contexto de los algoritmos de planificación?;El promedio de todos los tiempos de respuesta de los procesos;El tiempo total de ejecución promedio de los procesos;El tiempo que un proceso ha estado esperando en promedio;El tiempo total de retorno promedio de los procesos;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Qué es el algoritmo Round Robin en la planificación de procesos?;Asigna un tiempo de CPU a cada proceso en un orden cíclico;Planifica los procesos según su tamaño;Planifica los procesos según su prioridad;Planifica los procesos según el orden de llegada;0;https://en.wikipedia.org/wiki/Round-robin_scheduling
¿Cuál es la ventaja principal del algoritmo Round Robin en la planificación de procesos?;Garantiza justicia en el uso del CPU;No es eficiente para lotes grandes de procesos;No gestiona bien la memoria;Proporciona poca concurrencia;0;https://www.studytonight.com/operating-system/process-scheduling
¿Qué es el quantum en el contexto del algoritmo Round Robin?;El tiempo asignado a cada proceso para ejecutarse;El tiempo total de ejecución de un proceso;El tiempo que un proceso ha estado esperando;El tiempo que un proceso ha estado listo para ejecutar;0;https://en.wikipedia.org/wiki/Round-robin_scheduling
¿Qué es la planificación basada en prioridades en los algoritmos de planificación?;Asigna prioridades a los procesos y planifica según ellas;Planifica los procesos según el tamaño;Planifica los procesos según el orden de llegada;Planifica los procesos según su estado;0;https://en.wikipedia.org/wiki/Priority_scheduling
¿Cuál es la principal desventaja de la planificación basada en prioridades?;Inanición de procesos de baja prioridad;Proporciona poca concurrencia;No se pueden planificar procesos;No gestiona bien la memoria;0;https://www.studytonight.com/operating-system/process-scheduling
¿Qué es la planificación basada en prioridades dinámicas?;Ajusta las prioridades de los procesos durante su ejecución;No ajusta las prioridades de los procesos durante su ejecución;Planifica los procesos según el tamaño;Planifica los procesos según el orden de llegada;0;https://en.wikipedia.org/wiki/Dynamic_priority_scheduling
¿Cuál es la principal ventaja de la planificación basada en prioridades dinámicas?;Mejora la respuesta del sistema a cambios en la carga de trabajo;Reduce la velocidad de respuesta del sistema;No gestiona bien la memoria;Proporciona poca concurrencia;0;https://www.studytonight.com/operating-system/process-scheduling
¿Qué es la planificación en tiempo real en los algoritmos de planificación?;Garantiza que ciertas tareas se completen antes de una fecha límite;No garantiza la ejecución de tareas en un tiempo específico;Planifica los procesos según su tamaño;Planifica los procesos según su prioridad;0;https://en.wikipedia.org/wiki/Real-time_computing
¿Qué es un sistema de tiempo real en los algoritmos de planificación?;Un sistema que garantiza la ejecución de tareas en un tiempo específico;Un sistema que no garantiza la ejecución de tareas en un tiempo específico;Un sistema que no gestiona bien la memoria;Un sistema que proporciona poca concurrencia;0;https://www.studytonight.com/operating-system/process-scheduling
¿Qué es la planificación por lotes en los algoritmos de planificación?;Planifica los procesos en grupos o lotes;Planifica los procesos según su tamaño;Planifica los procesos según su prioridad;Planifica los procesos según el orden de llegada;0;https://en.wikipedia.org/wiki/Batch_processing
¿Cuál es la principal característica de la planificación por lotes?;Permite la ejecución de varios procesos sin intervención del usuario;Requiere intervención del usuario para cada proceso;No gestiona bien la memoria;Proporciona poca concurrencia;0;https://www.geeksforgeeks.org/cpu-scheduling-in-operating-systems/
¿Qué es la planificación basada en heurísticas en los algoritmos de planificación?;Utiliza reglas generales para tomar decisiones de planificación;Planifica los procesos según su tamaño;Planifica los procesos según su prioridad;Planifica los procesos según el orden de llegada;0;https://en.wikipedia.org/wiki/Heuristic_(computer_science)
¿Cuál es la principal desventaja de la planificación basada en heurísticas?;Puede no optimizar la planificación en todos los casos;Proporciona poca concurrencia;No se pueden planificar procesos;No gestiona bien la memoria;0;https://www.geeksforgeeks.org/cpu-scheduling-in-operating-systems/
¿Qué es el algoritmo LIFO (Last In, First Out) en la planificación de procesos?;Planifica el último proceso en llegar primero;Planifica el primer proceso en llegar primero;Planifica los procesos según su tamaño;Planifica los procesos según su prioridad;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Cuál es la principal característica del algoritmo LIFO en la planificación de procesos?;No es eficiente para lotes grandes de procesos;No gestiona bien la memoria;Proporciona poca concurrencia;Garantiza que los últimos procesos en llegar se ejecuten primero;0;https://www.geeksforgeeks.org/cpu-scheduling-in-operating-systems/
¿Qué es el algoritmo FIFO (First In, First Out) en la planificación de procesos?;Planifica el primer proceso en llegar primero;Planifica el último proceso en llegar primero;Planifica los procesos según su tamaño;Planifica los procesos según su prioridad;0;https://en.wikipedia.org/wiki/Scheduling_(computing)
¿Cuál es la principal característica del algoritmo FIFO en la planificación de procesos?;No es eficiente para lotes grandes de procesos;No gestiona bien la memoria;Proporciona poca concurrencia;Garantiza que los primeros procesos en llegar se ejecuten primero;0;https://www.geeksforgeeks.org/cpu-scheduling-in-operating-systems/
¿Qué es el algoritmo de planificación basado en algoritmos genéticos?;Utiliza técnicas de algoritmos genéticos para la planificación de procesos;Planifica los procesos según su tamaño;Planifica los procesos según su prioridad;Planifica los procesos según el orden de llegada;0;https://en.wikipedia.org/wiki/Genetic_algorithm
¿Cuál es la principal característica del algoritmo de planificación basado en algoritmos genéticos?;No es eficiente para lotes grandes de procesos;No gestiona bien la memoria;Proporciona poca concurrencia;Utiliza técnicas de evolución y selección natural para la planificación;0;https://en.wikipedia.org/wiki/Genetic_algorithm
