Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué hace la sentencia SELECT en SQL?;Recupera datos de una base de datos relacional;Actualiza datos en una base de datos relacional;Elimina datos de una base de datos relacional;Crea una nueva tabla en una base de datos relacional;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Cuál es el propósito de la cláusula WHERE en una sentencia SQL?;Filtrar filas basadas en una condición especificada;Ordenar filas basadas en una condición especificada;Agrupar filas basadas en una condición especificada;Seleccionar todas las filas de una tabla;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué operador se utiliza para la igualdad en SQL?;= (igual);< (menor que);> (mayor que);<> (no igual);0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es la cláusula ORDER BY en SQL?;Ordena el resultado de una consulta basado en una columna específica;Filtrar el resultado de una consulta basado en una condición específica;Agrupar el resultado de una consulta basado en una columna específica;Seleccionar solo una cantidad limitada de filas del resultado de una consulta;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Cómo se utiliza la cláusula GROUP BY en SQL?;Agrupa filas que tienen el mismo valor en una o más columnas especificadas;Ordena filas basadas en una condición especificada;Filtra filas basadas en una condición especificada;Selecciona todas las filas de una tabla;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué hace la función COUNT() en SQL?;Cuenta el número de filas en un conjunto de resultados;Calcula el promedio de los valores en una columna;Encuentra el valor máximo en una columna;Suma los valores en una columna;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es una subconsulta (subquery) en SQL?;Una consulta dentro de otra consulta;Una consulta que incluye múltiples operadores JOIN;Una consulta que incluye la cláusula GROUP BY;Una consulta que incluye la cláusula ORDER BY;0;https://en.wikipedia.org/wiki/Subquery
¿Qué hace la función AVG() en SQL?;Calcula el promedio de los valores en una columna;Cuenta el número de filas en un conjunto de resultados;Encuentra el valor máximo en una columna;Suma los valores en una columna;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Cuál es la función de la cláusula HAVING en SQL?;Filtrar el resultado de una consulta basado en una condición agregada;Ordenar el resultado de una consulta basado en una columna específica;Agrupar el resultado de una consulta basado en una columna específica;Seleccionar solo una cantidad limitada de filas del resultado de una consulta;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué hace la función SUM() en SQL?;Suma los valores en una columna;Calcula el promedio de los valores en una columna;Encuentra el valor máximo en una columna;Cuenta el número de filas en un conjunto de resultados;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es la cláusula DISTINCT en SQL?;Se utiliza para devolver solo valores únicos en una consulta;Se utiliza para ordenar el resultado de una consulta;Se utiliza para agrupar el resultado de una consulta;Se utiliza para limitar el número de filas devueltas por una consulta;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es una cláusula JOIN en SQL?;Combina filas de dos o más tablas basado en una relación entre ellas;Ordena filas basadas en una condición especificada;Agrupa filas basadas en una condición especificada;Selecciona todas las filas de una tabla;0;https://en.wikipedia.org/wiki/Join_(SQL)
¿Qué es un INNER JOIN en SQL?;Devuelve solo filas que tienen una coincidencia en ambas tablas;Devuelve todas las filas de la tabla izquierda (left table);Devuelve todas las filas de la tabla derecha (right table);Devuelve todas las filas de ambas tablas;0;https://en.wikipedia.org/wiki/Join_(SQL)
¿Qué es un LEFT JOIN en SQL?;Devuelve todas las filas de la tabla izquierda (left table) y las filas coincidentes de la tabla derecha (right table);Devuelve solo filas que tienen una coincidencia en ambas tablas;Devuelve todas las filas de la tabla derecha (right table);Devuelve todas las filas de ambas tablas;0;https://en.wikipedia.org/wiki/Join_(SQL)
¿Qué es un RIGHT JOIN en SQL?;Devuelve todas las filas de la tabla derecha (right table) y las filas coincidentes de la tabla izquierda (left table);Devuelve todas las filas de la tabla izquierda (left table) y las filas coincidentes de la tabla derecha (right table);Devuelve solo filas que tienen una coincidencia en ambas tablas;Devuelve todas las filas de ambas tablas;0;https://en.wikipedia.org/wiki/Join_(SQL)
¿Qué es un FULL JOIN en SQL?;Devuelve todas las filas cuando hay una coincidencia en una de las tablas;Devuelve todas las filas de ambas tablas, cuando hay una coincidencia en una de las tablas;Devuelve todas las filas de la tabla izquierda (left table) y las filas coincidentes de la tabla derecha (right table);Devuelve todas las filas de la tabla derecha (right table) y las filas coincidentes de la tabla izquierda (left table);0;https://en.wikipedia.org/wiki/Join_(SQL)
¿Qué es la cláusula UNION en SQL?;Combina el resultado de dos o más consultas en una única tabla de resultados;Ordena el resultado de una consulta basado en una columna específica;Agrupa el resultado de una consulta basado en una columna específica;Selecciona solo una cantidad limitada de filas del resultado de una consulta;0;https://en.wikipedia.org/wiki/Set_operations_(SQL)
¿Qué es la cláusula UNION ALL en SQL?;Combina el resultado de dos o más consultas, incluyendo duplicados, en una única tabla de resultados;Ordena el resultado de una consulta basado en una columna específica;Agrupa el resultado de una consulta basado en una columna específica;Selecciona solo una cantidad limitada de filas del resultado de una consulta;0;https://en.wikipedia.org/wiki/Set_operations_(SQL)
¿Qué hace la sentencia INSERT INTO en SQL?;Inserta nuevos registros en una tabla;Actualiza registros existentes en una tabla;Elimina registros de una tabla;Crea una nueva tabla en una base de datos;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué hace la sentencia UPDATE en SQL?;Actualiza registros existentes en una tabla;Inserta nuevos registros en una tabla;Elimina registros de una tabla;Crea una nueva tabla en una base de datos;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué hace la sentencia DELETE FROM en SQL?;Elimina registros de una tabla;Inserta nuevos registros en una tabla;Actualiza registros existentes en una tabla;Crea una nueva tabla en una base de datos;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es la cláusula LIMIT en SQL?;Limita el número de filas devueltas por una consulta;Ordena el resultado de una consulta basado en una columna específica;Agrupa el resultado de una consulta basado en una columna específica;Filtra filas basadas en una condición especificada;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué es la cláusula OFFSET en SQL?;Salta un número específico de filas en una consulta;Limita el número de filas devueltas por una consulta;Ordena el resultado de una consulta basado en una columna específica;Agrupa el resultado de una consulta basado en una columna específica;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Cómo se utiliza la cláusula ORDER BY en SQL?;Ordena el resultado de una consulta basado en una columna específica;Filtra el resultado de una consulta basado en una condición específica;Agrupa el resultado de una consulta basado en una columna específica;Selecciona solo una cantidad limitada de filas del resultado de una consulta;0;https://en.wikipedia.org/wiki/SQL_syntax
¿Qué hace la sentencia CREATE TABLE en SQL?;Crea una nueva tabla en una base de datos;Inserta nuevos registros en una tabla;Actualiza registros existentes en una tabla;Elimina registros de una tabla;0;https://en.wikipedia.org/wiki/SQL
