Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué significa SSD en informática?;Solid State Drive;Single State Drive;Stable Storage Drive;System Storage Device;0;https://en.wikipedia.org/wiki/Solid-state_drive
¿Cuál es una característica clave de los SSD en comparación con los discos duros tradicionales?;Ausencia de partes móviles;Mayor capacidad de almacenamiento;Más rápido acceso a los datos;Menor costo por GB;0;https://www.techradar.com/news/computing-components/storage/what-is-an-ssd-904209
¿Qué tecnología se utiliza comúnmente en los SSD para almacenar datos?;Memoria flash;Memoria RAM;Discos magnéticos;Discos ópticos;0;https://en.wikipedia.org/wiki/Solid-state_drive
¿Cuál es una ventaja significativa de los SSD en términos de rendimiento?;Menor tiempo de acceso;Mayor capacidad de almacenamiento;Más silenciosos en funcionamiento;Menor consumo de energía;0;https://www.crucial.mx/articles/about-ssd/advantages-of-ssd
¿Qué es la resistencia de escritura en el contexto de los SSD?;Número de ciclos de escritura que puede soportar antes de que comience a degradarse;Velocidad de escritura medida en MB/s;Cantidad de datos que se pueden almacenar;Tiempo de acceso promedio;0;https://www.crucial.mx/articles/about-ssd/advantages-of-ssd
¿Qué significa el término "wear leveling" en relación con los SSD?;Técnica para distribuir de manera uniforme las operaciones de escritura en todos los bloques de memoria;Proceso de eliminación de datos innecesarios;Tasa de transferencia de datos medida en MB/s;Capacidad de almacenamiento total;0;https://en.wikipedia.org/wiki/Wear_leveling
¿Qué es el TRIM en el contexto de los SSD?;Comando que permite al sistema operativo informar al SSD sobre bloques de datos no utilizados;Técnica para mejorar la velocidad de lectura;Un tipo de memoria flash utilizada en SSD;Protocolo de conexión para SSD externos;0;https://www.crucial.mx/articles/about-ssd/advantages-of-ssd
¿Cuál es una desventaja común de los SSD en comparación con los discos duros tradicionales?;Costo por GB más alto;Menor velocidad de acceso;Mayor fragilidad física;Mayor consumo de energía;0;https://www.crucial.mx/articles/about-ssd/disadvantages-of-ssd
¿Qué es la vida útil de un SSD?;El tiempo estimado o la cantidad de escrituras que un SSD puede soportar antes de que su rendimiento comience a degradarse;Velocidad de lectura y escritura medida en MB/s;Capacidad de almacenamiento total;Tamaño físico del SSD;0;https://www.crucial.mx/articles/about-ssd/lifespan-of-ssd
¿Qué es la interfaz NVMe en el contexto de los SSD?;Un estándar de interfaz optimizado para SSDs que ofrece una mayor velocidad y eficiencia que las interfaces SATA;Un tipo de memoria flash utilizada en SSD;Técnica para mejorar la durabilidad de los SSD;Protocolo de conexión para SSD externos;0;https://en.wikipedia.org/wiki/NVM_Express
¿Cuál es una característica importante de la memoria NAND utilizada en los SSD?;Capacidad para retener datos sin energía;Velocidad de lectura y escritura superior;Menor costo por GB;Mayor resistencia a los golpes;0;https://en.wikipedia.org/wiki/Flash_memory#NAND_flash
¿Qué es el over-provisioning en el contexto de los SSD?;Reservar una parte adicional de capacidad no visible para el usuario para mejorar el rendimiento y la durabilidad;Proceso de copia de seguridad de datos en SSD;Capacidad de almacenamiento total;Tasa de transferencia de datos medida en MB/s;0;https://www.crucial.mx/articles/about-ssd/advantages-of-ssd
¿Qué es el SATA en el contexto de los SSD?;Una interfaz estándar utilizada para conectar dispositivos de almacenamiento como discos duros y SSDs;Un tipo de memoria flash utilizada en SSD;Técnica para mejorar la durabilidad de los SSD;Protocolo de conexión para SSD externos;0;https://en.wikipedia.org/wiki/Serial_ATA
¿Qué es el rendimiento secuencial en el contexto de los SSD?;Velocidad de lectura y escritura de datos en secuencia;Número de ciclos de escritura que puede soportar antes de degradarse;Capacidad de almacenamiento total;Tamaño físico del SSD;0;https://www.crucial.mx/articles/about-ssd/advantages-of-ssd
