Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el entorno de ejecución predeterminado en Android 5.0 y versiones superiores?;Dalvik;ART;JVM;Node.js;1;https://source.android.com/devices/tech/dalvik
¿Qué significan las siglas ART en el contexto de Android?;Android Runtime;Android Run Time;Application Runtime;Advanced Runtime;0;https://source.android.com/devices/tech/dalvik
¿Cuál era el entorno de ejecución utilizado en Android antes de ART?;JVM;Node.js;Dalvik;Python;2;https://developer.android.com/guide/components/fundamentals
¿Qué ventaja ofrece ART sobre Dalvik?;Menor uso de batería;Compilación Just-In-Time;Compilación en tiempo de instalación de la aplicación;Soporte exclusivo para Java;2;https://source.android.com/devices/tech/dalvik
¿Cómo mejora ART la eficiencia del uso de la batería en dispositivos Android?;Usando menos CPU;Compilando aplicaciones más rápidamente;Reduciendo la carga en el sistema;Optimizando la gestión del código en tiempo de ejecución;3;https://developer.android.com/topic/performance
¿Qué tipo de compilación utiliza ART para mejorar el rendimiento de las aplicaciones?;Interpretación en tiempo de ejecución;Compilación Just-In-Time (JIT);Compilación Ahead-Of-Time (AOT);Compilación en tiempo real;2;https://source.android.com/devices/tech/dalvik
¿En qué versión de Android fue introducido ART como opción experimental?;Android 4.0 (Ice Cream Sandwich);Android 4.4 (KitKat);Android 5.0 (Lollipop);Android 6.0 (Marshmallow);1;https://developer.android.com/about/versions/kitkat
¿Qué característica de ART permite una menor re-compilación de las aplicaciones?;Garbage collection optimizado;Compilación híbrida;Perfilado guiado por la ejecución;Gestión avanzada de memoria;2;https://source.android.com/devices/tech/dalvik
¿Qué hace que ART sea más eficiente en la carga de aplicaciones en comparación con Dalvik?;Mayor capacidad de almacenamiento en caché;Pre-compilación de aplicaciones durante la instalación;Uso reducido de la memoria JIT;Compilación exclusiva en tiempo de ejecución;1;https://developer.android.com/guide/components/fundamentals
¿Cómo gestiona ART la memoria en comparación con Dalvik?;Utilizando un recolector de basura generacional;Implementando un mejor algoritmo de recolección de basura concurrente;Con un único espacio de almacenamiento para todas las apps;Mediante la segmentación de memoria;1;https://source.android.com/devices/tech/dalvik/garbage-collection
¿Cuál es el principal beneficio del perfilado guiado por la ejecución en ART?;Reduce el tiempo de instalación de aplicaciones;Optimiza las aplicaciones basándose en su uso;Aumenta la seguridad de las aplicaciones;Mejora la interfaz de usuario de las aplicaciones;1;https://source.android.com/devices/tech/dalvik
¿Qué característica introdujo Android 8.0 para mejorar el rendimiento de ART?;Optimización del código al vuelo;Recompilación dinámica de aplicaciones;Compilación incrementada en tiempo de ejecución;Perfilado en tiempo de ejecución;3;https://source.android.com/devices/tech/dalvik
¿Cómo afecta el entorno de ejecución ART al tamaño de las aplicaciones instaladas en Android?;Las hace significativamente más pequeñas;Las hace significativamente más grandes;No afecta el tamaño de las aplicaciones;Reduce el tamaño al eliminar código no utilizado;1;https://developer.android.com/guide/app-bundle
¿Qué mejora relacionada con ART fue destacada en Android 10?;Mejor soporte para lenguajes de programación nativos;Optimizaciones específicas para juegos;Reducción del uso de la memoria en aplicaciones;Incremento de la velocidad de arranque de las aplicaciones;3;https://source.android.com/devices/tech/dalvik
¿Cuál es un beneficio directo del uso de ART en dispositivos Android con hardware limitado?;Menor consumo de datos móviles;Mejor rendimiento de aplicaciones;Aumento en la vida útil del dispositivo;Reducción en el consumo de batería;1;https://source.android.com/devices/tech/dalvik
