Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es un árbol en estructuras de datos?;Una estructura jerárquica que consta de nodos conectados por aristas;Una secuencia ordenada de elementos enlazados mediante referencias;Un conjunto de elementos almacenados en un arreglo unidimensional;Una estructura para almacenar datos en pilas;0;https://en.wikipedia.org/wiki/Tree_(data_structure)
¿Cuál es la característica fundamental de un árbol binario de búsqueda (BST)?;El hijo izquierdo de cada nodo contiene un valor menor que el nodo padre, y el hijo derecho contiene un valor mayor;Cada nodo puede tener un número variable de hijos;Todos los nodos tienen exactamente dos hijos;Los nodos están organizados en niveles jerárquicos con un nodo raíz y subárboles;0;https://en.wikipedia.org/wiki/Binary_search_tree
¿Qué es un nodo hoja en un árbol binario?;Un nodo que no tiene hijos;Un nodo que tiene exactamente dos hijos;Un nodo que es el único hijo de otro nodo;Un nodo que contiene un valor específico;0;https://en.wikipedia.org/wiki/Binary_tree
¿Cuál es la altura de un árbol?;El número máximo de aristas desde la raíz hasta cualquier nodo hoja;El número de nodos en el árbol;La distancia entre la raíz y el nodo más profundo;El número de niveles en el árbol;0;https://en.wikipedia.org/wiki/Tree_(data_structure)
¿Qué es la profundidad de un nodo en un árbol?;El número de aristas desde la raíz hasta el nodo;El número de niveles en el árbol;La distancia entre la raíz y el nodo más profundo;El número de nodos en el árbol;0;https://en.wikipedia.org/wiki/Tree_(data_structure)
¿Qué es un árbol binario completo?;Un árbol binario en el que todos los niveles están completamente llenos, excepto posiblemente el último nivel, que está lleno de izquierda a derecha;Un árbol binario en el que todos los nodos tienen exactamente dos hijos;Un árbol binario en el que todos los nodos tienen como máximo un hijo;Un árbol binario en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/Binary_tree
¿Qué es un árbol balanceado en estructuras de datos?;Un árbol donde la diferencia de altura entre el subárbol izquierdo y derecho de cada nodo es como máximo 1;Un árbol en el que todos los nodos tienen exactamente dos hijos;Un árbol en el que todos los nodos tienen como máximo un hijo;Un árbol en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/Self-balancing_binary_search_tree
¿Qué operación se utiliza para recorrer todos los nodos de un árbol de manera ordenada?;Recorrido inorder;Recorrido preorder;Recorrido postorder;Recorrido level-order;0;https://en.wikipedia.org/wiki/Tree_traversal
¿Qué operación se utiliza para recorrer un árbol visitando primero la raíz, luego el subárbol izquierdo y finalmente el subárbol derecho?;Recorrido preorder;Recorrido inorder;Recorrido postorder;Recorrido level-order;0;https://en.wikipedia.org/wiki/Tree_traversal
¿Qué operación se utiliza para recorrer un árbol visitando primero el subárbol izquierdo, luego la raíz y finalmente el subárbol derecho?;Recorrido inorder;Recorrido preorder;Recorrido postorder;Recorrido level-order;0;https://en.wikipedia.org/wiki/Tree_traversal
¿Qué operación se utiliza para recorrer un árbol visitando primero el subárbol izquierdo, luego el subárbol derecho y finalmente la raíz?;Recorrido postorder;Recorrido inorder;Recorrido preorder;Recorrido level-order;0;https://en.wikipedia.org/wiki/Tree_traversal
¿Qué tipo de recorrido es recomendable para obtener los elementos de un árbol en orden ascendente?;Recorrido inorder;Recorrido preorder;Recorrido postorder;Recorrido level-order;0;https://en.wikipedia.org/wiki/Tree_traversal
¿Qué operación se utiliza para recorrer un árbol nivel por nivel, empezando por la raíz?;Recorrido level-order;Recorrido preorder;Recorrido inorder;Recorrido postorder;0;https://en.wikipedia.org/wiki/Tree_traversal
¿Qué es un árbol AVL?;Un tipo de árbol binario de búsqueda balanceado donde la diferencia de altura entre el subárbol izquierdo y derecho de cada nodo es como máximo 1;Un árbol en el que todos los nodos tienen exactamente dos hijos;Un árbol en el que todos los nodos tienen como máximo un hijo;Un árbol en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/AVL_tree
¿Qué es un árbol rojo-negro?;Un tipo de árbol binario de búsqueda balanceado donde cada nodo tiene asignado un color que puede ser rojo o negro;Un árbol en el que todos los nodos tienen exactamente dos hijos;Un árbol en el que todos los nodos tienen como máximo un hijo;Un árbol en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/Red%E2%80%93black_tree
¿Qué es un árbol B?;Un árbol que generaliza un árbol de búsqueda binario permitiendo más de dos hijos por nodo;Un árbol en el que todos los nodos tienen exactamente dos hijos;Un árbol en el que todos los nodos tienen como máximo un hijo;Un árbol en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/B-tree
¿Qué es un árbol Trie?;Un árbol de búsqueda digital que almacena cadenas de caracteres;Un árbol en el que todos los nodos tienen exactamente dos hijos;Un árbol en el que todos los nodos tienen como máximo un hijo;Un árbol en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/Trie
¿Qué es un árbol Splay?;Un tipo de árbol binario de búsqueda que reorganiza su estructura después de cada operación para mejorar el tiempo de acceso a nodos frecuentemente accedidos;Un árbol en el que todos los nodos tienen exactamente dos hijos;Un árbol en el que todos los nodos tienen como máximo un hijo;Un árbol en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/Splay_tree
¿Qué es un árbol Heap?;Un árbol binario que cumple la propiedad de heap, donde para cada nodo, el valor de cada nodo hijo es mayor o igual que el valor del nodo padre;Un árbol en el que todos los nodos tienen exactamente dos hijos;Un árbol en el que todos los nodos tienen como máximo un hijo;Un árbol en el que todos los nodos tienen como máximo dos hijos;0;https://en.wikipedia.org/wiki/Heap_(data_structure)
