Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el artículo del Capítulo Preliminar que establece que España es un Estado social y democrático de Derecho?;Artículo 1;Artículo 2;Artículo 3;Artículo 4;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo Preliminar declara que la soberanía nacional reside en el pueblo español?;Artículo 1;Artículo 2;Artículo 3;Artículo 4;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿En qué artículo del Capítulo Preliminar se define la bandera de España?;Artículo 3;Artículo 4;Artículo 5;Artículo 6;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo Preliminar establece el castellano como la lengua oficial del Estado?;Artículo 2;Artículo 3;Artículo 4;Artículo 5;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Cuál es el artículo del Capítulo Preliminar que reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que integran España?;Artículo 1;Artículo 2;Artículo 3;Artículo 4;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿En qué artículo del Capítulo Preliminar se menciona la capitalidad de Madrid?;Artículo 3;Artículo 4;Artículo 5;Artículo 6;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo I establece que todos los españoles tienen derecho a la vida y a la integridad física y moral?;Artículo 10;Artículo 15;Artículo 20;Artículo 30;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo I garantiza la igualdad de los españoles sin discriminación por nacimiento, raza, sexo, religión, opinión o cualquier otra condición o circunstancia personal o social?;Artículo 14;Artículo 16;Artículo 18;Artículo 24;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo I establece la libertad ideológica, religiosa y de culto de los individuos y las comunidades?;Artículo 14;Artículo 16;Artículo 17;Artículo 20;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo I garantiza el derecho al honor, a la intimidad personal y familiar y a la propia imagen?;Artículo 14;Artículo 16;Artículo 18;Artículo 20;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo I establece la libertad de residencia y circulación?;Artículo 17;Artículo 18;Artículo 19;Artículo 20;2;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo I protege la libertad de ideología, religión y culto?;Artículo 14;Artículo 16;Artículo 18;Artículo 20;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo I declara que todas las confesiones religiosas serán igualmente respetadas por la ley?;Artículo 14;Artículo 16;Artículo 18;Artículo 20;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo II garantiza el derecho a la educación?;Artículo 27;Artículo 28;Artículo 29;Artículo 30;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo II establece que los españoles tienen el derecho y el deber de defender a España?;Artículo 30;Artículo 31;Artículo 35;Artículo 37;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo II establece el derecho al trabajo y a una remuneración suficiente para satisfacer las necesidades del trabajador y su familia?;Artículo 35;Artículo 36;Artículo 37;Artículo 38;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo II garantiza el derecho a la negociación colectiva laboral entre los trabajadores y los empresarios?;Artículo 35;Artículo 37;Artículo 38;Artículo 40;1;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo II establece que los ciudadanos de la Unión Europea y los extranjeros tendrán los derechos que determinen los tratados?;Artículo 13;Artículo 14;Artículo 15;Artículo 16;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo II reconoce el derecho a la propiedad privada y a la herencia?;Artículo 33;Artículo 34;Artículo 35;Artículo 36;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo II establece que ninguna confesión tendrá carácter estatal?;Artículo 16;Artículo 17;Artículo 18;Artículo 19;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo III establece el derecho a la protección de la salud?;Artículo 43;Artículo 44;Artículo 45;Artículo 46;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo III establece que los poderes públicos mantendrán un régimen público de Seguridad Social para todos los ciudadanos?;Artículo 41;Artículo 42;Artículo 43;Artículo 44;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo III garantiza el derecho a una vivienda digna y adecuada?;Artículo 43;Artículo 44;Artículo 45;Artículo 47;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo III establece el deber de los poderes públicos de promover las condiciones para la igualdad real y efectiva de los individuos y los grupos en que se integran?;Artículo 9;Artículo 10;Artículo 11;Artículo 12;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
¿Qué artículo del Capítulo IV establece la tutela judicial efectiva de los jueces y tribunales?;Artículo 24;Artículo 25;Artículo 26;Artículo 27;0;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229
