Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es una memoria caché en el contexto de un procesador?;Un espacio de almacenamiento externo;Una unidad de procesamiento;Una memoria de acceso rápido que almacena datos temporales;Un sistema operativo especializado;2;https://en.wikipedia.org/wiki/CPU_cache
¿Cuál es el propósito principal de la memoria caché L1 en un procesador?;Almacenar archivos grandes;Acelerar el acceso a los datos más utilizados;Conectar el procesador con el disco duro;Reducir el consumo de energía;1;https://en.wikipedia.org/wiki/CPU_cache
¿Cómo se clasifica comúnmente la memoria caché en un procesador moderno?;L1, L2, y L3;A, B, y C;Primaria, secundaria y terciaria;1, 2, y 3;0;https://en.wikipedia.org/wiki/CPU_cache
¿Qué tipo de memoria caché es compartida entre todos los núcleos en un procesador multinúcleo?;L1;L2;L3;L4;2;https://en.wikipedia.org/wiki/CPU_cache
¿Cuál es la diferencia principal entre la caché L1 y L2 en un procesador?;L1 es más grande que L2;L1 es más rápida que L2;L2 es más rápida que L1;L2 es menos costosa de producir;1;https://en.wikipedia.org/wiki/CPU_cache
¿Qué tecnología de memoria se utiliza típicamente para implementar caché en los procesadores?;DRAM;SRAM;Flash;EEPROM;1;https://en.wikipedia.org/wiki/Static_random-access_memory
¿En qué unidad se mide comúnmente el tamaño de la memoria caché en un procesador?;Bytes;Bits;Hertz;Voltios;0;https://en.wikipedia.org/wiki/CPU_cache
¿Qué tipo de datos almacena principalmente la memoria caché L1 en un procesador?;Datos de usuario;Instrucciones del programa;Configuraciones del sistema;Información de seguridad;1;https://en.wikipedia.org/wiki/CPU_cache
¿Cuál es el nivel de caché más cercano al núcleo del procesador?;L1;L2;L3;L4;0;https://en.wikipedia.org/wiki/CPU_cache
¿Por qué la memoria caché es más rápida que la memoria RAM?;Porque usa tecnología más avanzada;Porque está físicamente más cerca del procesador;Porque almacena menos datos;Porque utiliza una frecuencia más alta;1;https://en.wikipedia.org/wiki/CPU_cache
¿Qué estrategia de caché utiliza un procesador para predecir qué datos serán necesitados próximamente?;Pre-fetching;Post-loading;Dynamic loading;Static allocation;0;https://en.wikipedia.org/wiki/Cache_prefetching
¿Cuál es un ejemplo de política de reemplazo utilizada en la memoria caché?;First In First Out (FIFO);Last In First Out (LIFO);Always In Always Out (AIAO);None In None Out (NINO);0;https://en.wikipedia.org/wiki/Cache_replacement_policies
¿Cómo afecta el tamaño de la memoria caché al rendimiento del procesador?;Mayor tamaño de caché disminuye el rendimiento;Menor tamaño de caché aumenta el rendimiento;Mayor tamaño de caché generalmente mejora el rendimiento;El tamaño de la caché no afecta al rendimiento;2;https://en.wikipedia.org/wiki/CPU_cache
¿Qué problema resuelve principalmente el uso de una memoria caché?;El problema de compatibilidad entre dispositivos;La latencia de acceso a la memoria principal;El costo de la electricidad;La seguridad de los datos;1;https://en.wikipedia.org/wiki/CPU_cache
¿Qué significa que una memoria caché sea "asociativa por conjuntos"?;Todos los datos pueden almacenarse en cualquier lugar de la caché;Los datos se almacenan en una ubicación específica basada en etiquetas;Los datos se agrupan en bloques que pueden almacenarse en cualquier lugar;Los datos se asocian con otros similares para su almacenamiento;2;https://en.wikipedia.org/wiki/Set-associative_cache
¿Cómo se denomina el proceso por el cual la memoria caché se actualiza con los datos más recientes desde la memoria principal?;Refresh;Update;Cache coherence;Data synchronization;2;https://en.wikipedia.org/wiki/Cache_coherence
¿Qué papel juega la memoria caché en un sistema con multiprocesamiento?;Asegura que todos los procesadores trabajen a la misma velocidad;Maneja la distribución de tareas entre procesadores;Ayuda a mantener la coherencia de los datos entre cachés de diferentes procesadores;Controla el voltaje suministrado a cada procesador;2;https://en.wikipedia.org/wiki/Cache_coherence
¿Qué factor NO influye en la eficacia de una memoria caché en un procesador?;El tipo de aplicaciones que se ejecutan;La capacidad del disco duro;La frecuencia del procesador;El algoritmo de pre-fetching utilizado;1;https://en.wikipedia.org/wiki/CPU_cache
¿Cuál es el impacto de una caché L3 en comparación con una L2 en un procesador?;Reduce la latencia general;Aumenta el consumo de energía;Proporciona un espacio de almacenamiento adicional para datos menos críticos;Todas las anteriores;3;https://en.wikipedia.org/wiki/CPU_cache
¿En qué circunstancia podría deshabilitarse la caché de un procesador?;Durante el arranque del sistema;Cuando el procesador está sobrecalentado;En configuraciones de bajo consumo;Para realizar tareas de mantenimiento del sistema;3;https://en.wikipedia.org/wiki/CPU_cache
