Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta
¿En qué año fue aprobada la Constitución Española?;1978;1982;1992;2000;0
¿Cuál es el título preliminar de la Constitución Española?;Título I;Título II;Título Preliminar;Título III;2
¿Qué forma de gobierno establece la Constitución Española?;Monarquía parlamentaria;República presidencialista;Monarquía absoluta;República parlamentaria;0
¿Cuál es el órgano supremo consultivo del Gobierno en España?;Consejo de Ministros;Tribunal Constitucional;Consejo de Estado;Cortes Generales;2
¿Qué derechos fundamentales están garantizados por la Constitución Española?;Libertad, igualdad y justicia;Educación, sanidad y trabajo;Vivienda, alimentación y ocio;Libertad, igualdad y seguridad;3
¿Qué parte de la Constitución Española establece los derechos y deberes fundamentales de los ciudadanos?;Título I;Título II;Título III;Título IV;0
¿Cuántos artículos tiene la Constitución Española?;167;181;197;203;2
¿Qué institución representa la unidad de la nación española?;Cortes Generales;Tribunal Constitucional;Monarquía;Consejo de Ministros;2
¿Qué título de la Constitución Española regula la Corona?;Título III;Título IV;Título V;Título VI;0
¿Quién es el Jefe del Estado según la Constitución Española?;El Rey;El Presidente del Gobierno;El Presidente de las Cortes;El Presidente del Tribunal Constitucional;0
¿Qué es el Senado según la Constitución Española?;Una cámara representativa de las Comunidades Autónomas y de los ciudadanos;Una cámara elegida directamente por los ciudadanos;Una cámara asesora del Gobierno;Una cámara judicial;0
¿Cuál es la capital de España según la Constitución Española?;Madrid;Barcelona;Sevilla;Valencia;0
¿Cuál es la función principal de las Cortes Generales según la Constitución Española?;Legislar y controlar al Gobierno;Elegir al Presidente del Gobierno;Nombrar a los ministros;Dirimir conflictos entre las Comunidades Autónomas;0
¿Cuál es el sistema de elección de los diputados según la Constitución Española?;Sistema proporcional;Sistema mayoritario;Sistema mixto;Designación directa por el Presidente del Gobierno;0
¿Qué título de la Constitución Española regula las relaciones entre el Gobierno y las Cortes Generales?;Título III;Título IV;Título V;Título VI;1
¿Qué derechos se reconocen en el artículo 14 de la Constitución Española?;Igualdad ante la ley;Derecho a la educación;Libertad de expresión;Derecho al trabajo;0
¿Qué título de la Constitución Española regula las Comunidades Autónomas?;Título VIII;Título IX;Título X;Título XI;0
¿Qué título de la Constitución Española regula la reforma constitucional?;Título X;Título XI;Título XII;Título XIII;2
¿Qué mayoría se requiere para aprobar una reforma constitucional según la Constitución Española?;Mayoría de tres quintos;Mayoría absoluta;Mayoría simple;Mayoría de dos tercios;3
¿Qué artículo de la Constitución Española establece la inviolabilidad del Rey?;Artículo 56;Artículo 57;Artículo 58;Artículo 59;1
¿Qué título de la Constitución Española regula la administración local?;Título VIII;Título IX;Título X;Título XI;0
¿Qué artículo de la Constitución Española establece que la potestad de dictar reglamentos y disposiciones administrativas corresponde exclusivamente al Gobierno?;Artículo 97;Artículo 98;Artículo 99;Artículo 100;1
¿Qué título de la Constitución Española regula la justicia?;Título VI;Título VII;Título VIII;Título IX;1
¿Qué título de la Constitución Española regula la economía y la hacienda?;Título VII;Título VIII;Título IX;Título X;0
¿Qué título de la Constitución Española regula las Fuerzas Armadas?;Título VIII;Título IX;Título X;Título XI;0
¿Qué artículo de la Constitución Española establece que la ley regulará el ejercicio de los derechos y libertades?;Artículo 53;Artículo 54;Artículo 55;Artículo 56;0
¿Qué artículo de la Constitución Española establece que los poderes públicos promoverán y tutelarán el acceso a la cultura?;Artículo 44;Artículo 45;Artículo 46;Artículo 47;1
¿Qué artículo de la Constitución Española establece que los españoles tienen el derecho y el deber de defender a España?;Artículo 30;Artículo 31;Artículo 32;Artículo 33;2
¿Qué artículo de la Constitución Española establece que las Fuerzas Armadas tienen como misión garantizar la soberanía e independencia de España?;Artículo 8;Artículo 9;Artículo 10;Artículo 11;1
