Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué significa NUMA en el contexto de la arquitectura de computadoras?;Network Use for Memory Access;Non-Uniform Memory Access;Normal Use Memory Allocation;None of the Above Memory Access;1;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿Qué arquitectura de memoria trata de optimizar el rendimiento minimizando la latencia de acceso a la memoria?;SIMD;NUMA;UMA;COMA;1;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿En qué tipo de arquitectura de memoria el tiempo de acceso es uniforme sin importar la ubicación de la memoria?;NUMA;SIMD;UMA (Uniform Memory Access);COMA;2;https://en.wikipedia.org/wiki/Uniform_memory_access
¿Cuál es la principal ventaja de utilizar NUMA en sistemas multiprocesador?;Reduce el costo del hardware;Aumenta la capacidad de almacenamiento;Mejora la escalabilidad y la eficiencia de acceso a memoria;Disminuye el consumo de energía;2;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿Qué tecnología está diseñada para permitir que cada procesador en un sistema multiprocesador acceda a su propia memoria local más rápido que a la memoria de otro procesador?;UMA;NUMA;SIMD;MIMD;1;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿Cómo se denomina al sistema que utiliza una única memoria accesible por todos los procesadores a la misma velocidad?;NUMA;COMA;UMA;NDA;2;https://en.wikipedia.org/wiki/Uniform_memory_access
¿Qué tipo de memoria es especialmente beneficiosa para aplicaciones con grandes volúmenes de datos y alta concurrencia?;UMA;NUMA;SIMD;RISC;1;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿En qué arquitectura de memoria el sistema puede migrar los datos dinámicamente para optimizar el acceso?;NUMA;COMA (Cache Only Memory Architecture);UMA;DMA;1;https://en.wikipedia.org/wiki/Cache-only_memory_architecture
¿Cuál de las siguientes es una desventaja potencial del modelo NUMA?;Mayor complejidad en la gestión de memoria;Menor latencia de acceso;Reducción de los costos de hardware;Aumento en la velocidad de procesamiento;0;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿Qué modelo de memoria es utilizado comúnmente en supercomputadoras?;UMA;NUMA;SIMD;RISC;1;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿Qué arquitectura de memoria utiliza una jerarquía de caches donde la memoria más frecuentemente accedida se mantiene más cerca del procesador?;UMA;NUMA;COMA;SISD;2;https://en.wikipedia.org/wiki/Cache-only_memory_architecture
¿Cómo afecta NUMA a la programación en sistemas multiprocesador?;Simplifica el diseño de software;No tiene impacto;Requiere una consideración cuidadosa del diseño de memoria;Reduce la necesidad de optimización;2;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿Qué característica permite a NUMA reducir la congestión de acceso a memoria?;Acceso aleatorio a cualquier ubicación de memoria;Acceso localizado a datos en el mismo nodo de memoria;Un único canal de acceso a memoria para todos los nodos;Memoria compartida a través de una red interna;1;https://en.wikipedia.org/wiki/Non-uniform_memory_access
¿Qué término describe un sistema donde la memoria está distribuida entre varios nodos pero es globalmente accesible por todos los procesadores?;Distributed Memory;Shared Memory;NUMA;Global Memory;0;https://en.wikipedia.org/wiki/Distributed_memory
¿Cuál de las siguientes es una técnica utilizada para optimizar el rendimiento en arquitecturas NUMA?;Interleaving memory;Compressing memory data;Encrypting memory access;None of the above;0;https://en.wikipedia.org/wiki/Memory_interleaving
