Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es un microprocesador en un sistema informático?;El cerebro del sistema que ejecuta instrucciones y procesa datos;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Microprocessor
¿Qué es un núcleo de procesador en un CPU multi-núcleo?;Unidad de procesamiento individual que puede ejecutar instrucciones de manera independiente;Un tipo de memoria ROM;Una tarjeta de red;Una unidad de almacenamiento;0;https://en.wikipedia.org/wiki/CPU_core
¿Cuál es una ventaja de los procesadores multi-núcleo en comparación con los de un solo núcleo?;Capacidad para ejecutar múltiples tareas simultáneamente;Mayor capacidad de almacenamiento;Mayor velocidad de procesamiento;Menor consumo de energía;0;https://en.wikipedia.org/wiki/Multi-core_processor
¿Qué es la arquitectura de un procesador en el contexto de un microprocesador?;El diseño y la disposición interna de componentes que determina su funcionamiento;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Microarchitecture
¿Qué es la frecuencia de reloj en el contexto de un microprocesador?;La velocidad a la que un procesador ejecuta instrucciones, medida en GHz;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Clock_rate
¿Qué es la caché de un procesador?;Una memoria de acceso rápido que almacena datos recientemente utilizados;Un tipo de memoria ROM;Una tarjeta de red;Una unidad de almacenamiento;0;https://en.wikipedia.org/wiki/CPU_cache
¿Qué es la ejecución fuera de orden en el contexto de un procesador?;La capacidad de ejecutar instrucciones en un orden diferente al que fueron escritas;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Out-of-order_execution
¿Qué es la ejecución simultánea en el contexto de un procesador multi-núcleo?;La capacidad de múltiples núcleos para ejecutar instrucciones de manera paralela;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Simultaneous_multithreading
¿Qué es la unidad de punto flotante en un procesador?;Un componente que realiza operaciones matemáticas complejas con números de punto flotante;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Floating-point_unit
¿Qué es la unidad de control en un microprocesador?;Un componente que coordina las operaciones y dirige el flujo de datos dentro del procesador;Un tipo de memoria ROM;Una tarjeta de red;Una unidad de almacenamiento;0;https://en.wikipedia.org/wiki/Control_unit
¿Qué es el bus de datos en un microprocesador?;El camino por el cual los datos se transfieren dentro y fuera del procesador;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Data_bus
¿Qué es el bus de direcciones en un microprocesador?;El camino por el cual se transmiten las direcciones de memoria;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Address_bus
¿Qué es la ALU (Arithmetic Logic Unit) en un microprocesador?;El componente que realiza operaciones aritméticas y lógicas;Un tipo de memoria ROM;Una tarjeta de red;Una unidad de almacenamiento;0;https://en.wikipedia.org/wiki/Arithmetic_logic_unit
¿Qué es el registro en un microprocesador?;Una pequeña área de almacenamiento dentro del procesador que se utiliza para almacenar datos temporales y direcciones;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Processor_register
¿Qué es la unidad de predicción de ramas en un procesador?;Un componente que intenta predecir la dirección de las instrucciones de salto condicional;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Branch_predictor
¿Qué es el pipeline de instrucciones en un procesador?;Una técnica que permite la superposición de ejecución de varias instrucciones;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Instruction_pipeline
¿Qué es la memoria caché de instrucciones en un procesador?;Una memoria de acceso rápido que almacena instrucciones recientemente utilizadas;Un tipo de memoria ROM;Una tarjeta de red;Una unidad de almacenamiento;0;https://en.wikipedia.org/wiki/Instruction_cache
¿Qué es la memoria caché de datos en un procesador?;Una memoria de acceso rápido que almacena datos recientemente utilizados;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Data_cache
¿Qué es la unidad de ejecución en un microprocesador?;El componente que lleva a cabo las instrucciones según lo indicado por la unidad de control;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Execution_unit
¿Qué es la unidad de gestión de energía en un procesador?;Un componente que gestiona el consumo de energía y el calor generado por el procesador;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Power_management_unit_(computer)
¿Qué es la tecnología Hyper-Threading en un procesador Intel?;Una tecnología que simula núcleos adicionales virtuales para mejorar el rendimiento multitarea;Un tipo de memoria RAM;Una tarjeta gráfica;Un dispositivo de almacenamiento;0;https://en.wikipedia.org/wiki/Hyper-threading
¿Qué es la tecnología SMT (Simultaneous Multithreading) en un procesador AMD?;Una tecnología similar a Hyper-Threading que permite ejecutar múltiples hilos en cada núcleo;Un tipo de memoria flash;Una tarjeta de sonido;Un dispositivo de entrada/salida;0;https://en.wikipedia.org/wiki/Simultaneous_multithreading
¿Qué es la caché compartida en un procesador multi-núcleo?;Una memoria de acceso rápido que es compartida por todos los núcleos del procesador;Un tipo de memoria ROM;Una tarjeta de red;Una unidad de almacenamiento;0;https://en.wikipedia.org/wiki/Shared_cache
