Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es un algoritmo de búsqueda en informática?;Un método para encontrar información en una base de datos;Un método para ordenar datos en un array;Un método para buscar información en internet;Un método para encontrar elementos en una estructura de datos;3;https://en.wikipedia.org/wiki/Search_algorithm
¿Cuál de los siguientes algoritmos de búsqueda tiene complejidad O(log n)?;Búsqueda binaria;Búsqueda lineal;Búsqueda secuencial;Interpolación;0;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Qué estructura de datos es comúnmente utilizada con el algoritmo de búsqueda binaria?;Array ordenado;Array desordenado;Lista enlazada;Árbol binario;0;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Cuál de los siguientes no es un algoritmo de búsqueda de texto?;Búsqueda binaria;Algoritmo de Boyer-Moore;Algoritmo de Knuth-Morris-Pratt;Algoritmo de Rabin-Karp;0;https://en.wikipedia.org/wiki/String_searching_algorithm
¿Qué caracteriza al algoritmo de búsqueda lineal (secuencial)?;Recorre los elementos en orden secuencial hasta encontrar el valor buscado;Utiliza una estructura de datos enlazada;Requiere que los datos estén ordenados;Utiliza recursión para buscar elementos;0;https://en.wikipedia.org/wiki/Linear_search
¿Cuál de los siguientes algoritmos es más eficiente para buscar en listas desordenadas?;Búsqueda lineal (secuencial);Búsqueda binaria;Algoritmo de Floyd-Warshall;Algoritmo de Dijkstra;0;https://www.studytonight.com/data-structures/search-algorithms
¿Qué es la complejidad temporal promedio de la búsqueda binaria?;O(log n);O(n);O(n^2);O(1);0;https://en.wikipedia.org/wiki/Binary_search_algorithm
¿Cuál es el principio básico del algoritmo de búsqueda interpolada?;Es una forma mejorada de búsqueda binaria adaptada para datos no uniformemente distribuidos;Busca mediante un patrón de interpolación matemática;Busca mediante el patrón de división y conquista;Busca elementos en un array de forma iterativa;0;https://en.wikipedia.org/wiki/Interpolation_search
¿Cuál de los siguientes algoritmos de búsqueda utiliza la técnica de "divide y conquista"?;Búsqueda binaria;Búsqueda lineal;Algoritmo de Floyd-Warshall;Algoritmo de Dijkstra;0;https://en.wikipedia.org/wiki/Divide_and_conquer_algorithm
¿Qué caracteriza al algoritmo de búsqueda por fuerza bruta?;Evalúa sistemáticamente todas las posibles soluciones;Utiliza técnicas de optimización para reducir el tiempo de búsqueda;Utiliza un enfoque probabilístico para encontrar soluciones;Busca en estructuras de datos enlazadas;0;https://en.wikipedia.org/wiki/Brute-force_search
¿Cuál de los siguientes algoritmos de búsqueda utiliza heurísticas para optimizar la búsqueda?;Algoritmo A*;Búsqueda binaria;Algoritmo de Floyd-Warshall;Algoritmo de Dijkstra;0;https://en.wikipedia.org/wiki/A*_search_algorithm
¿Cuál de los siguientes no es un algoritmo de búsqueda en grafos?;Búsqueda binaria;Algoritmo de Floyd-Warshall;Algoritmo de Dijkstra;Algoritmo de Bellman-Ford;0;https://en.wikipedia.org/wiki/Graph_search_algorithm
¿Qué caracteriza al algoritmo de búsqueda en profundidad (DFS)?;Explora tanto las ramas de un árbol como sea posible antes de retroceder;Explora de manera sistemática todos los nodos a la misma profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Depth-first_search
¿Qué es la poda alfa-beta en el contexto de la búsqueda de juegos?;Una técnica para mejorar el rendimiento del algoritmo minimax;Una técnica para mejorar el rendimiento del algoritmo de búsqueda binaria;Una técnica para mejorar el rendimiento del algoritmo de búsqueda lineal;Una técnica para mejorar el rendimiento del algoritmo de Dijkstra;0;https://en.wikipedia.org/wiki/Alpha%E2%80%93beta_pruning
¿Cuál es la principal ventaja de la búsqueda por vecindades en los algoritmos de búsqueda local?;Explora soluciones cercanas para mejorar la solución actual;Explora soluciones aleatorias para encontrar la mejor solución;Explora soluciones lejanas para mejorar la solución actual;Explora todas las soluciones posibles en una vecindad;0;https://en.wikipedia.org/wiki/Local_search_(optimization)
¿Qué caracteriza al algoritmo de búsqueda en amplitud (BFS)?;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Explora tanto las ramas de un árbol como sea posible antes de retroceder;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Breadth-first_search
¿Cuál es la principal desventaja de la búsqueda en amplitud (BFS)?;Requiere más memoria que la búsqueda en profundidad;Es más lenta que la búsqueda en profundidad;No es adecuada para la búsqueda en grafos;No gestiona bien la memoria;0;https://en.wikipedia.org/wiki/Breadth-first_search
¿Qué caracteriza al algoritmo de búsqueda en amplitud limitada?;Limita la profundidad máxima de exploración;Explora tanto las ramas de un árbol como sea posible antes de retroceder;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Limited_depth_first_search
¿Cuál es la principal característica de la búsqueda en amplitud iterativa (IDDFS)?;Combina la eficiencia de la búsqueda en amplitud con la profundidad de la búsqueda en profundidad;Limita la profundidad máxima de exploración;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Iterative_deepening_depth-first_search
¿Qué es la búsqueda local en los algoritmos de búsqueda?;Optimiza una solución iterativamente desde una solución inicial;Busca de manera sistemática todas las posibles soluciones;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Local_search_(optimization)
¿Cuál es la principal característica de la búsqueda tabú en los algoritmos de búsqueda?;Evita soluciones previamente visitadas para evitar ciclos;Explora tanto las ramas de un árbol como sea posible antes de retroceder;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Tabu_search
¿Qué caracteriza al algoritmo de búsqueda bidireccional?;Explora desde el nodo inicial y el nodo objetivo simultáneamente hasta encontrarse;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Bidirectional_search
¿Qué es la búsqueda heurística en los algoritmos de búsqueda?;Utiliza reglas generales para reducir el espacio de búsqueda;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Heuristic_(computer_science)
¿Cuál es la principal ventaja de la búsqueda heurística?;Permite encontrar soluciones en espacios de búsqueda grandes;Requiere más memoria que otros algoritmos;Es más lenta que otros algoritmos;No gestiona bien la memoria;0;https://en.wikipedia.org/wiki/Heuristic_(computer_science)
¿Qué es el algoritmo de búsqueda de retroceso (backtracking)?;Explora todas las soluciones posibles recursivamente;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Backtracking
¿Cuál es la principal característica del algoritmo de búsqueda de retroceso (backtracking)?;Explora recursivamente todas las posibles soluciones hasta encontrar una solución válida;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Backtracking
¿Qué es la poda en los algoritmos de búsqueda de retroceso (backtracking)?;Evita explorar ramas que no cumplen ciertas condiciones;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Backtracking
¿Qué es la búsqueda basada en conocimiento en los algoritmos de búsqueda?;Utiliza conocimiento específico del dominio del problema para guiar la búsqueda;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Knowledge-based_search
¿Cuál es la principal característica de la búsqueda basada en conocimiento?;Utiliza conocimiento específico del problema para mejorar la eficiencia de la búsqueda;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Knowledge-based_search
¿Qué es la búsqueda adaptativa en los algoritmos de búsqueda?;Ajusta la estrategia de búsqueda en función de los resultados obtenidos;Explora sistemáticamente todos los nodos a la misma profundidad antes de moverse a la siguiente profundidad;Utiliza heurísticas para optimizar la búsqueda;Utiliza un patrón de interpolación matemática;0;https://en.wikipedia.org/wiki/Adaptive_search
