Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es el Esquema Nacional de Seguridad (ENS)?;Un marco para la gestión de la seguridad en sistemas de información;Una normativa para la protección de datos personales;Una directiva para el comercio electrónico;Una política para la igualdad de género;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿Cuál es el objetivo principal del ENS?;Garantizar la confidencialidad, integridad y disponibilidad de la información;Regular los derechos de los ciudadanos en materia de protección de datos;Promover la igualdad de oportunidades en el empleo;Establecer estándares para el desarrollo de software;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿En qué documento se encuentra regulado el Esquema Nacional de Seguridad?;Ley Orgánica de Protección de Datos;Real Decreto 3/2010;Ley de Servicios de la Sociedad de la Información;Ley de Protección de Datos y Garantía de Derechos Digitales;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿Cuál es uno de los principios fundamentales del ENS?;Seguridad por diseño;Transparencia en el uso de datos;Descentralización de la información;Apertura de la información al público;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿Qué tipo de medidas de seguridad establece el ENS?;Solo medidas físicas;Solo medidas técnicas;Medidas organizativas y técnicas;Solo medidas administrativas;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿Cuál es el papel de los responsables de seguridad en el ENS?;Desarrollar software de seguridad;Implementar y mantener las políticas de seguridad;Gestionar la base de datos de usuarios;Asegurar la conexión a Internet;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿Qué debe incluir un Plan de Seguridad según el ENS?;Descripción del entorno de trabajo;Políticas y procedimientos de seguridad;Estudios de mercado;Planes de marketing;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿A quién se aplica el ENS?;Solo a las administraciones públicas;A todas las entidades del sector público y privado;Solo a los proveedores de servicios tecnológicos;Solo a las entidades gubernamentales;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿Cuál es el proceso para evaluar la seguridad según el ENS?;Auditorías internas periódicas;Revisión anual de la normativa;Encuestas a los usuarios;Evaluación externa solo al inicio;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
¿Qué entidad es responsable de la coordinación del ENS?;La Agencia Española de Protección de Datos;El Centro Criptológico Nacional;El Ministerio de Justicia;La Secretaría de Estado para el Deporte;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2010-11066
