Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el objetivo principal de la Ley Orgánica 1/2004 de Medidas de Protección Integral contra la Violencia de Género?;Proteger a las víctimas de violencia de género;Aumentar las penas para los agresores;Mejorar la educación en igualdad de género;Todas las anteriores;3;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué medidas contempla la Ley Orgánica 1/2004 para la protección de las víctimas?;Órdenes de protección;Servicios de asistencia social integral;Ambas opciones;Ninguna de las anteriores;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿En qué artículo se establece el derecho de las víctimas a recibir información sobre los recursos disponibles?;Artículo 10;Artículo 12;Artículo 14;Artículo 16;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué órgano coordina las actuaciones de protección integral contra la violencia de género?;El Gobierno;El Consejo General del Poder Judicial;El Observatorio Estatal de Violencia sobre la Mujer;Las Comunidades Autónomas;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Cuál es el propósito del Observatorio Estatal de Violencia sobre la Mujer?;Recoger y analizar datos sobre violencia de género;Proponer medidas de protección;Coordinar la actuación de las administraciones;Todas las anteriores;3;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo establece la creación de juzgados de violencia sobre la mujer?;Artículo 44;Artículo 47;Artículo 49;Artículo 51;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué tipo de formación se establece para los jueces y fiscales en esta ley?;Formación en derecho penal;Formación en derecho civil;Formación en violencia de género;Formación en derecho administrativo;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿En qué artículo se menciona la creación de unidades de apoyo psicológico para las víctimas?;Artículo 20;Artículo 22;Artículo 24;Artículo 26;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué capítulo de la Ley Orgánica 1/2004 está dedicado a las medidas de sensibilización y prevención?;Capítulo I;Capítulo II;Capítulo III;Capítulo IV;3;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Cuál es la principal función de las unidades de valoración forense integral?;Realizar diagnósticos médicos;Evaluar el riesgo de las víctimas;Proveer asesoramiento legal;Coordinar los servicios sociales;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo establece el derecho de las víctimas a recibir atención jurídica gratuita?;Artículo 18;Artículo 20;Artículo 22;Artículo 24;3;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué tipo de medidas educativas se promueven en la Ley Orgánica 1/2004?;Educación en igualdad y respeto;Educación en matemáticas;Educación física;Educación técnica;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo regula las campañas institucionales de sensibilización contra la violencia de género?;Artículo 5;Artículo 7;Artículo 9;Artículo 11;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Cuál es el objetivo de las campañas de sensibilización mencionadas en la Ley Orgánica 1/2004?;Promover el consumo de productos nacionales;Sensibilizar sobre los derechos de los animales;Concienciar y prevenir la violencia de género;Promover la participación ciudadana;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿En qué artículo se establece el derecho de las víctimas a recibir atención sanitaria especializada?;Artículo 15;Artículo 17;Artículo 19;Artículo 21;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué tipo de apoyo económico se menciona en la Ley Orgánica 1/2004 para las víctimas de violencia de género?;Subsidios por desempleo;Prestaciones por jubilación;Ayudas económicas específicas;Préstamos bancarios;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo de la Ley Orgánica 1/2004 establece la creación de casas de acogida para las víctimas?;Artículo 27;Artículo 29;Artículo 31;Artículo 33;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué medida se establece en el artículo 28 para garantizar la seguridad de las víctimas?;Acompañamiento policial;Asistencia jurídica;Dispositivos electrónicos de localización;Asistencia sanitaria;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo establece la obligación de los medios de comunicación de contribuir a la sensibilización contra la violencia de género?;Artículo 13;Artículo 15;Artículo 17;Artículo 19;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Cuál es el objetivo de las medidas laborales establecidas en la Ley Orgánica 1/2004 para las víctimas de violencia de género?;Promover la igualdad salarial;Facilitar la reinserción laboral;Aumentar la jornada laboral;Reducir el desempleo juvenil;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo establece el derecho de las víctimas a la reducción de jornada laboral o reordenación del tiempo de trabajo?;Artículo 21;Artículo 23;Artículo 25;Artículo 27;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo regula el acceso prioritario a la vivienda protegida para las víctimas de violencia de género?;Artículo 35;Artículo 37;Artículo 39;Artículo 41;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Cuál es el objetivo de los planes personalizados de protección mencionados en la Ley Orgánica 1/2004?;Promover el desarrollo económico;Proporcionar seguridad y asistencia a las víctimas;Fomentar la cultura y el deporte;Desarrollar infraestructuras;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo establece la creación de unidades de coordinación contra la violencia sobre la mujer en las Delegaciones del Gobierno?;Artículo 40;Artículo 42;Artículo 44;Artículo 46;0;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué medida se menciona en la Ley Orgánica 1/2004 para la protección de los menores expuestos a la violencia de género?;Asistencia sanitaria gratuita;Educación diferenciada;Protección especial y asistencia específica;Subsidios económicos;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo establece la protección de la intimidad de las víctimas en los procesos judiciales?;Artículo 53;Artículo 55;Artículo 57;Artículo 59;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué tipo de medidas establece la Ley Orgánica 1/2004 para la prevención de la violencia de género en el ámbito educativo?;Cursos de formación profesional;Incorporación de la igualdad de género en el currículo educativo;Promoción de actividades deportivas;Educación en lenguas extranjeras;1;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo regula la protección de los derechos laborales de las víctimas de violencia de género?;Artículo 21;Artículo 23;Artículo 25;Artículo 27;2;https://www.boe.es/buscar/doc.php?id=BOE-A-2004-21760
¿Qué artículo establece la obligatoriedad de los planes de formación para empleados públicos en materia de violencia de género?;Artículo 30;Artículo 32;Artículo 34;Artículo 36;2;https://www.boe.es/buscar/doc.php?id=BOE-A
