Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué caracteriza principalmente a una base de datos orientada a objetos?;Almacenamiento de datos en forma de tablas;Uso de objetos, como en la programación orientada a objetos;Enfoque en la velocidad sobre la integridad de los datos;Almacenamiento de datos en formato JSON;1;https://en.wikipedia.org/wiki/Object-oriented_database
¿Cuál es una ventaja clave de las bases de datos orientadas a objetos sobre las bases de datos relacionales?;Menor uso de memoria;Mayor flexibilidad al manejar datos complejos;Menor tiempo de consulta;Soporte mejorado para consultas SQL;1;https://en.wikipedia.org/wiki/Object-oriented_database
¿Qué método se utiliza comúnmente en bases de datos orientadas a objetos para recuperar datos?;Consultas SQL estándar;Navegación a través de objetos;Uso de índices simples;Compresión de datos;1;https://en.wikipedia.org/wiki/Object_database
¿Cómo se almacenan las relaciones en una base de datos orientada a objetos?;Mediante claves externas;Mediante enlaces directos entre objetos;Usando tablas de unión;A través de normalización;1;https://en.wikipedia.org/wiki/Object_database
¿Qué concepto de programación orientada a objetos se aplica directamente en las bases de datos orientadas a objetos?;Polimorfismo;Recursión;Encapsulamiento;Concurrencia;0;https://en.wikipedia.org/wiki/Object-oriented_database
¿Cuál es un ejemplo de una base de datos orientada a objetos?;MySQL;Oracle Database;db4o;PostgreSQL;2;https://en.wikipedia.org/wiki/Db4o
¿Qué permite la herencia en las bases de datos orientadas a objetos?;Reducir la redundancia de datos;Incrementar la velocidad de acceso;Simplificar consultas SQL;Automatizar la actualización de esquemas;0;https://en.wikipedia.org/wiki/Object-oriented_database
¿Cuál es un desafío común al usar bases de datos orientadas a objetos?;Dificultad para escalar horizontalmente;Menor seguridad de los datos;Compatibilidad con aplicaciones web;Alto costo de licencias;0;https://en.wikipedia.org/wiki/Object-oriented_database
¿Cómo gestionan las bases de datos orientadas a objetos las transacciones?;Usando bloqueos a nivel de objeto;Mediante el uso de transacciones SQL;A través de protocolos de compromiso en dos fases;Utilizando versionado de datos;0;https://en.wikipedia.org/wiki/Object-oriented_database
¿En qué tipo de aplicación es más ventajoso usar una base de datos orientada a objetos?;Aplicaciones financieras simples;Sistemas de gestión de contenido;Aplicaciones que utilizan intensivamente gráficos 3D;Aplicaciones que requieren alta normalización;2;https://en.wikipedia.org/wiki/Object-oriented_database
