Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es HTML5?;La última versión de HyperText Markup Language;Un nuevo lenguaje de programación;Una API para JavaScript;Un tipo de base de datos SQL;0;https://developer.mozilla.org/en-US/docs/Web/Guide/HTML/HTML5
¿Qué elemento de HTML5 se utiliza para dibujar gráficos?;<canvas>;<graph>;<draw>;<sketch>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/canvas
¿Qué tipo de video es nativamente soportado por HTML5?;Flash;AVI;MP4;WMV;2;https://developer.mozilla.org/en-US/docs/Web/HTML/Supported_media_formats
¿Qué elemento HTML5 se usa para la reproducción de audio?;<mp3>;<sound>;<audio>;<music>;2;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/audio
¿Cuál es la función del elemento <footer> en HTML5?;Encerrar un archivo JavaScript;Crear un pie de página;Definir un encabezado;Encapsular un iframe;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/footer
¿Qué atributo de HTML5 especifica el conjunto de caracteres usado en la página?;lang;src;char;charset;3;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/meta
¿Qué nuevo tipo de input de formulario introduce HTML5?;email;color;botón;todos los anteriores;3;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input
¿Qué elemento HTML5 se usa para representar una barra de progreso?;<loader>;<progress>;<bar>;<loading>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/progress
¿Cuál es el propósito del atributo "placeholder" en HTML5?;Validar datos del formulario;Crear un tooltip;Proporcionar un texto de pista en un campo de formulario;Ejecutar un script;2;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input
¿Qué define el elemento <article> en HTML5?;Un widget interactivo;Una sección independiente de contenido;Un comentario en el código;Un perfil de usuario;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/article
¿Para qué se utiliza el elemento <section> en HTML5?;Definir una sección en un documento;Crear una nueva página;Visualizar un video;Insertar una imagen;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/section
¿Cuál elemento HTML5 se utiliza para mostrar una medida dentro de un rango conocido?;<gauge>;<measure>;<range>;<meter>;3;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/meter
¿Qué atributo de HTML5 especifica que un campo de entrada no debe estar vacío durante la validación del formulario?;placeholder;required;validate;nonempty;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input
¿Qué elemento HTML5 define una lista de comandos que un usuario puede realizar?;<command>;<menu>;<task>;<action>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/menu
¿Qué elemento HTML5 está destinado para el contenido de lado, como barras laterales?;<aside>;<sidebar>;<div>;<section>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/aside
¿Qué tipo de estructura de datos introduce HTML5 que permite almacenamiento clave-valor en el navegador?;XML;WebSQL;LocalStorage;Cookies;2;https://developer.mozilla.org/en-US/docs/Web/API/Window/localStorage
¿Qué API de HTML5 permite arrastrar y soltar elementos dentro de una página web?;Drag&Drop API;Motion API;Touch API;Geolocation API;0;https://developer.mozilla.org/en-US/docs/Web/API/HTML_Drag_and_Drop_API
¿Qué etiqueta HTML5 se usa para definir detalles que el usuario puede ver u ocultar a petición?;<details>;<summary>;<expand>;<show>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/details
¿Qué elemento HTML5 especifica un resumen o leyenda para un <details> element?;<summary>;<caption>;<legend>;<header>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/summary
¿Qué atributo HTML5 especifica que el script se debe ejecutar de forma asíncrona?;async;defer;run;sync;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/script
¿Qué elemento HTML5 se utiliza para la navegación de enlaces dentro de una página web?;<navigate>;<links>;<dir>;<nav>;3;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/nav
¿Qué tipo de gráfico es posible dibujar con la API Canvas de HTML5 sin utilizar librerías externas?;3D gráficos;Gráficos de línea básicos;Gráficos vectoriales complejos;Solo gráficos de barras;1;https://developer.mozilla.org/en-US/docs/Web/API/Canvas_API
¿Cuál es la función del atributo "autocomplete" en un elemento de formulario HTML5?;Autocompletar los valores del formulario basado en valores pasados;Habilitar autenticación automática;Cargar automáticamente nuevo contenido;Reproducir automáticamente videos;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/form
¿Cuál elemento HTML5 es mejor para implementar un control deslizante para ajustar el volumen?;<adjust>;<range>;<input type="range">;<slider>;2;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/range
¿Qué elemento HTML5 se usa comúnmente para mostrar un conjunto de imágenes en una galería?;<gallery>;<figure>;<album>;<canvas>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/figure
¿Qué atributo de HTML5 especifica el número máximo de caracteres que puede tener un campo de entrada?;maxlength;lengthmax;size;charsmax;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input
