Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué regula principalmente el Reglamento eIDAS?;Comercio electrónico;Identificación electrónica y servicios de confianza;Protección de datos personales;Seguridad cibernética;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cuál es el objetivo principal del Reglamento eIDAS?;Mejorar la seguridad de las transacciones en línea;Establecer un mercado único digital;Regular el uso de criptomonedas;Aumentar la transparencia en la UE;0;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué significa eIDAS?;European Internet Data and Security;Electronic Identification, Authentication and Trust Services;European Identification, Authentication and Security;Electronic Internet Data and Services;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿En qué año fue adoptado el Reglamento eIDAS?;2014;2015;2016;2017;0;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué tipo de servicios regula eIDAS?;Servicios de telecomunicaciones;Servicios de salud electrónica;Servicios de identificación y confianza electrónicos;Servicios de transporte electrónico;2;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué es un "servicio de confianza" según eIDAS?;Un servicio que permite transacciones financieras seguras;Un servicio que verifica la identidad de las personas en línea;Un servicio que facilita la creación y verificación de firmas electrónicas;Un servicio que proporciona acceso a datos personales seguros;2;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cómo contribuye eIDAS a la economía digital de la UE?;Regulando el comercio electrónico;Facilitando transacciones electrónicas seguras y fiables;Controlando la inversión en tecnología digital;Limitando el acceso a servicios digitales no regulados;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué garantiza un "servicio de confianza cualificado" bajo eIDAS?;Que el servicio cumple con las normas ISO;Que el servicio tiene una licencia válida en todos los estados miembros de la UE;Que el servicio ha sido verificado y cumple con requisitos específicos de eIDAS;Que el servicio ofrece la mejor calidad del mercado;2;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cuál es la implicación del eIDAS para la firma electrónica?;Sólo permite el uso de firmas digitales;Define tres niveles de firma electrónica;Prohíbe el uso de firmas electrónicas para documentos oficiales;Regula el uso internacional de firmas electrónicas;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué tipo de firma electrónica ofrece el nivel más alto de seguridad según eIDAS?;Firma electrónica avanzada;Firma electrónica básica;Firma electrónica cualificada;Firma digital;2;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué efecto tiene una "firma electrónica cualificada" bajo eIDAS?;Tiene un estatus legal equivalente a una firma manuscrita;Es reconocida automáticamente en toda la UE;Ambas opciones;Ninguna de las anteriores;2;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cómo afecta eIDAS a la identificación electrónica entre los países de la UE?;Hace obligatorio el uso de eID en todos los países;Facilita la interoperabilidad de eIDs entre los países miembros;Restringe el uso de eID a servicios gubernamentales;No afecta la identificación electrónica;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cuál es un ejemplo de un servicio de confianza según eIDAS?;Correo electrónico;Firma electrónica;Internet banking;Tienda en línea;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué necesitan los proveedores de servicios de confianza para operar bajo eIDAS?;Una autorización especial de la UE;Un certificado cualificado;Una verificación de seguridad básica;Ningún requisito especial;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cuál artículo del Reglamento eIDAS discute los requisitos para las firmas electrónicas?;Artículo 25;Artículo 24;Artículo 26;Artículo 27;0;https://eur-lex.europa.eu/eli/reg/2014/910/oj
¿Qué organismo es responsable de la supervisión de los servicios de confianza en la UE bajo eIDAS?;La Comisión Europea;Las autoridades nacionales de supervisión;El Parlamento Europeo;El Consejo Europeo;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué proporciona eIDAS en términos de verificación de la identidad?;Solo métodos tradicionales de verificación;Métodos electrónicos y tradicionales;Solo métodos electrónicos cualificados;Ninguno, se centra solo en transacciones financieras;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cómo define eIDAS el "sello electrónico"?;Como una versión digital de un sello postal;Como un método para asegurar la integridad y el origen de los datos de manera electrónica;Como una forma de autenticación para transacciones financieras;Como un sistema de seguridad para correos electrónicos;1;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Cuál es el propósito de la "autenticación de sitio web" bajo eIDAS?;Verificar la identidad de los sitios web para prevenir el fraude;Proporcionar cifrado para transacciones en línea;Ofrecer dominios gratuitos a empresas de la UE;Controlar el contenido de los sitios web;0;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
¿Qué implica la interoperabilidad de los sistemas de identificación electrónica según eIDAS?;Que los sistemas funcionan solo dentro de un estado miembro;Que cada estado miembro puede operar su propio sistema independiente;Que los sistemas de eID deben ser compatibles y reconocidos entre los estados miembros;Que todos los estados miembros deben usar el mismo sistema de eID;2;https://ec.europa.eu/digital-single-market/en/trust-services-and-eid
