Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es un periférico en el contexto de la informática?;Un dispositivo externo conectado a una computadora para proporcionar funcionalidad adicional;Una unidad de almacenamiento interna;Una tarjeta gráfica;Una memoria RAM;0;https://en.wikipedia.org/wiki/Peripheral
¿Qué es un teclado en el contexto de los periféricos?;Un dispositivo de entrada utilizado para introducir datos y comandos en una computadora;Un dispositivo de almacenamiento;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Computer_keyboard
¿Qué es un ratón en el contexto de los periféricos?;Un dispositivo de entrada utilizado para controlar el movimiento del cursor en una pantalla;Un dispositivo de almacenamiento;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Computer_mouse
¿Qué es un monitor en el contexto de los periféricos?;Una pantalla de visualización utilizada para mostrar información generada por una computadora;Un dispositivo de almacenamiento;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Computer_monitor
¿Qué es una impresora en el contexto de los periféricos?;Un dispositivo de salida utilizado para imprimir documentos y gráficos en papel u otros medios;Un dispositivo de almacenamiento;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Printer_(computing)
¿Qué es un escáner en el contexto de los periféricos?;Un dispositivo de entrada utilizado para digitalizar imágenes, documentos y otros medios;Un dispositivo de almacenamiento;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Scanner_(computing)
¿Qué es un disco duro en el contexto de las unidades de almacenamiento?;Un dispositivo de almacenamiento no volátil utilizado para guardar datos a largo plazo;Un tipo de memoria RAM;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Hard_disk_drive
¿Qué es un SSD (Unidad de Estado Sólido)?;Un dispositivo de almacenamiento no volátil que utiliza memoria flash para almacenar datos de manera persistente;Un tipo de memoria RAM;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Solid-state_drive
¿Qué es un USB (Universal Serial Bus)?;Un estándar de interfaz para conectar dispositivos a una computadora;Un tipo de memoria RAM;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/USB
¿Qué es la memoria RAM en el contexto de las unidades de almacenamiento?;Memoria de acceso aleatorio utilizada para almacenar datos y programas en ejecución;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Random-access_memory
¿Qué es un CD-ROM en el contexto de las unidades de almacenamiento?;Un disco óptico de solo lectura utilizado para distribuir software y almacenar datos;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/CD-ROM
¿Qué es un DVD-ROM en el contexto de las unidades de almacenamiento?;Un disco óptico de solo lectura con mayor capacidad que un CD-ROM;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/DVD-ROM
¿Qué es un Blu-ray en el contexto de las unidades de almacenamiento?;Un formato de disco óptico de alta definición utilizado para almacenar datos y contenido multimedia;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Blu-ray
¿Qué es un pendrive (USB flash drive) en el contexto de las unidades de almacenamiento?;Un dispositivo de almacenamiento portátil que utiliza memoria flash y se conecta a través de un puerto USB;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/USB_flash_drive
¿Qué es un disco externo en el contexto de las unidades de almacenamiento?;Un dispositivo de almacenamiento que se conecta externamente a una computadora para proporcionar espacio adicional;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/External_hard_disk_drive
¿Qué es la velocidad de transferencia en el contexto de las unidades de almacenamiento?;La velocidad a la que los datos pueden ser transferidos entre una unidad de almacenamiento y una computadora;Un tipo de disco duro;Una tarjeta gráfica;Una unidad de procesamiento;0;https://en.wikipedia.org/wiki/Data_transfer_rate
