Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué comando se utiliza para cambiar el directorio actual en Linux?;cd;pwd;ls;mv;0;https://linuxize.com/post/linux-cd-command/
¿Cuál es el comando para listar archivos y directorios en Linux?;ls;dir;list;pwd;0;https://linuxize.com/post/linux-ls-command/
¿Qué comando muestra el tamaño de un archivo en Linux?;du;size;ls -s;wc -c;0;https://linuxize.com/post/linux-du-command/
¿Cuál es el comando para ver los procesos en ejecución en Linux?;ps;top;kill;pgrep;0;https://www.cyberciti.biz/faq/show-all-running-processes-in-linux/
¿Qué comando se utiliza para ver las últimas líneas de un archivo en Linux?;tail;head;more;cat;0;https://linuxize.com/post/linux-tail-command/
¿Cuál es el comando para cambiar el nombre de un archivo en Linux?;mv;rename;cp;name;0;https://linuxize.com/post/linux-rename-file/
¿Qué comando se utiliza para mostrar el contenido de un archivo en Linux?;cat;ls;echo;more;0;https://linuxize.com/post/linux-cat-command/
¿Cuál es el comando para crear un nuevo directorio en Linux?;mkdir;touch;cp;mv;0;https://linuxize.com/post/linux-mkdir-command/
¿Qué comando se utiliza para eliminar archivos en Linux?;rm;delete;erase;del;0;https://linuxize.com/post/linux-rm-command/
¿Cuál es el comando para buscar texto dentro de archivos en Linux?;grep;find;awk;sed;0;https://linuxize.com/post/grep-command-in-linux/
¿Qué comando se utiliza para comprimir archivos en Linux?;tar;zip;gzip;compress;0;https://linuxize.com/post/how-to-compress-and-extract-files-in-linux/
¿Cuál es el comando para mostrar el espacio libre y utilizado en los sistemas de archivos de Linux?;df;du;fs;lsblk;0;https://linuxize.com/post/checking-disk-space-on-linux-with-du-and-df/
¿Qué comando se utiliza para cambiar los permisos de un archivo en Linux?;chmod;chown;ls;grep;0;https://linuxize.com/post/chmod-command-in-linux/
¿Cuál es el comando para cambiar el propietario de un archivo en Linux?;chown;chmod;chgrp;groupmod;0;https://www.tecmint.com/change-ownership-of-file-or-directory-in-linux/
¿Qué comando se utiliza para encontrar archivos en Linux basado en su nombre?;find;grep;locate;search;0;https://linuxize.com/post/how-to-find-files-in-linux-using-the-command-line/
¿Cuál es el comando para mostrar el manual de un comando en Linux?;man;help;info;usage;0;https://linuxize.com/post/how-to-use-the-man-command/
¿Qué comando se utiliza para mostrar la ubicación del directorio actual en Linux?;pwd;cd;ls;dir;0;https://linuxize.com/post/linux-pwd-command/
