Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué representa una entidad en un modelo conceptual de datos?;Un dato individual;Una tabla de base de datos;Una colección de objetos;Un objeto del mundo real;3;https://www.tutorialspoint.com/database_design/database_design_conceptual_modeling.htm
¿Qué describe un atributo en el contexto de un modelo conceptual de datos?;El tamaño de una tabla;Las operaciones permitidas en una base de datos;Las características de una entidad;La ubicación física de los datos;3;https://www.geeksforgeeks.org/conceptual-modeling-in-dbms/
¿Cuál es el propósito principal de una relación en un modelo conceptual de datos?;Definir la integridad referencial;Asociar entidades entre sí;Establecer restricciones de integridad;Organizar los datos en tablas;1;https://www.studytonight.com/dbms/database-model.php
¿Qué significa la cardinalidad en el contexto de un modelo entidad-relación?;El número máximo de registros en una tabla;La cantidad de atributos en una entidad;La cantidad de veces que una entidad puede estar asociada con otra entidad;La longitud máxima de un campo en una base de datos;2;https://beginner-sql-tutorial.com/sql-joins.htm
¿Qué es una entidad débil en un modelo entidad-relación?;Una entidad con un atributo único;Una entidad sin clave primaria;Una entidad con atributos opcionales;Una entidad dependiente de otra entidad para existir;3;https://www.sqlshack.com/understand-entity-relationship-diagram-erd/
¿Cuál es la diferencia entre un modelo conceptual y un modelo lógico de datos?;El modelo conceptual describe la estructura física, mientras que el modelo lógico describe la estructura conceptual;El modelo conceptual es independiente del software de base de datos, mientras que el modelo lógico depende de él;El modelo conceptual se centra en las tablas y las filas, mientras que el modelo lógico se centra en las entidades y relaciones;El modelo conceptual es más abstracto y describe las entidades y relaciones, mientras que el modelo lógico es más detallado y describe tablas y columnas;3;https://www.guru99.com/database-modeling-design.html
¿Cómo se representa una relación de uno a muchos en un diagrama entidad-relación?;Con una línea simple desde la entidad padre a la entidad hija;Con una línea doble desde la entidad padre a la entidad hija;Con una línea punteada desde la entidad padre a la entidad hija;Con una línea de puntos desde la entidad padre a la entidad hija;0;https://www.techopedia.com/definition/24649/entity-relationship-diagram-erd
¿Qué es la normalización y cuál es su relación con el modelo conceptual de datos?;Un proceso para eliminar la redundancia de datos;Un proceso para agregar redundancia de datos;Un proceso para organizar los datos en tablas;Un proceso para diseñar interfaces de usuario;0;https://www.ibm.com/cloud/learn/normalization-database#:~:text=Normalization%20is%20a%20technique%20for,and%20to%20avoid%20data%20anomalies.
¿Qué son las restricciones de integridad en un modelo conceptual de datos?;Reglas que aseguran la coherencia y validez de los datos;Reglas que definen la estructura de las tablas;Reglas que optimizan las consultas SQL;Reglas que gestionan la seguridad de los datos;0;https://beginner-sql-tutorial.com/sql-integrity-constraints.htm
¿Qué representa una entidad fuerte en un modelo entidad-relación?;Una entidad con una clave primaria compuesta;Una entidad con una clave primaria simple;Una entidad con atributos opcionales;Una entidad con una relación de uno a uno;1;https://www.guru99.com/entity-relationship-model-er-model.html
¿Cuál es el papel del diseñador de bases de datos en la creación de un modelo conceptual de datos?;Definir las consultas SQL;Diseñar las interfaces de usuario;Identificar las entidades y relaciones;Optimizar el rendimiento del servidor;2;https://www.studytonight.com/dbms/database-model.php
