Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el plazo máximo para resolver y notificar las resoluciones en los procedimientos iniciados a solicitud del interesado según el EBEP?;3 meses;6 meses;9 meses;12 meses;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuánto tiempo se considera que un empleado público está en situación de excedencia voluntaria por interés particular?;Un mínimo de 1 año;Un mínimo de 2 años;Un mínimo de 3 años;Un mínimo de 5 años;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el plazo mínimo que debe transcurrir para solicitar el reingreso al servicio activo desde la excedencia voluntaria?;1 año;2 años;3 años;5 años;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuánto tiempo dura el período de prueba para un funcionario de carrera?;3 meses;6 meses;9 meses;12 meses;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el plazo para resolver el recurso de alzada según el EBEP?;1 mes;2 meses;3 meses;6 meses;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuánto tiempo puede durar la comisión de servicios para los empleados públicos?;3 meses;6 meses;9 meses;12 meses;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el plazo máximo para resolver y notificar la resolución de un procedimiento disciplinario?;3 meses;6 meses;9 meses;12 meses;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué plazo se establece para interponer un recurso contencioso-administrativo contra actos en materia de personal?;1 mes;2 meses;3 meses;6 meses;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el plazo de preaviso que debe dar el empleado público para solicitar la excedencia voluntaria?;1 mes;2 meses;3 meses;6 meses;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuánto tiempo dura el período de prácticas para los funcionarios en prácticas?;3 meses;6 meses;9 meses;12 meses;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el plazo de resolución para las solicitudes de compatibilidad de actividades públicas y privadas?;1 mes;2 meses;3 meses;6 meses;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuánto tiempo se considera que un empleado público está en situación de excedencia por cuidado de familiares?;Un máximo de 1 año;Un máximo de 2 años;Un máximo de 3 años;Un máximo de 5 años;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el plazo para solicitar el reingreso al servicio activo desde la excedencia por cuidado de familiares?;1 mes;2 meses;3 meses;6 meses;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
