Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el propósito de realizar un ping a una dirección IP en la red?;Configurar una dirección IP;Medir la capacidad de almacenamiento;Comprobar la conectividad y medir el tiempo de respuesta;Cambiar la configuración de red;2;https://www.lifewire.com/ping-command-2618099
¿Qué herramienta se usa para visualizar la ruta que toman los paquetes a través de una red?;Traceroute;Netstat;Ipconfig;Wireshark;0;https://www.lifewire.com/traceroute-linux-command-4092586
¿Para qué se utiliza el comando ipconfig en Windows?;Para configurar dispositivos IoT;Para mostrar información de configuración de red;Para programar un router;Para medir el ancho de banda de Internet;1;https://www.lifewire.com/ipconfig-command-2618101
¿Qué es un diagrama de red en el contexto de ejercicios de redes?;Un programa para conectarse a Internet;Una representación gráfica de la interconexión entre los dispositivos de red;Un tipo de malware que ataca las redes;Una configuración especial de firewall;1;https://www.lucidchart.com/pages/es/que-es-un-diagrama-de-red
¿Cómo se llama el proceso de dividir una red en subredes más pequeñas?;Encapsulación;Modulación;Subnetting;Token Ring;2;https://www.techopedia.com/definition/2907/subnetting
¿Cuál es la función del comando nslookup?;Desconectar un dispositivo de la red;Obtener información de dominio y dirección IP;Configurar nuevas rutas en un router;Reiniciar el servidor de red;1;https://www.lifewire.com/nslookup-command-2618108
¿Qué dispositivo se utiliza para interconectar dos o más segmentos de red y administrar el tráfico entre ellos?;Repetidor;Hub;Switch;Modem;2;https://www.lifewire.com/network-switches-in-computer-networking-817579
¿Qué protocolo se utiliza para asignar automáticamente una dirección IP a un dispositivo en una red?;HTTPS;SSH;DHCP;FTP;2;https://www.lifewire.com/what-is-dhcp-2625848
¿Qué métrica se utiliza para medir el desempeño de una red en términos de su capacidad para transmitir datos?;Ciclos por segundo;Bytes por segundo;Bits por segundo;Hertz;2;https://www.lifewire.com/what-is-bandwidth-2625809
¿Qué técnica se emplea para mejorar la seguridad en una red al ocultar las direcciones IP internas de dispositivos individuales?;Firewalling;NAT (Network Address Translation);Routing;Bridging;1;https://www.lifewire.com/network-address-translation-817579
