Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es Linux?;Un sistema operativo;Una distribución de software;Un programa de oficina;Una aplicación web;0;https://www.linux.com/what-is-linux/
¿Quién es el creador original del kernel Linux?;Linus Torvalds;Richard Stallman;Bill Gates;Steve Jobs;0;https://www.linux.org/threads/who-created-linux-operating-system.4377/
¿Qué es GNU en relación con Linux?;Un conjunto de herramientas;Una distribución;Una interfaz gráfica;Un editor de texto;0;https://www.gnu.org/gnu/gnu-history.html
¿Cuál es el shell por defecto en la mayoría de las distribuciones Linux?;Bash;Zsh;Fish;Ksh;0;https://www.gnu.org/software/bash/
¿Qué es una distribución Linux?;Una versión del sistema operativo basada en Linux;Un servidor web;Una red de servidores;Un programa de gestión de archivos;0;https://opensource.com/resources/linux-distributions
¿Cuál es el núcleo (kernel) del sistema operativo Linux?;Linux;GNU;Unix;Windows;0;https://www.kernel.org/
¿Cuál es la característica distintiva de Linux como sistema operativo?;Es de código abierto;Es exclusivo para servidores;Es propiedad de Microsoft;Es comercial;0;https://opensource.com/resources/what-is-linux
¿Qué es el software de código abierto en el contexto de Linux?;Software cuyo código fuente es público y puede ser modificado y distribuido libremente;Software cerrado;Software de pago;Software de código fuente mixto;0;https://www.linuxfoundation.org/resources/open-source-101/what-is-open-source/
¿Qué es un gestor de ventanas en Linux?;Una interfaz gráfica que gestiona las ventanas de las aplicaciones;Un administrador de archivos;Un servidor de bases de datos;Un entorno de desarrollo;0;https://opensource.com/article/18/4/window-managers-linux-desktops
¿Qué es un servidor Linux?;Un ordenador que proporciona servicios a otros ordenadores a través de una red;Una versión de Linux más potente;Un centro de datos;Un servicio en la nube;0;https://www.redhat.com/en/topics/linux/what-is-a-linux-server
¿Qué es el comando 'sudo' en Linux?;Permite ejecutar comandos con privilegios de superusuario;Un gestor de ventanas;Un programa de edición de texto;Un navegador web;0;https://linuxize.com/post/how-to-use-sudo-command-in-linux/
¿Cuál es la interfaz gráfica de usuario más común en Linux?;Xfce;GNOME;KDE;Cinnamon;1;https://www.linux.com/training-tutorials/what-is-linux-gui/
¿Qué es un repositorio en el contexto de Linux?;Un lugar donde se almacenan y mantienen los paquetes de software;Un directorio personal en un servidor;Una red social para desarrolladores de Linux;Un grupo de programadores de código abierto;0;https://www.redhat.com/en/topics/linux/what-is-a-linux-repository
¿Qué es un 'shell' en Linux?;Un intérprete de comandos;Un tipo de servidor web;Una distribución de Linux;Un lenguaje de programación;0;https://opensource.com/resources/what-is-linux-shell
¿Cuál es la función de un administrador de arranque (bootloader) en Linux?;Cargar el sistema operativo durante el arranque del sistema;Administrar el rendimiento del sistema;Actualizar automáticamente el sistema operativo;Instalar nuevos programas;0;https://www.linux.com/training-tutorials/linux-bootloaders-explained/
¿Qué es un demonio (daemon) en Linux?;Un programa que se ejecuta en segundo plano;Una distribución de software;Un sistema de archivos;Un dispositivo de red;0;https://opensource.com/resources/linux-demons
¿Qué es un paquete en el contexto de las distribuciones Linux?;Un archivo que contiene software y metadatos para su instalación;Una actualización del kernel;Un archivo de configuración;Un archivo de registro del sistema;0;https://www.redhat.com/en/topics/linux/what-is-a-linux-package
¿Qué es una terminal en Linux?;Una interfaz de línea de comandos;Un tipo de distribución de Linux;Un servidor de bases de datos;Una distribución de software;0;https://opensource.com/article/19/5/what-linux-terminal
¿Qué es un script en Linux?;Un archivo de texto con comandos que se pueden ejecutar;Un programa de oficina;Un editor de texto;Un servidor de aplicaciones;0;https://linuxize.com/post/bash-scripting-commands-and-scripting/
¿Qué es un archivo de configuración en Linux?;Un archivo que contiene ajustes y preferencias para aplicaciones y el sistema;Un archivo de datos;Un archivo de programa;Un archivo de instalación;0;https://opensource.com/resources/linux-configuration-files
¿Qué es un servidor web en Linux?;Un programa que sirve páginas web a través de Internet;Un servidor de correo electrónico;Un servidor de bases de datos;Un gestor de archivos;0;https://www.linux.org/pages/what-is-a-linux-web-server/
¿Qué es un servidor proxy en Linux?;Un servidor que actúa como intermediario entre los clientes y otros servidores;Un servidor de almacenamiento;Un servidor de videoconferencia;Un servidor de archivos;0;https://linuxhint.com/linux_proxy_server/
¿Qué es un servidor de bases de datos en Linux?;Un programa que gestiona bases de datos;Un servidor de impresión;Un servidor de respaldo;Un servidor DNS;0;https://opensource.com/resources/database-servers
¿Qué es una versión LTS en Linux?;Long Term Support;Latest Technical Support;Linux Technology Support;Latest Technology Support;0;https://ubuntu.com/about/release-cycle
