Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es el diseño lógico de una base de datos?;Definición de tablas y relaciones;Optimización del rendimiento;Diseño de interfaces de usuario;Programación de procedimientos almacenados;1;https://www.tutorialspoint.com/dbms/database_design.htm
¿Cuál es el objetivo principal del diseño físico de una base de datos?;Organizar datos en tablas y columnas;Definir las consultas SQL;Diseñar interfaces de usuario;Optimizar el modelo entidad-relación;0;https://beginner-sql-tutorial.com/sql-design-database.htm
¿Qué es la normalización en el diseño de bases de datos?;Proceso para reducir la redundancia de datos;Proceso para aumentar la redundancia de datos;Proceso para diseñar interfaces de usuario;Proceso para mejorar el rendimiento del servidor;0;https://www.geeksforgeeks.org/normal-forms-in-dbms/
¿Cuál es la forma normal más baja en la normalización de bases de datos?;Primera Forma Normal (1NF);Segunda Forma Normal (2NF);Tercera Forma Normal (3NF);Cuarta Forma Normal (4NF);0;https://www.studytonight.com/dbms/database-normalization.php
¿Por qué es importante la normalización en el diseño de bases de datos?;Para asegurar la integridad de los datos y evitar anomalías;Para aumentar el rendimiento de las consultas SQL;Para diseñar interfaces de usuario más atractivas;Para mejorar la seguridad del servidor;0;https://beginner-sql-tutorial.com/sql-normalization.htm
¿Qué es la redundancia de datos y por qué debe evitarse en el diseño de bases de datos?;La repetición innecesaria de datos;La duplicación de tablas;La complejidad en las consultas SQL;La falta de índices adecuados;0;https://www.ibm.com/cloud/learn/database-redesign#:~:text=Data%20redundancy%20is%20a%20common,same%20information%20in%20multiple%20places.
¿Cuál es el propósito del diseño físico de una base de datos?;Convertir el diseño lógico en un esquema físico;Optimizar las consultas SQL;Diseñar interfaces de usuario;Establecer reglas de integridad;0;https://www.geeksforgeeks.org/dbms-design-of-database/#:~:text=The%20physical%20design%20of%20a,of%20the%20logical%20database%20design.
¿Qué factores se consideran en el diseño físico de una base de datos?;Índices, particionamiento y almacenamiento físico;Diseño de consultas SQL, inserciones y actualizaciones;Optimización de interfaces de usuario;Seguridad y roles de usuario;0;https://www.studytonight.com/dbms/physical-database-design-in-dbms
¿Cuál es la diferencia entre diseño lógico y diseño físico de bases de datos?;El diseño lógico describe la estructura conceptual, mientras que el diseño físico describe la implementación real;El diseño físico es más abstracto que el diseño lógico;El diseño lógico se centra en tablas y filas, mientras que el diseño físico se centra en entidades y relaciones;El diseño físico es independiente del software de base de datos, mientras que el diseño lógico depende de él;0;https://www.guru99.com/database-modeling-design.html
¿Cómo afecta la normalización al rendimiento de las consultas en una base de datos?;Mejora el rendimiento al reducir la redundancia de datos;Reduce el rendimiento al aumentar la complejidad;No tiene impacto en el rendimiento de las consultas;Aumenta el rendimiento al aumentar la redundancia;0;https://www.sqlshack.com/understand-the-basics-of-database-performance-testing/
