Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el principal portal del Gobierno de España para la administración electrónica?;eEspaña;Portal del Ciudadano;Portal Administración Electrónica;Portal de Administración Electrónica del Gobierno de España;2;https://administracionelectronica.gob.es/
¿Qué es el DNI electrónico?;Una tarjeta bancaria;Un documento de identificación física;Un documento de identificación con chip que permite la firma digital;Una aplicación móvil para identificación;2;https://www.dnielectronico.es/
¿Para qué sirve la firma digital?;Para enviar correos electrónicos;Para firmar documentos electrónicamente con validez legal;Para acceder a redes sociales;Para hacer llamadas telefónicas;1;https://administracionelectronica.gob.es/pae_Home/pae_Estrategias/pae_Firma_Electronica.html
¿Cuál es el portal principal para obtener certificados digitales en España?;eCertificados;Portal de Certificados;Fábrica Nacional de Moneda y Timbre;Portal de Identificación Electrónica;2;https://www.sede.fnmt.gob.es/certificados
¿Qué es Cl@ve?;Un sistema de pago electrónico;Un sistema de identificación y firma electrónica común para todas las Administraciones Públicas;Un portal de compra electrónica;Un sistema de encriptación de datos;1;https://clave.gob.es/
¿Cuál es el portal de la Seguridad Social para la administración electrónica?;eSeguridad;Seguridad Social Electrónica;Portal Seguridad Social;Sede Electrónica de la Seguridad Social;3;https://sede.seg-social.gob.es/
¿Qué portal se utiliza para presentar la declaración de la renta en España?;eRenta;Renta Electrónica;Agencia Tributaria;Portal de Hacienda;2;https://www.agenciatributaria.gob.es/
¿Para qué se utiliza el portal "Mi Carpeta Ciudadana"?;Para gestionar citas médicas;Para consultar y gestionar información personal relacionada con trámites administrativos;Para realizar compras online;Para acceder a redes sociales;1;https://sede.administracion.gob.es/carpeta/clave.htm
¿Qué es el Sistema RED?;Un sistema de pago de impuestos;Un sistema de notificación electrónica;Un sistema para la transmisión de datos de cotización y afiliación a la Seguridad Social;Un portal de empleo;2;https://sede.seg-social.gob.es/
¿Cuál es el portal de administración electrónica del Ministerio del Interior?;Sede Electrónica del Ministerio del Interior;Portal del Ciudadano;eInterior;Portal Seguridad;0;https://sede.mir.gob.es/
