Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Cuál es el propósito principal del Estatuto Básico del Empleado Público (EBEP)?;Regular las relaciones laborales en el sector privado;Establecer los principios y fundamentos del empleo público;Fijar los impuestos sobre el trabajo público;Definir las políticas de seguridad social;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿En qué año se aprobó el EBEP?;2000;2005;2007;2010;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es la norma que regula el EBEP?;Ley 7/2007;Real Decreto 5/2007;Ley 12/2007;Real Decreto 1/2007;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿En qué artículo del EBEP se define el concepto de empleado público?;Artículo 2;Artículo 5;Artículo 7;Artículo 10;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué tipo de empleados se incluyen en el EBEP?;Funcionarios de carrera y personal laboral;Solo funcionarios de carrera;Solo personal laboral;Ninguna de las anteriores;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué artículo del EBEP establece los derechos individuales de los empleados públicos?;Artículo 14;Artículo 16;Artículo 18;Artículo 20;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el artículo del EBEP que trata sobre los deberes de los empleados públicos?;Artículo 52;Artículo 54;Artículo 56;Artículo 58;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué derechos se mencionan en el artículo 14 del EBEP?;Derecho a la huelga;Derecho a la formación continua;Derecho a la carrera profesional;Todas las anteriores;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué artículo del EBEP regula la promoción interna de los empleados públicos?;Artículo 16;Artículo 18;Artículo 20;Artículo 22;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿En qué artículo se menciona la evaluación del desempeño de los empleados públicos?;Artículo 14;Artículo 16;Artículo 20;Artículo 21;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué tipo de jornada laboral se establece en el artículo 47 del EBEP?;Jornada completa y jornada parcial;Solo jornada completa;Solo jornada parcial;Jornada flexible;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el artículo del EBEP que trata sobre la retribución de los empleados públicos?;Artículo 20;Artículo 22;Artículo 24;Artículo 26;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué artículo del EBEP establece los principios de conducta de los empleados públicos?;Artículo 52;Artículo 54;Artículo 56;Artículo 58;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué derechos tienen los empleados públicos en materia de salud laboral según el artículo 14 del EBEP?;Derecho a la huelga;Derecho a la carrera profesional;Derecho a la protección eficaz en materia de seguridad y salud en el trabajo;Ninguna de las anteriores;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿En qué artículo del EBEP se establece el régimen disciplinario de los empleados públicos?;Artículo 80;Artículo 82;Artículo 84;Artículo 86;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué tipo de faltas se clasifican en el artículo 95 del EBEP?;Leves, graves y muy graves;Leves y graves;Graves y muy graves;Leves, graves y administrativas;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el artículo del EBEP que trata sobre la responsabilidad disciplinaria de los empleados públicos?;Artículo 89;Artículo 91;Artículo 93;Artículo 95;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué artículo del EBEP regula la excedencia voluntaria de los empleados públicos?;Artículo 85;Artículo 87;Artículo 89;Artículo 91;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el plazo para resolver y notificar las solicitudes de compatibilidad según el artículo 10 del EBEP?;1 mes;2 meses;3 meses;6 meses;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿En qué artículo del EBEP se menciona la jubilación de los empleados públicos?;Artículo 67;Artículo 69;Artículo 71;Artículo 73;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué tipo de permiso se menciona en el artículo 48 del EBEP?;Permiso por asuntos propios;Permiso por matrimonio;Permiso por enfermedad;Todas las anteriores;3;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿En qué artículo del EBEP se establece la igualdad de trato entre mujeres y hombres en el empleo público?;Artículo 14;Artículo 16;Artículo 18;Artículo 20;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué artículo del EBEP regula la formación y perfeccionamiento de los empleados públicos?;Artículo 21;Artículo 22;Artículo 23;Artículo 24;2;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Cuál es el artículo del EBEP que menciona la carrera profesional de los empleados públicos?;Artículo 14;Artículo 16;Artículo 18;Artículo 20;0;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
¿Qué artículo del EBEP regula el deber de sigilo profesional de los empleados públicos?;Artículo 52;Artículo 54;Artículo 56;Artículo 58;1;https://www.boe.es/buscar/act.php?id=BOE-A-2007-7788
